epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_AltBasket,window_recall_AltDTC,window_recall_ChC,window_recall_DTC,window_recall_ITC,window_recall_ITCperi,window_recall_L1,window_recall_L2IT,window_recall_L3IT,window_recall_L4IT,window_recall_L5ET,window_recall_L5IT,window_recall_L5NP,window_recall_L6CT,window_recall_L6IT,window_recall_MC,window_recall_NGC,window_recall_NMC,window_recall_OPC,window_recall_PV,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_thalamocortical,cell_recall_AltBasket,cell_recall_AltDTC,cell_recall_ChC,cell_recall_DTC,cell_recall_ITC,cell_recall_ITCperi,cell_recall_L1,cell_recall_L2IT,cell_recall_L3IT,cell_recall_L4IT,cell_recall_L5ET,cell_recall_L5IT,cell_recall_L5NP,cell_recall_L6CT,cell_recall_L6IT,cell_recall_MC,cell_recall_NGC,cell_recall_NMC,cell_recall_OPC,cell_recall_PV,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_thalamocortical,window_precision_AltBasket,window_precision_AltDTC,window_precision_ChC,window_precision_DTC,window_precision_ITC,window_precision_ITCperi,window_precision_L1,window_precision_L2IT,window_precision_L3IT,window_precision_L4IT,window_precision_L5ET,window_precision_L5IT,window_precision_L5NP,window_precision_L6CT,window_precision_L6IT,window_precision_MC,window_precision_NGC,window_precision_NMC,window_precision_OPC,window_precision_PV,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_thalamocortical,cell_precision_AltBasket,cell_precision_AltDTC,cell_precision_ChC,cell_precision_DTC,cell_precision_ITC,cell_precision_ITCperi,cell_precision_L1,cell_precision_L2IT,cell_precision_L3IT,cell_precision_L4IT,cell_precision_L5ET,cell_precision_L5IT,cell_precision_L5NP,cell_precision_L6CT,cell_precision_L6IT,cell_precision_MC,cell_precision_NGC,cell_precision_NMC,cell_precision_OPC,cell_precision_PV,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_thalamocortical
0,0.3388811046270658,0.5299986313175473,0.42037459963188195,0.3854482641486616,0.37775244465729085,0.7927107061503417,0.6968453826472406,0.7443390422316613,0.6891713015588391,0.29486777931898517,0.1872863978127136,0.0,0.21893905304734762,0.32293785310734463,0.15536772394562565,0.23290136789056876,0.4943459071039554,0.41132704441612533,0.5527879584357067,0.609906026990744,0.2940456723347322,0.3907202388356761,0.8381452526356644,0.06281476603482725,0.3990798126702717,0.7312759097190235,0.47379817201390767,0.0,0.896195857060656,0.0,0.0,0.0,0.0,0.8571428571428571,0.5,0.0,0.3333333333333333,0.7857142857142857,0.25,0.3333333333333333,0.8115942028985508,0.8367346938775511,0.944954128440367,0.75,0.48148148148148145,1.0,1.0,0.0,0.6875,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4246681273359969,0.06698611382749853,0.0,0.1051809862368794,0.36066125436419466,0.12845821325648416,0.19568786726581403,0.6916235428342823,0.4886073612553363,0.5751588191330343,0.46869739914209696,0.3007432618141202,0.0620701920796775,0.30590503833389227,0.31363024958900015,0.5586446067700532,0.6329386437029063,0.3169984259426932,0.0,0.9414086517919484,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.5,0.9166666666666666,1.0,0.3333333333333333,0.9180327868852459,0.7068965517241379,0.8803418803418803,0.9,1.0,1.0,0.5483870967741935,0.0,0.9166666666666666,1.0,0.4444444444444444,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3114730168936527,0.520503658400299,0.4259005181250383,0.3940234189908601,0.38052189548794046,0.8018223234624146,0.7387529909534566,0.7707827369084976,0.7385490166043247,0.2623383596581503,0.19644565960355434,0.0,0.2024398780060997,0.3632768361581921,0.21540606483095154,0.13581199218348247,0.4899481322033091,0.46559226680757154,0.45271571884514605,0.6211262629831131,0.27716154558657047,0.49222540116929964,0.8363076143177371,0.07993654167072012,0.39127715087615333,0.7779824965453708,0.4753804834377798,0.0,0.9308369213674874,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.3333333333333333,0.9285714285714286,0.5,0.3333333333333333,0.7971014492753623,0.8979591836734694,0.8807339449541285,0.75,0.5925925925925926,1.0,1.0,0.0,0.8125,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.493996713990816,0.08002450297933954,0.0,0.12645616665105094,0.41207382722378877,0.13735622603767295,0.2374786440068339,0.6813893716675995,0.4677585560829378,0.6202370268479455,0.4889047084079508,0.30349037408045076,0.026086612564029877,0.3260968935505192,0.25079827197595794,0.5574591336569807,0.6168285735154481,0.3451387629239978,0.0,0.9208471756721611,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.8666666666666667,1.0,0.5,0.9482758620689655,0.6470588235294118,0.9230769230769231,1.0,0.8888888888888888,1.0,0.5604395604395604,0.0,0.9285714285714286,1.0,0.6666666666666666,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
2,0.300351618683046,0.5252911170834591,0.43069309979278797,0.4048798642101183,0.3872226316239895,0.7972665148063781,0.7317402444315738,0.7481719274889179,0.7212642512409543,0.3648932838158307,0.18879015721120984,0.0,0.2976351182440878,0.3064030131826742,0.20102823283373997,0.15756453769412732,0.4936336846787453,0.5217029807602648,0.44104310703703403,0.5895145905461739,0.34040412125924824,0.3980594601318572,0.8528225966146267,0.07376282449431644,0.3862976040560672,0.7992630124366651,0.43228331702442174,0.0,0.9073741542490923,0.0,0.0,0.0,0.0,0.8571428571428571,0.5,0.0,0.6666666666666666,0.8571428571428571,0.5,0.3333333333333333,0.8115942028985508,0.9387755102040817,0.8440366972477065,0.75,0.7037037037037037,1.0,1.0,0.0,0.6875,1.0,0.75,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.43894824662916815,0.07357485348961108,0.0,0.10485987564073207,0.44862957039651463,0.1356340760773708,0.21396648044692737,0.6856238209238441,0.436187042180318,0.6619023410224057,0.6225767457131345,0.29073009703048625,0.03723311420094246,0.2995720716960763,0.3511328013679111,0.5744394399295016,0.6231415643180349,0.346506233207056,0.0,0.9431791815120938,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.2857142857142857,1.0,1.0,0.3333333333333333,0.9333333333333333,0.6388888888888888,0.9787234042553191,1.0,0.8260869565217391,1.0,0.5543478260869565,0.0,0.9166666666666666,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0
3,0.29210959414720905,0.5388318651039968,0.4338756844026049,0.3967269473636268,0.39055984605317456,0.8018223234624146,0.7084019331409971,0.7323808245019671,0.6920861138886816,0.344713409995973,0.22816131237183868,0.0,0.27003649817509123,0.3365725047080979,0.17323109097246428,0.1615242209194693,0.5384639824618538,0.44907220340036674,0.4903354039295072,0.6320921359429096,0.31044380153003465,0.38300783679562134,0.8124024744750453,0.12188788529607651,0.3857626114225043,0.7530631045601105,0.48897586975078594,0.0,0.9300159725391377,0.0,0.0,0.0,0.0,0.8571428571428571,0.5,0.0,0.6666666666666666,0.8571428571428571,0.25,0.0,0.8695652173913043,0.8571428571428571,0.908256880733945,0.8333333333333334,0.5555555555555556,1.0,1.0,0.0,0.625,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4,0.06585904822034568,0.0,0.10534014666874708,0.4273553323768532,0.1393327726380712,0.1655423210709392,0.668875718627077,0.48266185608338347,0.6403336486828606,0.5400999782655944,0.32735252978343704,0.03635955693063461,0.33865035131280047,0.3602025697162697,0.5271095516043052,0.6959094198271826,0.30276388387562525,0.0,0.9173363668611549,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.4,1.0,1.0,0.0,0.8823529411764706,0.7,0.9339622641509434,1.0,0.8823529411764706,1.0,0.5862068965517241,0.0,0.9090909090909091,1.0,0.4444444444444444,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
4,0.2850540011056966,0.5378557894221355,0.4419892225912677,0.40237241722410905,0.39982679099788115,0.8223234624145785,0.7352528120305725,0.7454131697378823,0.7199512055565099,0.47919369994183186,0.13328776486671223,0.0,0.31248437578121097,0.37559322033898307,0.17950505402579295,0.15288491206417773,0.5394118472507949,0.46673841419824075,0.44969553257311706,0.6343248781177135,0.36491555077816784,0.4180868267197413,0.8156104206765994,0.107901609656442,0.4732380223380001,0.7282818977429756,0.4214569757031917,0.0,0.9031950038691244,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.9285714285714286,0.25,0.3333333333333333,0.8405797101449275,0.8979591836734694,0.8807339449541285,0.75,0.7777777777777778,1.0,1.0,0.0,0.9375,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.3911146008326638,0.06838745879217227,0.0,0.12573681775202689,0.44165910047168766,0.13304055799535003,0.15434534316270376,0.6493625294830114,0.4690235427322063,0.6594418443196917,0.566060101640626,0.3036298763082778,0.04175466494397098,0.34901653735734456,0.321960477838562,0.5475852610927515,0.7635950932096977,0.3155868046894487,0.0,0.9414028974117695,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,1.0,0.3333333333333333,0.9206349206349206,0.6666666666666666,0.96,1.0,0.875,1.0,0.5862068965517241,0.0,0.9375,1.0,0.6666666666666666,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
5,0.2790071830987308,0.5412272686748768,0.44194746651353806,0.41249247737284,0.40485621128895477,0.8154897494305239,0.763843209074221,0.8140220459626497,0.7716692451235262,0.4050516801646606,0.18154477101845523,0.0,0.31328433578321085,0.30887005649717514,0.19283722551411642,0.2159827213822894,0.49822738693799956,0.5304137009293507,0.4575316915491923,0.6256058786123083,0.3702729590961589,0.37430028610523697,0.832442237166235,0.1094132349529675,0.462200712774801,0.7572086596038692,0.3965772105515188,0.0,0.923289648604139,0.0,0.0,0.0,0.0,0.8571428571428571,0.5,0.0,0.6666666666666666,0.8571428571428571,0.5,0.3333333333333333,0.8115942028985508,0.9795918367346939,0.8440366972477065,0.75,0.7407407407407407,1.0,1.0,0.0,0.9375,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4341518392403242,0.10427135678391959,0.0,0.14824102770351794,0.505268022181146,0.1513472849131446,0.19554893379271812,0.6898655287199565,0.42142175822886796,0.6555204383254052,0.48516696073381627,0.2989663593597799,0.06393965150871228,0.33048638211829523,0.3366024357114902,0.5771843811990585,0.7063246541204777,0.38778501628664497,0.0,0.9327725617838448,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.9491525423728814,0.64,0.968421052631579,1.0,0.8333333333333334,1.0,0.5795454545454546,0.0,0.9375,1.0,0.8,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
6,0.2736940638714206,0.5301731697220654,0.43428636595352926,0.3990983026125009,0.3922243990846783,0.8086560364464692,0.7306556301798987,0.7735598312533076,0.7253419892308023,0.3920085909884111,0.18906356801093643,0.0,0.2742862856857157,0.36242937853107343,0.18543046357615894,0.15679317083204772,0.5199303134043438,0.43487163149224506,0.4311132243345387,0.6360347629477849,0.3807362005283079,0.36235850230128125,0.8244184112349405,0.11676182921627466,0.4444471879964114,0.7,0.4847910724323874,0.0,0.9216799936506677,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.8571428571428571,0.25,0.0,0.8695652173913043,0.8367346938775511,0.8715596330275229,0.75,0.7037037037037037,1.0,1.0,0.0,0.875,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4369358136751284,0.06995447647951442,0.0,0.13700614354927326,0.4454448662160911,0.14911358699460445,0.13864132411786104,0.6994237152911342,0.4815310354321901,0.675080366329863,0.4563881565605354,0.26672060625966304,0.0432035595105673,0.316304823495089,0.3368305161582799,0.5513928031695462,0.7351489938080495,0.3164281734545504,0.0,0.928220486523076,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.8823529411764706,0.7068965517241379,0.9595959595959596,1.0,0.7307692307692307,1.0,0.5730337078651685,0.0,0.9333333333333333,1.0,0.5,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
7,0.2691215039382486,0.5408961898308149,0.4383322654612476,0.3968070346315185,0.39561567271071146,0.8177676537585421,0.7656924100383209,0.7944640452571643,0.7680033848245467,0.33191641684191686,0.1771701982228298,0.0,0.3263836808159592,0.3335593220338983,0.19492854653189265,0.167952278103466,0.5001337071839149,0.4850223790134585,0.4800055506126081,0.6311594714901434,0.3317476472000823,0.328896628933947,0.8214639323875833,0.13684698909684131,0.44878474365622195,0.8190695532012897,0.44075701109699983,0.0,0.9341827218794023,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.8571428571428571,0.5,0.3333333333333333,0.8260869565217391,0.9183673469387755,0.8807339449541285,0.75,0.7037037037037037,1.0,1.0,0.0,0.875,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4412586996609363,0.06681445584368717,0.0,0.12970395390423206,0.4567302733367715,0.11768109842706087,0.17913558578323827,0.6958187370383059,0.45011123249936,0.6320637599221811,0.5534229601635586,0.31418607925317044,0.05884185694574264,0.32070518093376793,0.3186554680420994,0.5526321123791377,0.5786716131341729,0.35425033467202144,0.0,0.9218432214278897,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.95,0.6818181818181818,0.9504950495049505,1.0,0.8260869565217391,1.0,0.5730337078651685,0.0,0.9333333333333333,1.0,0.8,0.0,0.918918918918919,0.0,0.0,0.0,0.0
8,0.26449842593262596,0.5493485364515296,0.4443406593987126,0.39677073665370943,0.4040279459706539,0.8291571753986332,0.7613828885570391,0.8065596579814979,0.7587196212482313,0.418542216653989,0.16363636363636364,0.0,0.2511874406279686,0.37195856873822974,0.16382014639247125,0.1703178031471768,0.5328879957425514,0.45293025207472104,0.49179652107192123,0.6362608634211828,0.3549668949902229,0.33897250901853465,0.8209332351147336,0.14626845567271068,0.4328748857996494,0.813081529249194,0.5044658657950074,0.0,0.9332303220301991,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.9285714285714286,0.25,0.3333333333333333,0.855072463768116,0.8979591836734694,0.8990825688073395,0.75,0.7777777777777778,1.0,1.0,0.0,0.875,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4403954802259887,0.08165632034927349,0.0,0.15745761118249912,0.4498781404459832,0.14207980652962515,0.16499775818263338,0.6686055975417324,0.47602850201106595,0.6454790646100443,0.4673746055472513,0.30586525434166767,0.07105976843642432,0.35421415803989786,0.27813589469939526,0.5487697990358731,0.6255359863921471,0.34298737330841966,0.0,0.9213521388868483,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.921875,0.7096774193548387,0.9423076923076923,1.0,0.875,1.0,0.5930232558139535,0.0,0.9333333333333333,1.0,0.5714285714285714,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
9,0.26064295773626456,0.5491229340533635,0.4430910569290447,0.40525602207340455,0.4050672054263165,0.8109339407744874,0.7477696953443433,0.7791206442818546,0.744710428620395,0.3817844198845586,0.1343814080656186,0.0,0.28203589820508973,0.36254237288135593,0.2137504356918787,0.14974802015838734,0.5098109300989433,0.5015579834022317,0.49531667061195506,0.6286158411644175,0.31939759173918514,0.3570095783057594,0.8279511124840593,0.13576939482605085,0.47660436060149636,0.789267618608936,0.4792113426745227,0.0,0.9308840453183594,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.9285714285714286,0.5,0.0,0.8115942028985508,0.9183673469387755,0.8715596330275229,0.75,0.6666666666666666,1.0,1.0,0.0,0.875,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.45893395008605853,0.08333333333333333,0.0,0.14878801466515443,0.46365606936416187,0.14214521643391087,0.1786064769381747,0.6904290642054459,0.4543688295232564,0.6312297801957745,0.5062939609842708,0.3326128765279936,0.06695439169485594,0.3247461755458624,0.33176074752683454,0.5505157579502781,0.6630165609038848,0.34376306828364894,0.0,0.9234541231583816,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.9491525423728814,0.6521739130434783,0.9405940594059405,1.0,0.8181818181818182,1.0,0.5795454545454546,0.0,0.875,1.0,0.5714285714285714,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
