epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_AltBasket,window_recall_AltDTC,window_recall_ChC,window_recall_DTC,window_recall_ITC,window_recall_ITCperi,window_recall_L1,window_recall_L2IT,window_recall_L3IT,window_recall_L4IT,window_recall_L5ET,window_recall_L5IT,window_recall_L5NP,window_recall_L6CT,window_recall_L6IT,window_recall_MC,window_recall_NGC,window_recall_NMC,window_recall_OPC,window_recall_PV,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_thalamocortical,cell_recall_AltBasket,cell_recall_AltDTC,cell_recall_ChC,cell_recall_DTC,cell_recall_ITC,cell_recall_ITCperi,cell_recall_L1,cell_recall_L2IT,cell_recall_L3IT,cell_recall_L4IT,cell_recall_L5ET,cell_recall_L5IT,cell_recall_L5NP,cell_recall_L6CT,cell_recall_L6IT,cell_recall_MC,cell_recall_NGC,cell_recall_NMC,cell_recall_OPC,cell_recall_PV,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_thalamocortical,window_precision_AltBasket,window_precision_AltDTC,window_precision_ChC,window_precision_DTC,window_precision_ITC,window_precision_ITCperi,window_precision_L1,window_precision_L2IT,window_precision_L3IT,window_precision_L4IT,window_precision_L5ET,window_precision_L5IT,window_precision_L5NP,window_precision_L6CT,window_precision_L6IT,window_precision_MC,window_precision_NGC,window_precision_NMC,window_precision_OPC,window_precision_PV,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_thalamocortical,cell_precision_AltBasket,cell_precision_AltDTC,cell_precision_ChC,cell_precision_DTC,cell_precision_ITC,cell_precision_ITCperi,cell_precision_L1,cell_precision_L2IT,cell_precision_L3IT,cell_precision_L4IT,cell_precision_L5ET,cell_precision_L5IT,cell_precision_L5NP,cell_precision_L6CT,cell_precision_L6IT,cell_precision_MC,cell_precision_NGC,cell_precision_NMC,cell_precision_OPC,cell_precision_PV,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_thalamocortical
0,0.3365415012527632,0.5074584822525415,0.4104678955422053,0.39356766299341844,0.3712314415975461,0.7676537585421412,0.6413577638110058,0.694633779437701,0.6419747567270552,0.3686965859770012,0.17416267942583732,0.0,0.3987800609969501,0.3198305084745763,0.07851167654234925,0.13663478350303404,0.5144522903643455,0.45499720262331766,0.3888020471965325,0.5618455451141101,0.2707235074157509,0.39693991790023636,0.8873971278980427,0.054628042894238615,0.39609208457822004,0.6390142791340396,0.42376798317753117,0.0,0.9231457965435822,0.0,0.0,0.0,0.0,0.8571428571428571,0.5,0.0,0.6666666666666666,0.8571428571428571,0.0,0.0,0.8840579710144928,0.8571428571428571,0.8073394495412844,0.75,0.5185185185185185,0.5,1.0,0.0,0.625,1.0,0.75,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.3418945271980416,0.06727215123033055,0.0,0.1521208422337504,0.43482602350410937,0.1259259259259259,0.13286993048957343,0.6760728042004029,0.44845980638441274,0.6663996782147916,0.6419057459758795,0.3076608187134503,0.03743855079605317,0.23730274724110906,0.22942988245647117,0.5585941127309871,0.7328191854629972,0.3723610552120303,0.0,0.9208641459112152,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,1.0,0.0,0.0,0.8970588235294118,0.6461538461538462,0.967032967032967,1.0,0.875,1.0,0.49038461538461536,0.0,0.8333333333333334,1.0,0.6,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
1,0.31057263237078897,0.5325053711368728,0.43262358540735457,0.3987748949635824,0.3851118744957966,0.7972665148063781,0.6928477053114972,0.7017736892736893,0.677673592457617,0.2246409235312542,0.13096377306903623,0.0,0.3702814859257037,0.32301318267419965,0.20555942837225513,0.16903219171037745,0.49705976578737643,0.4997552295402978,0.5014060191496135,0.6504204055677242,0.2704890850667246,0.5305386242069909,0.7804339044269658,0.117929223009631,0.40986197190054074,0.7637954859511745,0.4234765047573442,0.0,0.9185673326851723,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.6666666666666666,0.8571428571428571,0.5,0.3333333333333333,0.8115942028985508,0.9183673469387755,0.8899082568807339,0.8333333333333334,0.5555555555555556,1.0,1.0,0.0,0.8125,1.0,0.75,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.5079935242335323,0.06779421130847074,0.0,0.1332062304399439,0.49440793266459127,0.11137865911237016,0.15778609831029186,0.6769860444989362,0.43141365119718805,0.6194882371183146,0.4496053608408549,0.3101411460825898,0.03558882185562537,0.38550535244772755,0.306995499970779,0.5998482220294883,0.6306861402708048,0.3285095936430002,0.0,0.930613383319974,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2857142857142857,1.0,0.6666666666666666,0.2,0.9333333333333333,0.6428571428571429,0.9238095238095239,1.0,1.0,1.0,0.5795454545454546,0.0,0.9285714285714286,1.0,0.5,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
2,0.3003407083675415,0.5143625853281427,0.42973010754885854,0.3831237351836329,0.3763028504468546,0.7972665148063781,0.6996450716527358,0.727718491454517,0.686161733086418,0.28679135531791133,0.09760765550239234,0.0,0.3185340732963352,0.3340112994350283,0.1475252701289648,0.2196852823202715,0.4931438662822254,0.4346657134864638,0.410002530426336,0.5766268635624956,0.3271163764022459,0.45192188083094914,0.8537810200476835,0.08646945693738728,0.4604475830678947,0.8282818977429756,0.49719972517748956,0.0,0.911330085914403,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.6666666666666666,0.7857142857142857,0.25,0.3333333333333333,0.8405797101449275,0.8775510204081632,0.8623853211009175,0.75,0.6666666666666666,1.0,1.0,0.0,0.875,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4275422739552413,0.06399569776821726,0.0,0.16299953947705062,0.4528301886792453,0.14028836592641697,0.1706070287539936,0.7014710645445575,0.46690677806945424,0.6643542323169864,0.46420486217762763,0.2729645268255445,0.03527766718778828,0.28774579682753243,0.2811777588514418,0.5421043451296562,0.5179445820611787,0.3127996227700207,0.0,0.9310129019834392,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,1.0,0.14285714285714285,0.9206349206349206,0.6417910447761194,0.9690721649484536,1.0,0.9,1.0,0.5483870967741935,0.0,0.9333333333333333,1.0,0.5714285714285714,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
3,0.2920474618506987,0.5309290842509854,0.43955857862412784,0.39392257357867033,0.38902410420533123,0.8018223234624146,0.731818833067361,0.7291386024402329,0.7102915088100477,0.41896729160141394,0.19617224880382775,0.0,0.26653667316634166,0.38408662900188323,0.23265946322760545,0.18949912578422298,0.5496397849035323,0.5209453579088055,0.4271563721849007,0.6000847876775242,0.31866001898249263,0.44060206493344944,0.7971469080943215,0.11144120750424677,0.32728380124612133,0.7029018885306311,0.5150631883575191,0.0,0.9132076033254628,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.9285714285714286,0.75,0.0,0.855072463768116,0.9183673469387755,0.8256880733944955,0.75,0.7777777777777778,1.0,1.0,0.0,0.5625,0.6666666666666666,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.41651653655390225,0.07907643136606601,0.0,0.13189341646255473,0.387944152780948,0.10015379421583705,0.16434751583266435,0.6494517355190915,0.4280205450372371,0.6766007376209301,0.5556791415859723,0.3286143867924528,0.035944793992287394,0.3684696130371585,0.390558615263572,0.5135145605992122,0.6572769953051644,0.2751345700431514,0.0,0.9314087824078642,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,1.0,0.75,0.0,0.921875,0.625,0.9782608695652174,1.0,0.875,1.0,0.6,0.0,0.9,1.0,0.3076923076923077,0.0,1.0,0.0,0.0,0.0,0.0
4,0.2852959367782396,0.5413122358118484,0.43740717266257356,0.40716247398054384,0.4003460225724766,0.8223234624145785,0.758205752163029,0.8097118565126025,0.7589365022962956,0.38232135666025324,0.16021872863978126,0.0,0.29668516574171294,0.34664783427495294,0.16547577553154408,0.18250539956803455,0.4977878742146358,0.46901128275261866,0.5044670187496428,0.5805412280081962,0.3335258264817208,0.4026620226396318,0.8285055723213649,0.11909661680298733,0.461410569808308,0.7583602026715799,0.4630342903541463,0.0,0.9210723427052124,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.9285714285714286,0.25,0.3333333333333333,0.8260869565217391,0.9183673469387755,0.8990825688073395,0.75,0.6666666666666666,1.0,1.0,0.0,0.9375,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4590362093048243,0.07136333191256165,0.0,0.139511919875864,0.4486557632778414,0.1389275001828956,0.182,0.6952312630348928,0.46642530649779185,0.619477919194501,0.5812805093738946,0.3111740575373011,0.036942355317667736,0.3365389874680266,0.3176710113974331,0.5661311008553568,0.6645676919350932,0.3624511082138201,0.0,0.9315384962700233,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.9344262295081968,0.6923076923076923,0.9423076923076923,1.0,0.8571428571428571,1.0,0.5730337078651685,0.0,0.9375,1.0,0.6666666666666666,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
5,0.27931403918603565,0.535904056615738,0.4347170333300067,0.399053747718391,0.3940946940954536,0.8154897494305239,0.7221246468986526,0.7632233830256723,0.7233384732675346,0.3849165510761108,0.18619275461380724,0.0,0.3111844407779611,0.2962900188323917,0.17357964447542698,0.17016352977476087,0.47863994641121976,0.49196919777453146,0.46750850957888807,0.6395958454038013,0.3567622271266681,0.3636024381141933,0.8150718025489311,0.11967283040611834,0.48546877700683966,0.746568401658222,0.41104703212508586,0.0,0.9266726522351634,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.7857142857142857,0.25,0.0,0.7971014492753623,0.9591836734693877,0.8899082568807339,0.75,0.7407407407407407,1.0,1.0,0.0,0.9375,1.0,0.75,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.47994309305958494,0.08210259810717946,0.0,0.15181228352602566,0.4950286325593103,0.12810289389067525,0.13882362812552443,0.6921454141700327,0.4553791379713376,0.642151792646659,0.44358308423580145,0.29917005087094317,0.037901479493263834,0.347274672390344,0.30565749235474005,0.541366840443498,0.6632565372181528,0.3511864527375574,0.0,0.9280813751304089,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,1.0,1.0,0.0,0.9649122807017544,0.6811594202898551,0.9509803921568627,1.0,0.8333333333333334,1.0,0.5862068965517241,0.0,0.8333333333333334,1.0,0.75,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
6,0.2742685024323711,0.5498901496300581,0.4466034188840292,0.4195703544494921,0.4112186875982228,0.8109339407744874,0.7531740192297378,0.771152447089947,0.7413610360476763,0.38874222560293525,0.17539302802460696,0.0,0.28443577821108945,0.37369114877589454,0.18891599860578598,0.1995783194487298,0.5280004024453853,0.5292636682932894,0.4800790146030088,0.6403730657811065,0.3612791455591259,0.4350043537753452,0.7913488423670683,0.14824404516915984,0.4282904104628098,0.7112851220635652,0.4531032041806333,0.0,0.921833766542987,0.0,0.0,0.0,0.0,0.8571428571428571,0.5,0.0,0.6666666666666666,0.9285714285714286,0.25,0.3333333333333333,0.8260869565217391,0.8775510204081632,0.8440366972477065,0.75,0.8148148148148148,1.0,1.0,0.0,0.9375,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.481623149842009,0.08146548987237284,0.0,0.13454261659256456,0.45753879499181443,0.1400516795865633,0.19611905604123503,0.6826423761942416,0.42140822065278927,0.6414824752275466,0.5785710637863235,0.3195151674512917,0.04211324935571666,0.39114944463802614,0.40394771721620687,0.5763143613427695,0.7171318441461942,0.349522203485104,0.0,0.9371274696680887,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,1.0,1.0,0.3333333333333333,0.890625,0.6142857142857143,0.9583333333333334,1.0,0.88,1.0,0.6,0.0,0.9375,1.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0
7,0.2695104776812469,0.5560827052531874,0.4371169928104919,0.41040130069455844,0.40401730312573597,0.8246013667425968,0.760181418332524,0.7929997906783484,0.7634682136192541,0.3274866884424359,0.14559125085440874,0.0,0.30683465826708667,0.3355743879472693,0.2445102823283374,0.15689601974699166,0.5465684911740021,0.44699359711559383,0.5568243965749455,0.5892178336748393,0.3225479994053677,0.3759174026620226,0.8060182654912118,0.17532608451631732,0.39124422825254945,0.7679410409949332,0.4371135308446628,0.0,0.9354997122958789,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.8571428571428571,0.5,0.3333333333333333,0.855072463768116,0.8163265306122449,0.9541284403669725,0.75,0.6666666666666666,1.0,1.0,0.0,0.8125,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.45212503088707684,0.07244897959183673,0.0,0.1217803706790491,0.45305229971269484,0.1181026137463698,0.18822876179900055,0.6605338435842137,0.48765280344517725,0.5992875246533161,0.6025346454531004,0.3565230580606834,0.06371763515223075,0.3580113568397869,0.3448433199393591,0.5795396357074931,0.6819371727748691,0.33051020890071314,0.0,0.9163941515750805,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.9076923076923077,0.7407407407407407,0.9043478260869565,1.0,0.9473684210526315,1.0,0.5930232558139535,0.0,0.9285714285714286,1.0,0.6666666666666666,0.0,0.918918918918919,0.0,0.0,0.0,0.0
8,0.2656287486812814,0.542229294910887,0.43496844657725,0.4052476778030475,0.39755048043511004,0.8132118451025057,0.724369577813348,0.7437540912134477,0.7192525720878231,0.28735066445925994,0.17402597402597403,0.0,0.30053497325133743,0.3605838041431262,0.24921575461833392,0.16157564537694127,0.49355425466849884,0.46799723370528085,0.5218943098058102,0.6039991521232247,0.3039028462303743,0.32727951237716135,0.8448621375218813,0.14707665137580353,0.45190416224268914,0.7675725472132657,0.4494597239282963,0.0,0.9166426913232405,0.0,0.0,0.0,0.0,0.5714285714285714,0.5,0.0,0.6666666666666666,0.8571428571428571,0.5,0.3333333333333333,0.8260869565217391,0.9183673469387755,0.926605504587156,0.75,0.5925925925925926,1.0,1.0,0.0,0.875,1.0,0.75,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.48875527988127404,0.06976489285910012,0.0,0.11221879958928405,0.44217357165950766,0.12871866420630992,0.15639621702339473,0.689382144428871,0.4740773684189812,0.6241583220865559,0.6237340571461927,0.3200674434709301,0.06172144415511296,0.3053551593436165,0.31912060791063196,0.566884176182708,0.6476234891764797,0.3279256288734962,0.0,0.9363809340424076,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,1.0,0.6666666666666666,0.2,0.95,0.703125,0.926605504587156,1.0,0.9411764705882353,1.0,0.5666666666666667,0.0,0.9333333333333333,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0
9,0.2620471224373278,0.5461486657020316,0.43917272827844955,0.4121359562077157,0.40413411333169297,0.8154897494305239,0.7190811321229088,0.7316836712670045,0.7126575467015419,0.3767058928811132,0.14900888585099112,0.0,0.3167341632918354,0.2997928436911488,0.17697804112931334,0.14846240872158797,0.5305474581072888,0.4767234948559351,0.48316450219983836,0.6336607079771073,0.3402040046198356,0.35539246174897376,0.8422640971413635,0.13991513945117526,0.4588343745113048,0.7789037309995394,0.47469342716162477,0.0,0.9231234746721165,0.0,0.0,0.0,0.0,0.8571428571428571,0.5,0.0,0.6666666666666666,0.9285714285714286,0.0,0.0,0.8405797101449275,0.8979591836734694,0.8899082568807339,0.75,0.7037037037037037,1.0,1.0,0.0,0.9375,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4823121652201312,0.08162959634539055,0.0,0.15829189675420405,0.5270145004303781,0.15605071071840185,0.14815765164733655,0.6697382317945427,0.4701277802256748,0.6486918927212303,0.5233115875220279,0.31370140346067465,0.06712718216207327,0.307303497425049,0.3489678599425137,0.5464106484748686,0.7129005059021922,0.32538889681746824,0.0,0.931321204174726,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.9206349206349206,0.6875,0.9509803921568627,1.0,0.8636363636363636,1.0,0.5604395604395604,0.0,0.8823529411764706,1.0,0.6666666666666666,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
