epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_AltBasket,window_recall_AltDTC,window_recall_ChC,window_recall_DTC,window_recall_ITC,window_recall_ITCperi,window_recall_L1,window_recall_L2IT,window_recall_L3IT,window_recall_L4IT,window_recall_L5ET,window_recall_L5IT,window_recall_L5NP,window_recall_L6CT,window_recall_L6IT,window_recall_MC,window_recall_NGC,window_recall_NMC,window_recall_OPC,window_recall_PV,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_thalamocortical,cell_recall_AltBasket,cell_recall_AltDTC,cell_recall_ChC,cell_recall_DTC,cell_recall_ITC,cell_recall_ITCperi,cell_recall_L1,cell_recall_L2IT,cell_recall_L3IT,cell_recall_L4IT,cell_recall_L5ET,cell_recall_L5IT,cell_recall_L5NP,cell_recall_L6CT,cell_recall_L6IT,cell_recall_MC,cell_recall_NGC,cell_recall_NMC,cell_recall_OPC,cell_recall_PV,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_thalamocortical,window_precision_AltBasket,window_precision_AltDTC,window_precision_ChC,window_precision_DTC,window_precision_ITC,window_precision_ITCperi,window_precision_L1,window_precision_L2IT,window_precision_L3IT,window_precision_L4IT,window_precision_L5ET,window_precision_L5IT,window_precision_L5NP,window_precision_L6CT,window_precision_L6IT,window_precision_MC,window_precision_NGC,window_precision_NMC,window_precision_OPC,window_precision_PV,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_thalamocortical,cell_precision_AltBasket,cell_precision_AltDTC,cell_precision_ChC,cell_precision_DTC,cell_precision_ITC,cell_precision_ITCperi,cell_precision_L1,cell_precision_L2IT,cell_precision_L3IT,cell_precision_L4IT,cell_precision_L5ET,cell_precision_L5IT,cell_precision_L5NP,cell_precision_L6CT,cell_precision_L6IT,cell_precision_MC,cell_precision_NGC,cell_precision_NMC,cell_precision_OPC,cell_precision_PV,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_thalamocortical
0,0.3495342696461651,0.49018378433582693,0.4031288832961804,0.38045538254909556,0.3577458580689328,0.7676537585421412,0.7135664658985077,0.7172259528935966,0.6723410805204392,0.23951854669112713,0.1468215994531784,0.0,0.2697865106744663,0.2248210922787194,0.2068665040083653,0.23932942507456548,0.488584583694078,0.4542823174711715,0.35838999583704056,0.5686568218752208,0.30354835389770035,0.4610026122652071,0.8098994843523513,0.04277450591554355,0.34127591627776815,0.7244127130354675,0.4483146301347047,0.0,0.9280342863945713,0.0,0.0,0.0,0.0,0.8571428571428571,0.5,0.0,0.6666666666666666,0.5714285714285714,0.5,0.3333333333333333,0.8405797101449275,0.8979591836734694,0.7889908256880734,0.75,0.6666666666666666,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.38317823908375087,0.07714963005531211,0.0,0.12054867968366025,0.4370492403441333,0.1379350415431991,0.20627603935821293,0.6813168961303162,0.4448997762659239,0.6569681099784906,0.4447403903538825,0.25626173547455966,0.017391957275666746,0.3124807085206453,0.2840107323859684,0.5523819673878291,0.5901756229360552,0.33267415452593196,0.0,0.9127579645801824,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,1.0,1.0,0.25,0.9206349206349206,0.6376811594202898,0.9662921348314607,1.0,0.72,0.3333333333333333,0.5543478260869565,0.0,0.8888888888888888,1.0,0.4444444444444444,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
1,0.3304376868497176,0.5115712265278284,0.4140657928280598,0.3743658399716362,0.36326893360375917,0.7744874715261959,0.6916766456541991,0.7331730303125422,0.6736727108682623,0.26146583739764645,0.19302802460697197,0.0,0.2511374431278436,0.2177024482109228,0.20303241547577552,0.17798004731050088,0.47958251586614453,0.4652037422683617,0.4542094866499604,0.5751713417649968,0.2555260780569246,0.4129866898868018,0.7832616495972246,0.09104174929469959,0.3923635974550812,0.7828189774297559,0.530594824176053,0.0,0.9260774023294113,0.0,0.0,0.0,0.0,0.5714285714285714,0.5,0.0,0.6666666666666666,0.42857142857142855,0.5,0.3333333333333333,0.8115942028985508,0.9183673469387755,0.8807339449541285,0.75,0.5555555555555556,1.0,1.0,0.0,0.5625,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.38471920468760284,0.0555009630124602,0.0,0.13194462686175104,0.4438471875599923,0.11215943005680178,0.15070103631455195,0.6890106128038344,0.4449498327759197,0.6131044855055697,0.5157047830218562,0.33375652524588695,0.020119383086386087,0.3403020823654515,0.3201241974528997,0.4759104704097117,0.4730952314673051,0.31803773773274097,0.0,0.91559732912873,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2857142857142857,1.0,0.5,0.14285714285714285,0.9333333333333333,0.6338028169014085,0.9320388349514563,1.0,0.9375,1.0,0.5604395604395604,0.0,0.9,1.0,0.4,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
2,0.32431884958623114,0.5237098075096718,0.4225723471095051,0.38202629781441333,0.3752637144317187,0.7927107061503417,0.725951560665829,0.7575953222498882,0.7159460341283439,0.32641281489104657,0.19179767600820233,0.0,0.29493525323733816,0.26623352165725045,0.23117811084001394,0.1742260619150468,0.5176877394483851,0.47159497093836444,0.4754344578765642,0.5736027697307992,0.26807053253896557,0.3522826222166936,0.8136460486815738,0.09021110371096527,0.3819600483962567,0.776600644864118,0.48914242884803566,0.0,0.9112854421714717,0.0,0.0,0.0,0.0,0.8571428571428571,0.5,0.0,0.6666666666666666,0.6428571428571429,0.5,0.3333333333333333,0.8405797101449275,0.9183673469387755,0.8807339449541285,0.75,0.5185185185185185,1.0,1.0,0.0,0.6875,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.3973527969933003,0.060735930735930733,0.0,0.12463553771392352,0.4413399100899101,0.11948835742917624,0.17277780610943955,0.6648780255578451,0.450106054762823,0.6129568630752554,0.537557939345782,0.32038403717370506,0.035989325200152494,0.3024704808456759,0.30142774985622484,0.5379024966965714,0.5403672959200025,0.32403729449409685,0.0,0.9320654586596246,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,1.0,0.6666666666666666,0.25,0.9206349206349206,0.6521739130434783,0.9320388349514563,1.0,0.9333333333333333,1.0,0.5604395604395604,0.0,0.9166666666666666,1.0,0.5,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
3,0.32038065254717296,0.5146497156530813,0.41880682725816665,0.38324333277012407,0.37168952633972874,0.8041002277904328,0.7291151913719438,0.7486104985306519,0.71993002532778,0.30607633451161126,0.19822282980177716,0.0,0.25173741312934356,0.24696798493408664,0.19336005576856047,0.17396893962768692,0.4992414434021462,0.4471218102135331,0.44156551763543905,0.5684589839609977,0.29488616222026554,0.40253762905834056,0.8299392470435409,0.0794127111224192,0.40546680164942345,0.7834638415476739,0.49832399908392494,0.0,0.9177711859362289,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.6428571428571429,0.5,0.0,0.8260869565217391,0.8979591836734694,0.8899082568807339,0.75,0.6666666666666666,1.0,1.0,0.0,0.8125,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.3955761168136475,0.058074335148990706,0.0,0.11521739130434783,0.4326624876278456,0.11926901370599301,0.17457041126993136,0.6756498183303593,0.46334903571284775,0.6282660642890948,0.5680656367384981,0.30584349352436074,0.027987753195758594,0.29151353110889155,0.29169873556899395,0.5252758969984539,0.5650455119261178,0.3333054824469789,0.0,0.9270092741511221,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.9193548387096774,0.6666666666666666,0.9603960396039604,1.0,0.8571428571428571,1.0,0.5666666666666667,0.0,0.8666666666666667,1.0,0.5,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
4,0.317481618250501,0.5256686557905941,0.4214535597071321,0.3808443635050614,0.3752493215434316,0.7972665148063781,0.72350296092081,0.7571124674295212,0.7156511514471916,0.24864647187793637,0.19398496240601504,0.0,0.28938553072346385,0.30167608286252356,0.21897873823631928,0.19191607528540575,0.5120508563878938,0.45616277624094737,0.4827135149254341,0.5936691867448598,0.2791627119806973,0.38014678442592365,0.7973766128840625,0.10021626718351281,0.38023984131295424,0.7484108705665592,0.48289646270117215,0.0,0.9285303279826981,0.0,0.0,0.0,0.0,0.7142857142857143,0.5,0.0,0.6666666666666666,0.7857142857142857,0.5,0.3333333333333333,0.8260869565217391,0.8775510204081632,0.9174311926605505,0.75,0.5555555555555556,1.0,1.0,0.0,0.625,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.42570957980618224,0.06201380998164496,0.0,0.12150984590838476,0.4093162305805397,0.11363841910102197,0.14292279411764705,0.6549857926162246,0.46581261009632935,0.6191049494999725,0.48784764559019916,0.32656460059794934,0.0328549158737838,0.330301598551067,0.29256783326779395,0.515050838387442,0.6146164321379937,0.3254430397508033,0.0,0.9149376072261243,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,1.0,0.6666666666666666,0.16666666666666666,0.9344262295081968,0.671875,0.9259259259259259,1.0,0.9375,1.0,0.5666666666666667,0.0,0.9090909090909091,1.0,0.5714285714285714,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
5,0.3152220853656639,0.5070344836823334,0.4223625480156934,0.38905199428560067,0.37444031722188564,0.806378132118451,0.7394986931527474,0.7414490421012161,0.7272251625356368,0.3022954047160947,0.26479835953520164,0.0,0.2063896805159742,0.31883239171374766,0.2360578598814918,0.21958243340532757,0.5173779624084238,0.42068660056569174,0.4015949848582553,0.5594008337454957,0.31052956580406865,0.4068914044035328,0.8329729344390847,0.07938277794823058,0.3830135723515807,0.7430216490096729,0.4857904270158856,0.0,0.9139070219647215,0.0,0.0,0.0,0.0,0.8571428571428571,0.5,0.0,0.3333333333333333,0.7857142857142857,0.75,0.3333333333333333,0.855072463768116,0.8775510204081632,0.8807339449541285,0.75,0.6666666666666666,1.0,1.0,0.0,0.75,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.41567710576508954,0.06372129745377986,0.0,0.11393872481369031,0.3989443174588213,0.11080207779459282,0.173450320903404,0.6510573363852322,0.4866295740339586,0.6579561487385575,0.5504860174382222,0.2930518159597257,0.021198276141408248,0.2945730788407778,0.3128649796496195,0.5640879557796742,0.6311279784029109,0.33365269118572327,0.0,0.9297162003956239,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,1.0,0.75,0.25,0.9365079365079365,0.6825396825396826,0.96,1.0,0.8181818181818182,1.0,0.5543478260869565,0.0,0.9230769230769231,1.0,0.5,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
6,0.3133677802639978,0.5128880078722262,0.42455998230622566,0.3970936319535283,0.3809723356902227,0.7949886104783599,0.7370353576459416,0.7732170496722736,0.7306676507857017,0.3539755693767059,0.20437457279562543,0.0,0.28773561321933905,0.287834274952919,0.21148483792262113,0.1798827522369639,0.5216698306287415,0.448493301836944,0.39991959774383923,0.5810216915141666,0.3269219773811021,0.42480408010946635,0.8132658476502784,0.09503034475533371,0.36029696206490697,0.7108245048364809,0.5125439820116175,0.0,0.9219999404750094,0.0,0.0,0.0,0.0,0.8571428571428571,0.5,0.0,0.6666666666666666,0.7142857142857143,0.5,0.3333333333333333,0.8405797101449275,0.8979591836734694,0.8440366972477065,0.75,0.7037037037037037,1.0,1.0,0.0,0.6875,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.3917985290840205,0.07024385659916366,0.0,0.14568144997974888,0.4411348745923168,0.11993476971733544,0.1620795107033639,0.6547870272210351,0.45562011067343444,0.668347980888266,0.5760560420315236,0.28783721878508106,0.021332017390435262,0.31743293420023433,0.35794013191273466,0.5663733988873075,0.6424913610058703,0.3442788017788717,0.0,0.9243153597127669,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,0.25,0.9206349206349206,0.6567164179104478,0.9583333333333334,1.0,0.76,1.0,0.5666666666666667,0.0,0.9166666666666666,1.0,0.4444444444444444,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
7,0.3120852776797485,0.5226081646303156,0.427526452844306,0.3958953348902306,0.3841572664456504,0.8041002277904328,0.7360176437109042,0.7689822565858003,0.7208603464093677,0.34585440064432416,0.15256322624743676,0.0,0.33808309584520774,0.27148775894538607,0.23936911815963752,0.16908361616784942,0.5148732694186517,0.46077456252136884,0.45239941555314306,0.607786335052639,0.3072362176811627,0.42492847369075754,0.7905092317562912,0.11679924568401044,0.34101253528893716,0.7231229847996316,0.5154795861006434,0.0,0.9241130776404294,0.0,0.0,0.0,0.0,0.8571428571428571,0.5,0.0,0.6666666666666666,0.8571428571428571,0.5,0.3333333333333333,0.8260869565217391,0.9183673469387755,0.8899082568807339,0.75,0.7407407407407407,1.0,1.0,0.0,0.4375,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.41437263784276407,0.07724787153042154,0.0,0.13613029211040203,0.4791915968621194,0.1366938694267516,0.20019483682415976,0.6454946193014718,0.4506611947104423,0.6342011837705007,0.4485534906034249,0.30644425434844597,0.025728703773442795,0.3556269019434566,0.31463301550184447,0.5879047592019752,0.6588467349336915,0.3319434761623854,0.0,0.922246589176452,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2222222222222222,1.0,1.0,0.3333333333333333,0.9344262295081968,0.6716417910447762,0.9603960396039604,1.0,0.8695652173913043,1.0,0.5862068965517241,0.0,0.875,1.0,0.4444444444444444,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
8,0.31090079352660316,0.5278020424760345,0.4257110256952103,0.39353015254735,0.38404416064386393,0.806378132118451,0.7245086766627643,0.7719775398296463,0.7295653991751812,0.3054275359076469,0.18619275461380724,0.0,0.29808509574521275,0.2732391713747646,0.22743116068316488,0.2191196132880798,0.5043885080661176,0.45199002268983307,0.4958656098735603,0.5853458630679008,0.2680934030120413,0.39494962059957706,0.8311511378307948,0.099265888903024,0.4379202778669432,0.7484108705665592,0.4193958068747267,0.0,0.9165261215500308,0.0,0.0,0.0,0.0,0.7142857142857143,0.5,0.0,0.6666666666666666,0.8571428571428571,0.5,0.3333333333333333,0.8260869565217391,0.8775510204081632,0.926605504587156,0.75,0.5555555555555556,1.0,1.0,0.0,0.8125,1.0,0.75,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4399187961202591,0.0806680881307747,0.0,0.1307771611572967,0.4327944159408185,0.13248730964467004,0.17201566347745348,0.6723477094656596,0.4649550172457205,0.6006951482999521,0.5724037863608098,0.32500415881113454,0.03417359107934731,0.30289262281595575,0.2950794145126129,0.5504277748466321,0.5964538746742043,0.3501660090044675,0.0,0.9302822042645319,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4,1.0,0.6666666666666666,0.25,0.9344262295081968,0.7049180327868853,0.9181818181818182,1.0,1.0,1.0,0.5483870967741935,0.0,0.9285714285714286,1.0,0.6,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
9,0.30973378091720827,0.5254652369306522,0.4363575654768588,0.3967531684690744,0.38704449570790206,0.7949886104783599,0.7356539134783068,0.7505603184091224,0.7200052234745855,0.3412680656852656,0.17525632262474367,0.0,0.2918854057297135,0.2855743879472693,0.2269083304287208,0.23305564126298467,0.5103325204995618,0.4849019364063034,0.4448265025426703,0.5922560587861231,0.3331313108211643,0.47978604304017913,0.7823032261641676,0.11192762158481191,0.3499427969414883,0.7512666973744818,0.5348420811559201,0.0,0.9249712295878887,0.0,0.0,0.0,0.0,0.8571428571428571,0.5,0.0,0.6666666666666666,0.7142857142857143,0.5,0.3333333333333333,0.8115942028985508,0.9183673469387755,0.8532110091743119,0.75,0.7407407407407407,1.0,1.0,0.0,0.625,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4269719531993506,0.059858990521548305,0.0,0.1505143475906876,0.4528730139768248,0.12762828995735923,0.17835497835497835,0.6752757185498676,0.4465458760894766,0.6423807881933087,0.506759044302573,0.2837219268002883,0.031031264582361176,0.3591781071006455,0.3696828888504412,0.5760018424689083,0.59560327198364,0.3371967867268718,0.0,0.9219779431942072,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4,1.0,0.6666666666666666,0.2,0.9333333333333333,0.6338028169014085,0.9587628865979382,1.0,0.8333333333333334,1.0,0.5862068965517241,0.0,0.9090909090909091,1.0,0.4444444444444444,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
