epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_AltBasket,window_recall_AltDTC,window_recall_ChC,window_recall_DTC,window_recall_ITC,window_recall_ITCperi,window_recall_L1,window_recall_L2IT,window_recall_L3IT,window_recall_L4IT,window_recall_L5ET,window_recall_L5IT,window_recall_L5NP,window_recall_L6CT,window_recall_L6IT,window_recall_MC,window_recall_NGC,window_recall_NMC,window_recall_OPC,window_recall_PV,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_thalamocortical,cell_recall_AltBasket,cell_recall_AltDTC,cell_recall_ChC,cell_recall_DTC,cell_recall_ITC,cell_recall_ITCperi,cell_recall_L1,cell_recall_L2IT,cell_recall_L3IT,cell_recall_L4IT,cell_recall_L5ET,cell_recall_L5IT,cell_recall_L5NP,cell_recall_L6CT,cell_recall_L6IT,cell_recall_MC,cell_recall_NGC,cell_recall_NMC,cell_recall_OPC,cell_recall_PV,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_thalamocortical,window_precision_AltBasket,window_precision_AltDTC,window_precision_ChC,window_precision_DTC,window_precision_ITC,window_precision_ITCperi,window_precision_L1,window_precision_L2IT,window_precision_L3IT,window_precision_L4IT,window_precision_L5ET,window_precision_L5IT,window_precision_L5NP,window_precision_L6CT,window_precision_L6IT,window_precision_MC,window_precision_NGC,window_precision_NMC,window_precision_OPC,window_precision_PV,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_thalamocortical,cell_precision_AltBasket,cell_precision_AltDTC,cell_precision_ChC,cell_precision_DTC,cell_precision_ITC,cell_precision_ITCperi,cell_precision_L1,cell_precision_L2IT,cell_precision_L3IT,cell_precision_L4IT,cell_precision_L5ET,cell_precision_L5IT,cell_precision_L5NP,cell_precision_L6CT,cell_precision_L6IT,cell_precision_MC,cell_precision_NGC,cell_precision_NMC,cell_precision_OPC,cell_precision_PV,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_thalamocortical
0,0.35025117717726467,0.5134530602609537,0.408547884059539,0.3570554075829592,0.3549447875042458,0.7767653758542141,0.6980320595320422,0.7188108814647873,0.6748409438986981,0.3212224260593315,0.21490088858509912,0.0,0.27183640817959104,0.23112994350282487,0.1818577901707912,0.1800370256093798,0.5278203610888266,0.4669482174494141,0.45054649046192524,0.5410443015615064,0.22822445082276527,0.3351163079985073,0.7930043010241665,0.05979151544177624,0.4005201774529412,0.7839244587747581,0.4455664050300847,0.0,0.920370443858013,0.0,0.0,0.0,0.0,0.7142857142857143,0.5,0.0,0.6666666666666666,0.42857142857142855,0.5,0.3333333333333333,0.8405797101449275,0.8979591836734694,0.8807339449541285,0.75,0.5185185185185185,1.0,1.0,0.0,0.5625,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.34042250515683903,0.047516851555179394,0.0,0.11396889280174402,0.35958512788960184,0.10086511043448843,0.1461490294301816,0.629934969317399,0.4382523146037916,0.6145093727820532,0.5508128326859445,0.3352876942461151,0.03456593702686751,0.30621664194283443,0.2639402748414376,0.48350621994356346,0.434468497906668,0.31084417848013013,0.0,0.9161508854484273,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.2857142857142857,1.0,0.6666666666666666,0.16666666666666666,0.9206349206349206,0.6470588235294118,0.9320388349514563,1.0,1.0,1.0,0.5483870967741935,0.0,0.9,1.0,0.4,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
1,0.3299799249299246,0.5097802197342245,0.4096457694417895,0.38177609805194135,0.36818926756108145,0.7699316628701595,0.6207109410857963,0.6958128368174413,0.6185647507693591,0.27155577430757527,0.1773069036226931,0.0,0.263986800659967,0.2654802259887006,0.2148832345765075,0.2458603311735061,0.49648786971360187,0.43909100798806455,0.43899631863781435,0.5670599872818484,0.2900204690734028,0.33872372185595223,0.8564899523956625,0.06490260493448377,0.3572351580697466,0.7305849838783971,0.4328246340904832,0.0,0.9221338717038037,0.0,0.0,0.0,0.0,0.7142857142857143,0.5,0.0,0.6666666666666666,0.5714285714285714,0.25,0.3333333333333333,0.8405797101449275,0.8979591836734694,0.8715596330275229,0.75,0.5555555555555556,0.0,1.0,0.0,0.5,1.0,0.75,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.416183781930396,0.07240551554736784,0.0,0.11896178803172314,0.39076923076923076,0.12667591308368006,0.17374082418780434,0.6731099193785761,0.4677385977981955,0.6096081204004659,0.5255038566807664,0.28887914390992603,0.03327508462356262,0.2653436822874362,0.259546325113718,0.5648049345444135,0.6237366785953046,0.34008964795183877,0.0,0.9215967201005386,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.8888888888888888,1.0,0.16666666666666666,0.9354838709677419,0.6875,0.95,1.0,0.8333333333333334,0.0,0.504950495049505,0.0,0.8888888888888888,1.0,0.5,0.0,0.918918918918919,0.0,0.0,0.0,0.0
2,0.3239333972336755,0.5157978183955108,0.4180278294357416,0.3805223982202771,0.37014163278836865,0.7927107061503417,0.6944469426983466,0.7310009674491875,0.6864504535829453,0.2521589332856056,0.20956937799043063,0.0,0.3194340282985851,0.26,0.20320669222725687,0.16769515581610614,0.49886547468697956,0.4308775992291673,0.44768343550269774,0.5859535080901576,0.34814577639538474,0.388854335116308,0.8106757281245792,0.09477591277473041,0.36856054058947957,0.7392906494702902,0.4793779017717724,0.0,0.9193758804738189,0.0,0.0,0.0,0.0,0.5714285714285714,0.5,0.0,0.6666666666666666,0.7142857142857143,0.5,0.0,0.855072463768116,0.8775510204081632,0.8899082568807339,0.75,0.7037037037037037,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.41587336727916757,0.06236016759549282,0.0,0.11216052525323456,0.41885865113315734,0.11371172225472986,0.1605454903505317,0.6877110122382536,0.47280238402803537,0.6365715015277298,0.5360213038251225,0.2659277116852716,0.032556395675810784,0.31948493834868114,0.27796677128371705,0.5292775755283439,0.5591555183946488,0.3237076297993786,0.0,0.9247105017636816,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2222222222222222,1.0,0.6666666666666666,0.0,0.9365079365079365,0.7166666666666667,0.941747572815534,1.0,0.7916666666666666,1.0,0.5666666666666667,0.0,0.8,1.0,0.5714285714285714,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
3,0.3203018560934061,0.5246582584080842,0.4208168496742537,0.39204218112459865,0.378051692510618,0.785876993166287,0.6933997645678353,0.7541757706231391,0.6906044346954707,0.23392545527764105,0.17170198222829802,0.0,0.3250837458127094,0.28847457627118644,0.19754269780411293,0.25815077650930784,0.5231763531564162,0.44751421999813507,0.4919658963831229,0.5686992157139829,0.3099978273050578,0.41062321184226896,0.8190005465389825,0.10630766813089777,0.31752224334757234,0.7344081068631967,0.4609106618642127,0.0,0.909698109089466,0.0,0.0,0.0,0.0,0.5714285714285714,0.5,0.0,0.6666666666666666,0.7857142857142857,0.5,0.3333333333333333,0.855072463768116,0.8775510204081632,0.8899082568807339,0.75,0.5925925925925926,1.0,1.0,0.0,0.4375,1.0,0.75,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.45381944444444444,0.06655715118435696,0.0,0.11672830419015476,0.4123505976095618,0.13926772330753165,0.1937475878039367,0.6600053441998731,0.46197749131658955,0.5966081477705241,0.5514160831974569,0.30251697605776046,0.038161408538629614,0.31974741321194655,0.30009717351810383,0.5897874942669317,0.5767408211249774,0.3420792385190679,0.0,0.935150859980929,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2,0.9166666666666666,1.0,0.16666666666666666,0.9365079365079365,0.6825396825396826,0.9238095238095239,1.0,0.8421052631578947,1.0,0.5604395604395604,0.0,0.875,1.0,0.5,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
4,0.31741315420517013,0.5284018351227356,0.42955757745611467,0.39332868640178736,0.38346180170906885,0.8041002277904328,0.7243354183996575,0.7507881145649963,0.7134923540260274,0.335070920399123,0.1568010936431989,0.0,0.2632868356582171,0.25404896421845574,0.2510456605088881,0.23598683533888717,0.5258160771636073,0.44417290896093,0.4925985029671289,0.5899667914929697,0.2958753101807911,0.4302773976862794,0.796885519885306,0.1048409425956552,0.3578113039828144,0.7739751266697374,0.5069434323665966,0.0,0.916632770491478,0.0,0.0,0.0,0.0,0.7142857142857143,0.5,0.0,0.6666666666666666,0.6428571428571429,0.5,0.3333333333333333,0.8405797101449275,0.8775510204081632,0.9357798165137615,0.75,0.5555555555555556,1.0,1.0,0.0,0.75,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.408604790745894,0.056600049346163334,0.0,0.13578464235985765,0.4511856583832235,0.12381811930548392,0.18495828463181654,0.6477597043599086,0.47281938872575374,0.5966754004350405,0.5677046505303236,0.3216698886699446,0.02928923436468018,0.3446673952441477,0.35329718824864453,0.5658557538365419,0.561259937203554,0.32835277459375634,0.0,0.9296134942474381,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.4,0.2,0.9354838709677419,0.7166666666666667,0.918918918918919,1.0,0.9375,1.0,0.5666666666666667,0.0,0.9230769230769231,1.0,0.4444444444444444,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
5,0.3152811839187063,0.5265078632271858,0.4256701600535434,0.3888605538751032,0.3799541964789179,0.8041002277904328,0.7289119632744784,0.7504013223069596,0.7188696744544091,0.31688218712246635,0.1674641148325359,0.0,0.3128343582820859,0.23666666666666666,0.18935169048448938,0.20014398848092152,0.5071738537587605,0.444448761383769,0.47141842640132564,0.5948138203914365,0.3437660808013814,0.3956959820873243,0.8082757091145276,0.09960263711264601,0.4010469394306032,0.8018885306310456,0.44719035622826925,0.0,0.9233987777535269,0.0,0.0,0.0,0.0,0.7142857142857143,0.5,0.0,0.6666666666666666,0.5714285714285714,0.5,0.3333333333333333,0.855072463768116,0.8775510204081632,0.8899082568807339,0.75,0.7407407407407407,1.0,1.0,0.0,0.75,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4202094520426024,0.06678296897999236,0.0,0.13973067732642533,0.48461360481258675,0.12912234832729216,0.19599153993352805,0.6773035853192844,0.4777045593111339,0.6232298897399027,0.48143107135912894,0.27987301350860694,0.03152907593343311,0.3362783447739503,0.28266825238388515,0.5813795325195976,0.519811292586068,0.3519705038918476,0.0,0.9198602570025918,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4,1.0,0.5,0.2,0.921875,0.6825396825396826,0.9509803921568627,1.0,0.8333333333333334,1.0,0.5795454545454546,0.0,0.9230769230769231,1.0,0.5714285714285714,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
6,0.3134770021250184,0.5200105978714685,0.41412785282987996,0.3917893950491422,0.3727222603170864,0.7972665148063781,0.6831049495443161,0.6940051643751585,0.6637541087426764,0.2624054767551121,0.14490772385509226,0.0,0.32363381830908455,0.21971751412429377,0.22577553154409202,0.1974699166923789,0.499545925108091,0.40423258633015263,0.5023896203544229,0.5822228502790928,0.2885567587965557,0.3864908570717751,0.849947326315456,0.07789360253234653,0.40842160711787123,0.7106863196683556,0.46118132039724347,0.0,0.9088225956864223,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.6666666666666666,0.5714285714285714,0.5,0.3333333333333333,0.8405797101449275,0.8775510204081632,0.944954128440367,0.75,0.5185185185185185,1.0,1.0,0.0,0.75,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4306748916795182,0.0729977274292404,0.0,0.12372887835461427,0.46058189570091984,0.11806789701526543,0.1683767429623783,0.6860723038770064,0.5008834049846187,0.6041685072297317,0.5255967036191302,0.30333884297520664,0.029784215420305415,0.2870069220811178,0.2890746500777605,0.5590833295777187,0.6457539865232494,0.3135004316628218,0.0,0.9335177797139552,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,1.0,0.4,0.16666666666666666,0.9354838709677419,0.7413793103448276,0.911504424778761,1.0,1.0,1.0,0.5425531914893617,0.0,0.9230769230769231,1.0,0.5,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
7,0.3120133665739962,0.5247051368284823,0.42551394385332997,0.38600034744625045,0.37826432195112525,0.8018223234624146,0.7260823620125512,0.7543734814568148,0.7183070876764024,0.24323235938968185,0.19972658920027342,0.0,0.3254837258137093,0.2694538606403013,0.2064308121296619,0.193355960094621,0.4929082239184942,0.46032775930127745,0.4677186982180901,0.5885819260934078,0.32026095209779415,0.38785918646597833,0.8005211922470673,0.11471889007790109,0.4256566005744998,0.7894518654997696,0.4487102079906727,0.0,0.9248521796067383,0.0,0.0,0.0,0.0,0.5714285714285714,0.5,0.0,0.6666666666666666,0.7142857142857143,0.5,0.3333333333333333,0.8115942028985508,0.8979591836734694,0.8990825688073395,0.75,0.7037037037037037,1.0,1.0,0.0,0.75,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4383517458269494,0.05710377174125464,0.0,0.13381845091267883,0.45721224515881637,0.11466602129719264,0.17315219894082431,0.691261162579136,0.46660024259227173,0.6246736256847728,0.4878080202379837,0.29946749927823696,0.02938044758539458,0.34061993400941665,0.2817134351397541,0.5389553545374963,0.5592208300704777,0.33472595399692484,0.0,0.919275314442927,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4,0.9090909090909091,0.6666666666666666,0.16666666666666666,0.9333333333333333,0.6875,0.9333333333333333,1.0,0.8636363636363636,1.0,0.5795454545454546,0.0,0.9230769230769231,1.0,0.5714285714285714,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
8,0.310735486629353,0.5323936163311023,0.42726196723010906,0.4018675702502778,0.3890735028024352,0.8018223234624146,0.7364717241794363,0.7860399985642905,0.7390431525062018,0.3165466016376572,0.16527682843472316,0.0,0.29558522073896304,0.25054613935969866,0.20189961659114675,0.23572971305152732,0.49372105769001645,0.4759658720044758,0.4867091397366724,0.5873525047693069,0.3335772850461412,0.4104988182609777,0.8119826691696568,0.10545457266652199,0.4263068223906763,0.7114693689543989,0.4541233786512877,0.0,0.9279698009881149,0.0,0.0,0.0,0.0,0.7142857142857143,0.5,0.0,0.6666666666666666,0.7142857142857143,0.5,0.3333333333333333,0.8115942028985508,0.8979591836734694,0.8807339449541285,0.75,0.7037037037037037,1.0,1.0,0.0,0.8125,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.42883554585682243,0.07201572551822731,0.0,0.15142279025689626,0.49712278603990734,0.13496825304363022,0.17126844759947693,0.6925142328732021,0.45404039093742704,0.6136818595843003,0.5147627068265134,0.2945345866863218,0.03596612644818153,0.33749806578631136,0.325,0.5676662063523378,0.6760329131652661,0.3480675326333259,0.0,0.9182180948968524,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,0.16666666666666666,0.9333333333333333,0.6567164179104478,0.9411764705882353,1.0,0.8636363636363636,1.0,0.5730337078651685,0.0,0.9285714285714286,1.0,0.6666666666666666,0.0,0.918918918918919,0.0,0.0,0.0,0.0
9,0.3093307784282863,0.519168460533602,0.41942225079193873,0.396237953145058,0.3785471794994496,0.7927107061503417,0.7048495739601912,0.7607195809920859,0.7074602295484108,0.24086088863036378,0.16678058783321942,0.0,0.3423828808559572,0.28900188323917136,0.19109445799930289,0.16090712742980562,0.4935330733324331,0.4621810213533087,0.451254601702732,0.5968345933724298,0.28394264085352605,0.4095036696106481,0.833511552566753,0.08370063832493957,0.4337144127015482,0.7438968217411331,0.44213112364930984,0.0,0.9243685390583146,0.0,0.0,0.0,0.0,0.5714285714285714,0.5,0.0,0.6666666666666666,0.7857142857142857,0.5,0.0,0.8115942028985508,0.8979591836734694,0.8899082568807339,0.75,0.5925925925925926,1.0,1.0,0.0,0.75,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.48495495495495494,0.079816813869807,0.0,0.14323962516733602,0.4655664098052303,0.1371996996996997,0.16630348126494818,0.690714047504354,0.46387877180805015,0.6248844931119746,0.5128905728198963,0.31711600107278326,0.022889086661475135,0.30526666956761384,0.29130638608188353,0.5376876218074957,0.625968992248062,0.33923864598476017,0.0,0.9233608831807191,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4,1.0,1.0,0.0,0.9180327868852459,0.6666666666666666,0.9326923076923077,1.0,0.8421052631578947,1.0,0.5604395604395604,0.0,0.8571428571428571,1.0,0.5714285714285714,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
