epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_AltBasket,window_recall_AltDTC,window_recall_ChC,window_recall_DTC,window_recall_ET,window_recall_IT,window_recall_ITC,window_recall_ITCperi,window_recall_L1,window_recall_L6CT,window_recall_MC,window_recall_NGC,window_recall_NMC,window_recall_NP,window_recall_OPC,window_recall_PV,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_thalamocortical,cell_recall_AltBasket,cell_recall_AltDTC,cell_recall_ChC,cell_recall_DTC,cell_recall_ET,cell_recall_IT,cell_recall_ITC,cell_recall_ITCperi,cell_recall_L1,cell_recall_L6CT,cell_recall_MC,cell_recall_NGC,cell_recall_NMC,cell_recall_NP,cell_recall_OPC,cell_recall_PV,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_thalamocortical,window_precision_AltBasket,window_precision_AltDTC,window_precision_ChC,window_precision_DTC,window_precision_ET,window_precision_IT,window_precision_ITC,window_precision_ITCperi,window_precision_L1,window_precision_L6CT,window_precision_MC,window_precision_NGC,window_precision_NMC,window_precision_NP,window_precision_OPC,window_precision_PV,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_thalamocortical,cell_precision_AltBasket,cell_precision_AltDTC,cell_precision_ChC,cell_precision_DTC,cell_precision_ET,cell_precision_IT,cell_precision_ITC,cell_precision_ITCperi,cell_precision_L1,cell_precision_L6CT,cell_precision_MC,cell_precision_NGC,cell_precision_NMC,cell_precision_NP,cell_precision_OPC,cell_precision_PV,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_thalamocortical
0,0.3722070472652139,0.5891334169782729,0.36531775046010734,0.25578644239111614,0.25799271775428406,0.7901498929336188,0.4440253681907951,0.5068276317673667,0.4124307935333253,0.04673587185108954,0.1721546170365068,0.0,0.19709740440971252,0.11738853953225464,0.6184245480727469,0.09350282485875706,0.18907069599937368,0.3191460884695175,0.6355456280841828,0.2784867186283429,0.19148936170212766,0.3535317825072474,0.08739684921230308,0.42840095465393796,0.8783160380166273,0.9996380891105034,0.8018045112781955,0.35473340587595215,0.17817332944266123,0.0,0.0,0.0,0.0,0.0,0.872791519434629,0.07142857142857142,0.0,0.6666666666666666,1.0,0.4375,0.3333333333333333,0.75,0.0,1.0,0.9714285714285714,1.0,1.0,0.3333333333333333,0.0,0.11989210284664831,0.030323089046493303,0.0,0.08368686748986799,0.19951963492254113,0.9205286166650453,0.2415118202159743,0.07359215017064846,0.1066890380313199,0.20021959101174064,0.5017942848704128,0.12116219257354123,0.16313745962347875,0.008137747974294497,0.12095687331536388,0.9067677913458511,0.8657449327854009,0.11201680672268907,0.008119147240486152,0.07614225857940941,0.0,0.0,0.0,0.0,0.0,0.9427480916030534,1.0,0.0,0.18181818181818182,0.4857142857142857,0.875,1.0,0.2,0.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.0
1,0.33875062397317796,0.5985183132098787,0.3884611881271849,0.2665933873421554,0.2693332394436847,0.8051391862955032,0.49721487907046774,0.6326397704217254,0.47809026078604727,0.06190433576446373,0.19756621331424482,0.0,0.20362824448785932,0.20987776443156927,0.6240299780870978,0.08591337099811676,0.23455726923980272,0.3426353476544201,0.6442664892395187,0.2942637259964102,0.21924420450936805,0.3458483584340899,0.09489872468117029,0.5513126491646778,0.8872795095140776,0.9996783014315587,0.8129323308270676,0.39934711643090315,0.1715786402100963,0.0,0.0,0.0,0.3333333333333333,0.08333333333333333,0.8833922261484098,0.07142857142857142,0.25,0.6666666666666666,1.0,0.4375,0.6666666666666666,0.75,0.0,1.0,0.9714285714285714,1.0,1.0,0.3333333333333333,0.0,0.15155000547705116,0.03067007445271697,0.0,0.08935701163502756,0.28640851589015737,0.9244951611475811,0.2411459985199281,0.07672018642288289,0.10618441246007715,0.2080729373182131,0.5184768011090413,0.16073756751722854,0.17120522692801307,0.008339926160337553,0.10885956644674835,0.9057291653480312,0.8720053316496545,0.1109105083911206,0.012970031099802092,0.0814359315273392,0.0,0.0,0.0,0.3333333333333333,1.0,0.946969696969697,1.0,1.0,0.2,0.5204081632653061,0.875,1.0,0.2,0.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.0
2,0.3317010033656645,0.5907790940444638,0.3856749142095922,0.28506438773341336,0.28822191310092693,0.7922912205567452,0.5046849677196525,0.6364553901459624,0.4901485168459121,0.06895163094545617,0.18611309949892627,0.0,0.23471950879151549,0.21687274782731578,0.6055986832580649,0.08817325800376648,0.24802317388240822,0.2935153583617747,0.6700488716742311,0.33166138034471737,0.21486186090822484,0.3281010629522261,0.10452613153288322,0.5298329355608592,0.8864759221413123,0.9994370275052276,0.8117293233082706,0.3394994559303591,0.1696819375547126,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.8586572438162544,0.07142857142857142,0.25,0.6666666666666666,1.0,0.4375,0.6666666666666666,0.5,0.0,1.0,0.9714285714285714,1.0,1.0,0.3333333333333333,0.0,0.16883970636572807,0.03163498098859316,0.0,0.08501647762883888,0.326942331863403,0.9299256240800134,0.2416391412056152,0.07481049424988784,0.1097268087661363,0.20482516991484281,0.5080730212936923,0.1740674041677386,0.17124686315996654,0.007274309332173157,0.23730625334045966,0.9101743342144265,0.938240845602114,0.21258664146187775,0.01227524884919542,0.07161771045015088,0.0,0.0,0.0,0.5,1.0,0.94921875,1.0,1.0,0.2,0.4811320754716981,0.875,1.0,0.14285714285714285,0.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.0
3,0.32705573993798437,0.5960914551002379,0.40207977874528766,0.288051560958876,0.2962577386965703,0.815845824411135,0.49611838784239753,0.6229317392504778,0.48875727877080083,0.07210613450266232,0.19022906227630637,0.0,0.21819704158526373,0.2786688334628701,0.6105589547025594,0.09436911487758945,0.21983872230486182,0.3303218898480894,0.6624131676290506,0.3318171014564022,0.21035249285487456,0.32869028258973815,0.13115778944736184,0.6109785202863962,0.8907071568880335,0.9996783014315587,0.8189473684210526,0.4733405875952122,0.1671432740005836,0.0,0.0,0.0,0.3333333333333333,0.5833333333333334,0.8833922261484098,0.07142857142857142,0.25,0.6666666666666666,1.0,0.5,0.3333333333333333,0.5,0.0,1.0,0.9714285714285714,1.0,1.0,0.3333333333333333,0.0,0.1738403451995685,0.0328756108121482,0.0,0.09097891355955873,0.3121240899018677,0.9305569837189375,0.22742125805573205,0.08366355808479575,0.10777763221101358,0.2229845031516302,0.5052539623112442,0.16552551351891648,0.17036195502131662,0.007358924713079103,0.2740899357601713,0.9090876873228028,0.9347973227043694,0.22214064284548865,0.013308450100960656,0.08883236922504303,0.0,0.0,0.0,0.25,1.0,0.9505703422053232,1.0,1.0,0.2,0.5368421052631579,0.8,1.0,0.15384615384615385,0.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.0
4,0.3236376707281073,0.6010004396721185,0.4133128412348162,0.29881487279154745,0.3032009354312492,0.8137044967880086,0.5405165962609705,0.6311665864167808,0.5162310759183106,0.070629558369502,0.2054402290622763,0.0,0.20993580798213787,0.2731717657033844,0.6168046237769748,0.10642184557438794,0.23988099898222814,0.3250351335073278,0.7038392383306007,0.3055002335816675,0.25773261352810417,0.33778783379292465,0.1086521630407602,0.6479713603818615,0.8882046270759341,0.9996783014315587,0.8195488721804511,0.5505984766050055,0.18611030055442077,0.0,0.0,0.0,0.6666666666666666,0.5833333333333334,0.872791519434629,0.07142857142857142,0.25,0.6666666666666666,1.0,0.4375,0.6666666666666666,0.75,0.0,1.0,0.9714285714285714,1.0,1.0,0.3333333333333333,0.0,0.18280254777070062,0.0338243959929287,0.0,0.0984271544843108,0.3566802590549292,0.929399306382866,0.26610472782068184,0.08308927215533138,0.11398465185046115,0.2097363514055751,0.552852884030672,0.17946223244295065,0.17835631440091593,0.007835252323977315,0.2874536791953414,0.9133797015397407,0.9276811702365848,0.2450759960428096,0.01563127490655216,0.09570541100207076,0.0,0.0,0.0,0.5,1.0,0.946360153256705,1.0,1.0,0.2,0.5204081632653061,1.0,0.6666666666666666,0.21428571428571427,0.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.0
5,0.320957172234148,0.6044155289222589,0.4131971343055407,0.3079104312079048,0.3132882013751129,0.8094218415417559,0.5240692278399178,0.5867466284759518,0.49134879139226845,0.09103315584589915,0.20669291338582677,0.0,0.2241138710577728,0.27940366000141315,0.6191034404240336,0.11551789077212805,0.2325217255147577,0.3185437997724687,0.719562135145625,0.2863957119323351,0.28771038424896794,0.3463433029296,0.09939984996249063,0.6563245823389021,0.8962355403877061,0.9996380891105034,0.8171428571428572,0.48313384113166485,0.171928800700321,0.0,0.0,0.0,0.6666666666666666,0.5833333333333334,0.872791519434629,0.07142857142857142,0.0,0.6666666666666666,1.0,0.375,0.6666666666666666,0.75,0.0,1.0,0.9714285714285714,1.0,1.0,0.3333333333333333,0.0,0.19556858598481208,0.03296326949970033,0.0,0.09693852914191897,0.3563421403597304,0.9319147855781214,0.24911667952727126,0.08198757763975155,0.11099452022851813,0.20776452560921221,0.5637674846328832,0.2032483847810481,0.17468261138319624,0.008435639782264996,0.3384615384615385,0.9085320628056369,0.9523426426081293,0.3282590310498973,0.018461538461538463,0.09051664541502158,0.0,0.0,0.0,0.3333333333333333,1.0,0.95,1.0,0.0,0.2,0.5204081632653061,1.0,1.0,0.2,0.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.0
6,0.3187320265403739,0.613934883981829,0.4120737465348907,0.30800424436148227,0.3115770404057504,0.8179871520342612,0.5167657438649629,0.6238173202641356,0.5080040978344776,0.06852655599803123,0.20239799570508232,0.0,0.23243092380686575,0.2769589486327987,0.6331851858098848,0.08613935969868174,0.24559617944100837,0.34437529277922774,0.7140016950629312,0.34874152754214716,0.24248967926325818,0.3227038110726154,0.10977744436109027,0.6062052505966588,0.8957320581757574,0.9994772398262828,0.8249624060150376,0.5027203482045702,0.17297928217099504,0.0,0.0,0.0,0.3333333333333333,0.5833333333333334,0.8798586572438163,0.07142857142857142,0.25,0.6666666666666666,1.0,0.5625,0.6666666666666666,0.5,0.0,1.0,0.9714285714285714,1.0,1.0,0.3333333333333333,0.0,0.19515769353297227,0.03395988469853471,0.0,0.09272909475559514,0.37352061138533665,0.9309892658006009,0.2687110797791094,0.08863584990958409,0.10920589109121005,0.2174548647631546,0.5219380558111009,0.20786149825783973,0.17695638126009694,0.00908103635517402,0.39502332814930013,0.9095813405263277,0.9500057332874671,0.2592872672275262,0.0205708179349036,0.09141094834232845,0.0,0.0,0.0,0.25,1.0,0.9467680608365019,1.0,1.0,0.2,0.5368421052631579,0.8181818181818182,1.0,0.18181818181818182,0.0,1.0,0.918918918918919,1.0,1.0,1.0,0.0
7,0.31688742573988227,0.6175289767023271,0.4246298109568499,0.3068139545501332,0.3143623355668021,0.8179871520342612,0.5149447160303586,0.5665726842511092,0.49535038411476523,0.0719495279430847,0.20150322118826056,0.0,0.22528607312308122,0.30882498410231046,0.6379634353920779,0.10154425612052731,0.22398809989822283,0.3360101719868835,0.683957892735784,0.35092981895371805,0.25906637027627816,0.33349831483183673,0.16266566641660415,0.6431980906921241,0.898904244131828,0.9996380891105034,0.8321804511278196,0.6191512513601741,0.1777064487890283,0.0,0.0,0.0,0.3333333333333333,0.5833333333333334,0.8869257950530035,0.07142857142857142,0.0,0.6666666666666666,1.0,0.4375,0.6666666666666666,0.5,0.0,1.0,0.9714285714285714,1.0,1.0,0.6666666666666666,0.0,0.20034886618489908,0.03552835010885685,0.0,0.09989109989109989,0.35119238927813845,0.9305397520506969,0.2625505185762283,0.09139991054884672,0.11141437003505969,0.24431159071746672,0.5318345547137001,0.22918305427576133,0.17563022081000906,0.009408242517156846,0.3176193282262817,0.9072523918474424,0.9507764093934062,0.26332318233726687,0.01771206225680934,0.09954884268340526,0.0,0.0,0.0,0.2,1.0,0.9471698113207547,1.0,0.0,0.2,0.5543478260869565,0.7777777777777778,1.0,0.16666666666666666,0.0,1.0,0.918918918918919,1.0,1.0,1.0,0.0
8,0.31526096421934574,0.6313749363795269,0.4156149583257594,0.30284505985222127,0.3108909361043029,0.8222698072805139,0.5219935882108098,0.5802804975086273,0.5004972878548518,0.08040628216027562,0.18647100930565497,0.0,0.25219090147920736,0.2866106125909701,0.6612074163718474,0.11137476459510358,0.2461442104439051,0.3227598206518102,0.7203938249015833,0.3531836771491562,0.25951095585900286,0.3031417191072144,0.1086521630407602,0.6420047732696897,0.8934701085338995,0.9995978767894483,0.8312781954887218,0.4646354733405876,0.17365042311059237,0.0,0.0,0.0,0.6666666666666666,0.5833333333333334,0.8869257950530035,0.14285714285714285,0.0,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,0.0,1.0,0.9714285714285714,1.0,1.0,0.3333333333333333,0.0,0.21211048158640228,0.03938763938763939,0.0,0.09335675173055068,0.3653887727895078,0.9264081199400536,0.2670821478571106,0.08996222959826028,0.11045712715280323,0.22370375836284928,0.5405883459825629,0.2153586675802456,0.1734077549479588,0.011789924973204717,0.2574162679425837,0.9145143356164036,0.9323381591778561,0.25009048136083967,0.022274387063119457,0.10842078414225331,0.0,0.0,0.0,0.3333333333333333,1.0,0.943609022556391,1.0,0.0,0.2,0.5483870967741935,0.8888888888888888,1.0,0.16666666666666666,0.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.0
9,0.313826514738733,0.6221760552749518,0.4230124281559592,0.3165532323839821,0.32316638634289724,0.8201284796573876,0.5412605055040428,0.589554120562065,0.5063248688179379,0.07264307127835698,0.22279885468861846,0.0,0.22723974323192855,0.30014837843566733,0.644424157323112,0.10337099811676083,0.236044781961951,0.3526065716388945,0.7066828252104967,0.3337267340365371,0.3027627818355033,0.34014471234297294,0.14141035258814705,0.6933174224343676,0.9008760094446319,0.9995978767894483,0.8285714285714286,0.4602829162132753,0.17058651882112635,0.0,0.5,0.0,0.6666666666666666,0.5833333333333334,0.8869257950530035,0.07142857142857142,0.0,0.6666666666666666,1.0,0.4375,0.6666666666666666,0.5,0.0,1.0,0.9714285714285714,1.0,1.0,0.3333333333333333,0.0,0.20102773650321942,0.03270807061790668,0.0,0.1008971944086448,0.3535521672548106,0.9310615129832086,0.2776850306065665,0.08833611672672936,0.11183037609304695,0.2375738274156011,0.5501080788975953,0.2403569807895931,0.17660735700824787,0.009624630885619219,0.4164874551971326,0.9076157302135442,0.9621086039400859,0.2973235484567235,0.024905793688177108,0.0947012036092077,0.0,0.2,0.0,0.3333333333333333,1.0,0.9471698113207547,1.0,0.0,0.2,0.5604395604395604,0.875,1.0,0.16666666666666666,0.0,1.0,0.918918918918919,1.0,1.0,1.0,0.0
