pre_type,L5ET,L2IT,L3IT,L4IT,L6IT,L5IT,L5NP,L6CT,thalamocortical,MC,NMC,DTC,PV,ITC,ITCperi,NGC,AltBasket,AltDTC,L1,astrocyte,oligo,microglia,OPC
L5ET,2822,38,64,63,80,89,28,246,0,837,50,33,1223,42,0,15,5,7,1,13,0,1,0
L2IT,1778,6817,1738,643,251,560,11,396,2,4204,1164,162,6364,1116,144,177,195,24,495,29,0,2,1
L3IT,1674,2072,5133,1506,391,647,8,414,4,3819,1474,183,6217,956,140,164,66,19,99,42,0,1,1
L4IT,1725,3331,4525,13329,649,2285,16,1370,3,6430,1593,246,14976,1073,67,388,75,9,35,74,0,5,1
L6IT,248,163,238,349,2925,134,13,946,0,585,166,456,3099,92,18,200,33,53,9,22,0,2,0
L5IT,492,1178,599,590,171,2453,10,633,2,1050,457,131,2925,369,9,117,22,13,29,18,0,4,0
L5NP,72,34,20,14,98,43,126,226,0,94,1,24,159,35,1,2,5,34,0,2,0,0,0
L6CT,266,55,78,386,258,169,78,4853,0,882,213,1628,697,65,11,24,3,19,1,56,0,4,0
thalamocortical,44,591,1109,2252,81,188,2,81,599,26,11,7,1260,242,25,59,13,1,8,27,0,0,0
MC,3350,12435,13155,21323,1092,2282,66,575,1,2174,307,160,6297,2704,368,277,389,41,307,19,0,4,0
NMC,852,6208,5638,5290,337,467,15,273,0,235,717,59,2046,1292,82,62,93,21,114,11,0,1,0
DTC,405,264,474,617,539,308,17,1388,0,58,34,391,480,299,30,6,24,4,0,3,0,0,0
PV,9264,20085,21155,28958,4748,8903,126,3529,8,2636,1127,382,25091,1666,43,117,118,103,132,95,0,5,1
ITC,835,241,477,374,268,441,17,1112,0,4573,1316,303,1637,1657,139,141,32,46,139,12,0,0,0
ITCperi,63,64,80,92,21,56,2,163,0,113,111,28,2411,173,212,39,90,4,82,2,0,0,0
NGC,201,290,326,299,233,106,8,132,1,14,1,8,164,150,21,285,2,1,15,7,0,0,0
AltBasket,46,1237,671,274,120,84,0,95,0,20,12,4,154,25,2,18,658,0,9,1,0,0,0
AltDTC,18,8,24,19,138,13,82,327,0,51,37,13,28,103,1,11,28,197,0,3,0,1,0
L1,104,1423,414,185,44,92,2,247,0,66,20,1,280,332,42,33,63,1,225,0,0,0,0
astrocyte,138,172,215,289,97,94,6,203,0,37,10,24,276,45,6,20,3,6,2,1041,1,0,0
oligo,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0
microglia,5,11,6,5,7,4,0,15,0,0,0,4,4,3,0,0,0,0,0,1,0,243,0
OPC,1,0,0,0,3,3,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,17
