root_id,cell_type,group,split,n_nodes,n_boutons,n_targets,n_postsyn_sites,n_in_resolved,n_in_from_db,n_input_cells,n_input_cells_in_db,n_in_unresolved,frac_in_resolved,frac_in_from_db
864691134918921738,L3IT,excitatory,test,3968,471,392,5067,5067,351,4097,130,0,1.0,0.06927175843694494
864691134919869706,L4IT,excitatory,train,3415,501,436,2370,2370,159,2011,78,0,1.0,0.0670886075949367
864691134919927050,L6IT,excitatory,train,2439,200,179,1778,1778,60,1621,41,0,1.0,0.03374578177727784
864691134919955466,astrocyte,glia,train,1878,106,87,164,164,22,148,7,0,1.0,0.13414634146341464
864691134949081852,L4IT,excitatory,test,3505,605,539,1984,1984,165,1748,89,0,1.0,0.08316532258064516
864691134949350652,L3IT,excitatory,train,3893,431,370,4270,4270,329,3618,134,0,1.0,0.07704918032786885
864691134950156796,L2IT,excitatory,train,6535,737,635,5620,5620,289,5021,111,0,1.0,0.05142348754448398
864691134949041148,L6CT,excitatory,train,1497,63,43,2308,2308,84,2070,52,0,1.0,0.036395147313691506
864691134949263100,L4IT,excitatory,train,5855,578,517,1782,1782,174,1526,107,0,1.0,0.09764309764309764
864691134949221372,L2IT,excitatory,test,6245,617,552,3413,3413,164,3045,76,0,1.0,0.048051567535892174
864691134948788476,L3IT,excitatory,train,6992,653,572,4869,4869,208,4353,116,0,1.0,0.04271924419798727
864691134949597180,astrocyte,glia,train,621,68,59,59,59,12,50,3,0,1.0,0.2033898305084746
864691134949095932,L6IT,excitatory,train,3319,126,108,3075,3075,49,2766,27,0,1.0,0.015934959349593495
864691134991067002,PV,inhibitory,train,7367,2109,1205,5289,5289,333,4423,159,0,1.0,0.06296086216676121
864691134991032954,L4IT,excitatory,train,4375,932,790,2721,2721,267,2262,104,0,1.0,0.09812568908489526
864691134990435194,L6IT,excitatory,train,3889,492,422,3536,3536,125,2564,38,0,1.0,0.035350678733031674
864691135014099446,L4IT,excitatory,train,6410,1358,1199,3224,3224,20,2741,9,0,1.0,0.00620347394540943
864691134989919098,L6CT,excitatory,train,2374,186,131,2823,2823,84,2531,54,0,1.0,0.02975557917109458
864691134990847098,PV,inhibitory,train,7107,1546,875,5530,5530,142,4961,89,0,1.0,0.025678119349005425
864691135059143323,L5IT,excitatory,train,4351,354,312,5187,5187,30,4519,16,0,1.0,0.00578368999421631
864691135060094107,L4IT,excitatory,train,4832,650,564,2504,2504,160,2172,89,0,1.0,0.06389776357827476
864691135015437462,PV,inhibitory,train,14958,5643,2859,10808,10808,417,9554,216,0,1.0,0.03858253145817913
864691135060020123,L4IT,excitatory,train,3627,452,399,1961,1961,73,1736,37,0,1.0,0.037225905150433454
864691135015605910,L3IT,excitatory,train,9020,1531,1308,2946,2946,218,2554,116,0,1.0,0.07399864222674814
864691135059954075,L6CT,excitatory,test,1877,147,100,3071,3071,91,2737,46,0,1.0,0.02963204168023445
864691135059845275,L4IT,excitatory,train,4324,608,522,2441,2441,19,2141,6,0,1.0,0.0077836952068824255
864691135084038647,DTC,inhibitory,train,6436,2462,1736,6602,6602,498,5529,264,0,1.0,0.0754316873674644
864691135101431072,L2IT,excitatory,train,5502,417,376,5214,5214,284,4691,100,0,1.0,0.05446873801304181
864691135067961412,L2IT,excitatory,train,5248,501,452,3849,3849,184,3612,110,0,1.0,0.04780462457781242
864691135082074359,AltDTC,inhibitory,train,2710,471,292,1299,1299,53,1007,20,0,1.0,0.04080061585835258
864691135101521952,L4IT,excitatory,test,3162,405,360,1452,1452,109,1270,63,0,1.0,0.07506887052341597
864691135083619831,L6IT,excitatory,train,3299,514,444,2992,2992,82,2574,32,0,1.0,0.027406417112299464
864691135082864887,L5IT,excitatory,train,8026,1156,1032,3770,3770,42,3329,17,0,1.0,0.011140583554376658
864691135099901728,L6IT,excitatory,train,3544,360,307,2525,2525,17,2300,3,0,1.0,0.006732673267326733
864691135115058329,PV,inhibitory,train,7031,1921,1158,3111,3111,201,2884,128,0,1.0,0.06460945033751206
864691135106209101,PV,inhibitory,train,17517,6047,3325,9310,9310,385,7948,193,0,1.0,0.041353383458646614
864691135115269785,L6CT,excitatory,train,2964,170,134,3275,3275,84,2927,51,0,1.0,0.02564885496183206
864691135106309709,NGC,inhibitory,test,9531,1057,814,5748,5748,148,4892,100,0,1.0,0.025748086290883786
864691135113733529,L4IT,excitatory,train,4440,431,360,3144,3144,29,2424,13,0,1.0,0.009223918575063612
864691135114295961,MC,inhibitory,train,4707,1389,997,2025,2025,23,1798,14,0,1.0,0.011358024691358024
864691135134585248,AltBasket,inhibitory,train,4899,916,746,3461,3461,87,2898,39,0,1.0,0.02513724357122219
864691135134565280,PV,inhibitory,test,7506,2647,1015,4077,4077,189,3562,100,0,1.0,0.046357615894039736
864691135135019168,L3IT,excitatory,train,6299,872,703,3156,3156,232,2823,123,0,1.0,0.07351077313054499
864691135136360217,L3IT,excitatory,train,4287,509,456,3262,3262,212,2921,111,0,1.0,0.06499080318822809
864691135134695328,L2IT,excitatory,train,8011,1032,876,8237,8237,45,7359,23,0,1.0,0.005463154060944519
864691135136312089,L6CT,excitatory,test,1893,95,73,2128,2128,61,1952,44,0,1.0,0.028665413533834585
864691135137137433,L4IT,excitatory,train,4018,581,499,1668,1668,8,1382,8,0,1.0,0.004796163069544364
864691135183999490,L2IT,excitatory,train,6402,603,545,3224,3224,191,2971,116,0,1.0,0.05924317617866005
864691135164772653,L2IT,excitatory,train,5500,447,403,4521,4521,223,4191,126,0,1.0,0.0493253704932537
864691135184104194,L4IT,excitatory,train,8014,1243,1132,1955,1955,231,1605,95,0,1.0,0.11815856777493607
864691135164887085,L2IT,excitatory,train,4676,325,281,3682,3682,239,3371,112,0,1.0,0.06491037479630636
864691135183693826,L6CT,excitatory,train,4219,297,228,2370,2370,68,2156,48,0,1.0,0.02869198312236287
864691135165079085,L4IT,excitatory,train,2845,431,373,1114,1114,118,959,57,0,1.0,0.1059245960502693
864691135183646466,L6CT,excitatory,train,3924,430,315,2464,2464,74,2191,48,0,1.0,0.030032467532467532
864691135164836397,microglia,glia,test,499,20,8,29,29,13,17,1,0,1.0,0.4482758620689655
864691135210178169,PV,inhibitory,test,8815,3426,1437,5052,5052,412,4189,222,0,1.0,0.08155186064924783
864691135209947769,L5IT,excitatory,train,8422,948,872,5147,5147,280,4455,143,0,1.0,0.0544006217213911
864691135210061689,L6CT,excitatory,train,3147,165,116,2576,2576,86,2307,49,0,1.0,0.033385093167701864
864691135210358137,L4IT,excitatory,train,5246,905,806,2237,2237,221,1947,105,0,1.0,0.09879302637460885
864691135209715833,L6IT,excitatory,train,3874,331,293,2775,2775,104,2362,59,0,1.0,0.037477477477477476
864691135214986368,L3IT,excitatory,train,4412,479,417,4225,4225,341,3737,164,0,1.0,0.08071005917159764
864691135214611512,L6CT,excitatory,train,2249,225,183,2766,2766,87,2543,55,0,1.0,0.031453362255965296
864691135214977920,L4IT,excitatory,train,5159,783,718,2120,2120,210,1828,108,0,1.0,0.09905660377358491
864691135214970752,AltBasket,inhibitory,train,5058,1366,1086,2866,2866,37,2447,22,0,1.0,0.012909979064898814
864691135214931072,L4IT,excitatory,train,3804,643,566,2468,2468,95,2028,48,0,1.0,0.038492706645056725
864691135258628527,PV,inhibitory,train,12744,4170,2047,9520,9520,924,7956,425,0,1.0,0.09705882352941177
864691135258642863,L5ET,excitatory,test,4874,271,183,9224,9224,664,7760,276,0,1.0,0.07198612315698179
864691135258646703,L3IT,excitatory,train,5876,587,529,3580,3580,247,3150,104,0,1.0,0.06899441340782123
