epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.13396245942794904,0.8975593473768988,0.8440480558414409,0.7905072244211278,0.8114752618540391,0.9742489270386266,0.951468097120271,0.964340572867485,0.9566718223448902,0.9991153289367862,0.8622556390977444,0.8650707290533188,0.5065067723549,0.908324073890355,0.8130370646588834,0.9389852560141235,0.8590895827254158,1.0,1.0,1.0,0.7272727272727273,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9999597536925987,0.9275315431899062,0.726691042047532,0.5432891421058398,0.9497270593726904,0.6289366070519564,0.96379900202143,0.584123645887068,1.0,1.0,1.0,0.8888888888888888,1.0,0.84,0.9858356940509915,1.0
1,0.11746030934049607,0.9029275948798859,0.843612242129446,0.8032914406628053,0.8202194072328853,0.9828326180257511,0.9666196122717862,0.9759652845206843,0.9711573598930149,0.9993566028631172,0.8607518796992482,0.8563656147986942,0.5449890021587094,0.9387909482330998,0.7900656404744539,0.9393777819275909,0.8192004668806536,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9978719132704277,0.9642857142857143,0.6819757365684576,0.5575099791708754,0.9212745035997839,0.6742101987430567,0.9652486987829217,0.6639547808812052,1.0,1.0,1.0,0.9032258064516129,1.0,0.9130434782608695,0.9914529914529915,1.0
2,0.11096685296897314,0.8800971739029977,0.8493199680955335,0.7829232592355769,0.8101217234180793,0.9828326180257511,0.9666196122717862,0.964331797235023,0.9651785714285714,0.999075116615731,0.8649624060150376,0.8465723612622416,0.5870804306523116,0.9412017103513959,0.8074875107618572,0.8983990594120834,0.8497811496936095,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9993162255651195,0.9657488247145736,0.7085610200364298,0.4302804951088042,0.9106561783084883,0.63851717588698,0.9741768401532551,0.6361293141109655,1.0,1.0,1.0,0.9032258064516129,0.9714285714285714,0.84,1.0,1.0
3,0.10500515788881983,0.8936760220753758,0.8433747490722698,0.8134178432032906,0.8242145399069987,0.9871244635193133,0.9363165819687558,0.9777428568287911,0.9528111423420605,0.9992359658999518,0.8622556390977444,0.823721436343852,0.6240100240386253,0.9192989940276592,0.7467988615737262,0.9276443899508452,0.8440326816457543,1.0,1.0,0.6666666666666666,0.9393939393939394,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9998390536353761,0.9795011957635804,0.8364640883977901,0.4617811284242779,0.9436129561128607,0.6905252056100356,0.9677293050182411,0.6278898126641631,1.0,1.0,1.0,0.9117647058823529,1.0,0.9130434782608695,0.997134670487106,1.0
4,0.09854229023701974,0.902597933074115,0.8382268357474371,0.8346804911462564,0.8343194499951514,0.9785407725321889,0.9211650668172406,0.9748598965389826,0.9435701142703562,0.9988740550104552,0.8592481203007519,0.8280739934711643,0.5614619297636315,0.9116450723228635,0.7861173412591784,0.9446661318321931,0.8157280420192589,1.0,1.0,0.6666666666666666,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9999597439716598,0.9811126373626373,0.9027283511269276,0.5307750246238823,0.9475355743452258,0.6712052327731919,0.9628132366245418,0.6813141283419853,1.0,1.0,1.0,0.9,1.0,0.9130434782608695,0.9858356940509915,1.0
5,0.09228178636836103,0.9005539473597349,0.840901060172818,0.8134228391539676,0.8250011558846355,0.98068669527897,0.9644786373047243,0.9746509740259741,0.9686148304653294,0.9993566028631172,0.8637593984962406,0.8650707290533188,0.5475767295212023,0.9295025694954265,0.7799645749820407,0.9393808533353646,0.8025970236358331,1.0,1.0,1.0,0.7878787878787878,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9996781979082864,0.9775357385976855,0.7725947521865889,0.5319564167532201,0.9296017105338225,0.6656152748204133,0.9644683656949254,0.6659322567367988,1.0,1.0,1.0,0.9285714285714286,1.0,0.88,0.9886363636363636,1.0
6,0.08610161020109457,0.892960585816043,0.8336870122523569,0.8185001396571644,0.8234734802757111,0.9785407725321889,0.9211650668172406,0.966739505705023,0.9391380584838116,0.9991153289367862,0.8598496240601504,0.7986942328618063,0.549742248735078,0.9328235679279351,0.7858267025669429,0.9261406287048857,0.81730376422527,1.0,1.0,0.6666666666666666,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9995172580255853,0.9757679180887372,0.8696682464454977,0.48422176502696185,0.9269723983762881,0.6438787018273806,0.9671366953362345,0.6808381341306303,1.0,1.0,1.0,0.9310344827586207,0.9714285714285714,0.84,0.9914529914529915,1.0
7,0.08035464082700267,0.8984451845445963,0.835229996758263,0.8192952726323608,0.8254316083152431,0.9763948497854077,0.9552559759081498,0.973618933571955,0.9637094809047767,0.9991153289367862,0.8634586466165414,0.8411316648531012,0.5614074512928422,0.9126669179944047,0.7508184495248331,0.9422698194872223,0.8109716953603735,1.0,1.0,1.0,0.7575757575757576,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9995172580255853,0.9832191780821918,0.817989417989418,0.5021256638892949,0.9455702252532364,0.6716292713555514,0.9608106212073381,0.6735005452562705,1.0,1.0,1.0,0.8928571428571429,1.0,0.9130434782608695,0.9830508474576272,1.0
8,0.07524323684910962,0.8998785326212528,0.8303238997656242,0.829193185065727,0.827568596463814,0.9742489270386266,0.9152362130623,0.9696945427453902,0.936638443947766,0.9991153289367862,0.8631578947368421,0.8117519042437432,0.504143768684413,0.921176511438719,0.7687503084608762,0.9450820004447399,0.8294134811788737,1.0,1.0,0.6666666666666666,0.7272727272727273,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9998792707956055,0.980191256830601,0.894484412470024,0.5280531819284155,0.9274910287753435,0.6698857934725474,0.9597825056270056,0.6737780306262742,1.0,1.0,1.0,0.9230769230769231,0.9714285714285714,0.88,0.9830508474576272,1.0
9,0.07074325965035384,0.8987591678164258,0.8240456638053946,0.8196689355663968,0.8187583363125004,0.9721030042918455,0.9114483342744213,0.9683044420368364,0.933326569072418,0.9991555412578415,0.8634586466165414,0.764961915125136,0.4886582633625474,0.9191948252941526,0.7848231765163937,0.94354568227638,0.828567259994164,1.0,1.0,0.6666666666666666,0.696969696969697,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9999597553122987,0.9771953710006808,0.8615196078431373,0.5235861102801147,0.9366718140668083,0.6614044411581209,0.9591251814733293,0.6378892033966842,1.0,1.0,1.0,0.92,1.0,0.8461538461538461,0.9802816901408451,1.0
