epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.13391022972818228,0.8978188683729312,0.8432415511049977,0.795950927151858,0.8152759097807986,0.9785407725321889,0.9606907585168455,0.970089516964517,0.9638856847086661,0.9991153289367862,0.8556390977443609,0.8454842219804135,0.5391870450196463,0.9337685271533165,0.7878831084082322,0.933118867166528,0.8517362124306974,1.0,1.0,1.0,0.7575757575757576,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9998390342052313,0.9736481861738535,0.6981132075471698,0.500765270627522,0.9262403774949627,0.6930390279432549,0.9643541414051638,0.6116081718177057,1.0,1.0,1.0,0.9259259259259259,1.0,0.8461538461538461,0.9886363636363636,1.0
1,0.11805454893811586,0.8897514374740066,0.8501011686656325,0.7533660361767038,0.7894170027972677,0.9892703862660944,0.9779832486354225,0.9781010230179028,0.9779904823707549,0.9992359658999518,0.8622556390977444,0.8520130576713819,0.5451320081445313,0.9181332962955614,0.820961081833985,0.9200610841578015,0.8830172162241027,1.0,1.0,1.0,0.9393939393939394,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9985132202844973,0.9366220189480562,0.5035369774919615,0.49498528356953825,0.9426612104374575,0.6240407501427673,0.9690706708385417,0.5574981577008106,1.0,1.0,1.0,0.9117647058823529,1.0,0.9130434782608695,1.0,1.0
2,0.11225781486541885,0.9033954753401416,0.8426453986723128,0.809817133222458,0.8238072062289284,0.9763948497854077,0.917377188029362,0.9696734272736154,0.9388376596818842,0.9993163905420621,0.8607518796992482,0.8291621327529923,0.5573283757924915,0.9272282188138653,0.7992509198988796,0.9406376733963259,0.8274875984826379,1.0,1.0,0.6666666666666666,0.7878787878787878,0.9714285714285714,0.9130434782608695,1.0,1.0,0.999798841326038,0.9587939698492463,0.7068645640074211,0.5458899175582295,0.9379596014842729,0.6621794143704142,0.9656582613269027,0.7013924958571394,1.0,1.0,1.0,0.896551724137931,1.0,0.875,0.9858356940509915,1.0
3,0.10749040902936069,0.9042099339191053,0.8455510766613468,0.8132569015745854,0.8257120971548744,0.9785407725321889,0.9228119706380575,0.9785361178369654,0.9456986833736504,0.9994370275052276,0.8667669172932331,0.8193688792165397,0.5379408500003405,0.9318538066231473,0.800161222217957,0.9415031961069292,0.8673767143274,1.0,1.0,0.6666666666666666,0.7878787878787878,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9989148346127568,0.9661414683204828,0.784375,0.56338078393336,0.9318468731011049,0.679470821614171,0.9648401081997781,0.6170853228150301,1.0,1.0,1.0,0.9285714285714286,1.0,0.9166666666666666,0.9830508474576272,1.0
4,0.10260095329143532,0.9017599566942389,0.8466536928514471,0.7906618156665064,0.8129275761884717,0.98068669527897,0.9628317334839074,0.9752099802371541,0.9687474120082815,0.9992761782210069,0.8586466165413534,0.8422198041349293,0.5797462665222988,0.9361768090636718,0.7699512494721892,0.9367603282229203,0.8504522906332069,1.0,1.0,1.0,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9991556431184914,0.9841433988279904,0.5707964601769911,0.5251424905623134,0.9223729675045085,0.6978360056063061,0.9665031711455229,0.6593443883899283,1.0,1.0,1.0,0.9,1.0,0.9130434782608695,0.9886363636363636,1.0
5,0.09794877513150066,0.8869078465286075,0.8456448226223954,0.7851440227267359,0.8097664471646706,0.9892703862660944,0.9779832486354225,0.9781010230179028,0.9779904823707549,0.9993968151841724,0.872781954887218,0.8052230685527747,0.6021437278255599,0.9265213595507847,0.7900546729766338,0.9126319630349932,0.8564050189670266,1.0,1.0,1.0,0.9393939393939394,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9990352534469591,0.966688874083944,0.7034220532319392,0.4883791575993902,0.9318346790789562,0.6098466409586739,0.972020130118237,0.6099253932957875,1.0,1.0,1.0,0.9117647058823529,1.0,0.9130434782608695,1.0,1.0
6,0.09308291772969231,0.9026012338181026,0.8355122917724196,0.8273168904577108,0.8269233097431761,0.9828326180257511,0.9303877282138151,0.9798295454545455,0.9506065077896715,0.9994370275052276,0.8634586466165414,0.750816104461371,0.5527453744373395,0.9266999345225103,0.7898572580158699,0.9403895036482182,0.860694484972279,1.0,1.0,0.6666666666666666,0.8484848484848485,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9986740065094226,0.9828825744608011,0.8961038961038961,0.5560929824681597,0.9311595196144156,0.678918715090382,0.9643866423923246,0.6103167870222848,1.0,1.0,1.0,0.9333333333333333,1.0,0.9166666666666666,0.9886363636363636,1.0
7,0.08863174119725438,0.901488470501251,0.8335387691348679,0.8299746133379842,0.8296245583078907,0.9785407725321889,0.9211650668172406,0.9716385516657255,0.9419875776397516,0.9989142673315103,0.8646616541353384,0.7932535364526659,0.5566746341430197,0.9296340205162801,0.7645113705533652,0.9413434829027015,0.8193171870440619,1.0,1.0,0.6666666666666666,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.9778911564625851,0.89119804400978,0.5305184733300019,0.9272537460387357,0.6866433211680629,0.9629330804772345,0.6633590852174734,1.0,1.0,1.0,0.9,0.9714285714285714,0.9130434782608695,0.9886363636363636,1.0
8,0.08425061651487244,0.9002143833220008,0.8330880996822386,0.8307981447266588,0.8280575730973286,0.9785407725321889,0.9211650668172406,0.9748598965389826,0.9435701142703562,0.9993968151841724,0.8673684210526316,0.7769314472252449,0.5381042854127085,0.9210401000019842,0.7837757804745636,0.9407083157751189,0.8373796323314853,1.0,1.0,0.6666666666666666,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9997988575106606,0.9853091902972326,0.9321148825065274,0.5411111339373147,0.9368332092988055,0.6564052869910261,0.9634293493783681,0.6313832478933357,1.0,1.0,1.0,0.9,1.0,0.9130434782608695,0.9858356940509915,1.0
9,0.08042368740388034,0.8964507099900317,0.836734503521664,0.8080066351783282,0.8189572204341767,0.9763948497854077,0.9569028797289667,0.9732659713168188,0.963398278316296,0.9994370275052276,0.870375939849624,0.8672470076169749,0.49599923730140894,0.9181382567114427,0.8096864940748093,0.9375441514867456,0.7954479136270791,1.0,1.0,1.0,0.7272727272727273,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9986740065094226,0.9790257104194858,0.7325367647058824,0.5485588618510736,0.9352122496722086,0.6142338924387647,0.9620316915235669,0.69377990430622,1.0,1.0,1.0,0.9230769230769231,1.0,0.88,0.9830508474576272,1.0
