epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.10079701766735237,0.927750014853348,0.8821473662657275,0.8689473614278876,0.8729580634974158,0.98068669527897,0.9644786373047243,0.971431623931624,0.9670328011243898,0.9998391507157793,0.8580451127819548,0.9194776931447225,0.6186915633278174,0.9504851286731879,0.8401761380149926,0.9592006476984714,0.9112634957688941,1.0,1.0,1.0,0.7878787878787878,0.9714285714285714,0.9565217391304348,1.0,1.0,0.999597973787891,0.982776438167413,0.9451901565995525,0.6331925510858354,0.9564870139918435,0.7666618295361859,0.9722114994284405,0.6954614288259398,1.0,1.0,1.0,0.9285714285714286,0.9714285714285714,0.88,0.9914529914529915,1.0
1,0.08043899981207392,0.9215376020755078,0.8785119228870559,0.8500774862255698,0.8552607235844613,0.9892703862660944,0.9779832486354225,0.9781010230179028,0.9779904823707549,0.9995978767894483,0.8640601503759399,0.8835690968443961,0.6102065415023801,0.9406982281394473,0.8430770411884381,0.9523372798875619,0.9345491683688357,1.0,1.0,1.0,0.9393939393939394,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.9910313901345291,0.9771359807460891,0.6414015246412083,0.9619098100182348,0.7434500033850112,0.9739960219084034,0.5116951589710816,1.0,1.0,1.0,0.9117647058823529,1.0,0.9130434782608695,1.0,1.0
2,0.07051869550359063,0.9231479525485045,0.8730212523104166,0.8745271237780596,0.8711918243050365,0.9892703862660944,0.9796301524562394,0.9771875,0.9781563545150501,0.9997989383947241,0.8676691729323308,0.8596300326441785,0.649471899323786,0.9392076231671264,0.8369845961493115,0.9534386867151785,0.8779690691566968,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9565217391304348,1.0,1.0,1.0,0.9958577839143942,0.9949622166246851,0.6041542613168464,0.9657347169339764,0.7212285883047844,0.9744166351198559,0.7398627880099343,1.0,1.0,1.0,0.9375,1.0,0.88,1.0,1.0
3,0.061324027993524925,0.9254155636680508,0.8624231812565379,0.8777685040781738,0.8676132626204373,0.9828326180257511,0.9303877282138151,0.9755982905982906,0.9483463695548506,0.9999195753578897,0.8625563909774436,0.8204570184983678,0.5878022703902701,0.953369610508145,0.8315776197239481,0.9593726465337935,0.8843303180624453,1.0,1.0,0.6666666666666666,0.8484848484848485,0.9714285714285714,0.9565217391304348,1.0,1.0,1.0,0.9989550679205852,0.9779507133592736,0.6238219819611471,0.9460325507790677,0.7552631447881544,0.9704770610163109,0.749647512800851,1.0,1.0,1.0,0.9333333333333333,1.0,0.88,0.9914529914529915,1.0
4,0.05270231103661008,0.9110548517635875,0.8727071626911547,0.8571359767140369,0.8613925055575837,0.9892703862660944,0.9779832486354225,0.9781010230179028,0.9779904823707549,0.9999195753578897,0.8631578947368421,0.8737758433079434,0.6613618255735562,0.9543740947241016,0.8139747857225114,0.9330973673121128,0.8819959147942807,1.0,1.0,1.0,0.9393939393939394,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9997185703373136,0.9993036211699164,0.9792682926829268,0.5265786134877517,0.9450406951327933,0.7177069583254762,0.9773159368781217,0.712155125697995,1.0,1.0,1.0,0.9117647058823529,1.0,0.9130434782608695,1.0,1.0
5,0.04524694966116759,0.9101822175718407,0.8693626838723327,0.8614784334903235,0.8623139062795644,0.9871244635193133,0.9774891774891775,0.9733682266009852,0.9738367296427688,0.9999597876789448,0.8670676691729323,0.8879216539717084,0.5873392033885609,0.9445623921109546,0.8655713792176883,0.9354236515598452,0.8670557338780275,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,1.0,1.0,1.0,0.9997587745748402,0.9972327914216534,0.9714285714285714,0.5732544614668837,0.946896802072611,0.6483377009586869,0.9756165222583564,0.7793018437409845,1.0,1.0,1.0,0.9655172413793104,1.0,0.8214285714285714,1.0,1.0
6,0.0391738241053122,0.919879803407688,0.8529262963481226,0.8725800597690723,0.8600343998126454,0.9849785407725322,0.934175607001694,0.976221198156682,0.950694822941323,0.9999597876789448,0.8664661654135338,0.794341675734494,0.5702397733695616,0.951710351395861,0.8399622718074985,0.952962618510269,0.8477677268748176,1.0,1.0,0.6666666666666666,0.8787878787878788,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9997587745748402,0.9972308757355486,0.9720372836218375,0.6169272253083237,0.9451373905161627,0.7121112800271505,0.9692665265051998,0.768171121863515,1.0,1.0,1.0,0.9354838709677419,1.0,0.88,0.9942857142857143,1.0
7,0.03439044565990631,0.9175515411173678,0.8581501608901763,0.8755727276073768,0.8648304757206426,0.9849785407725322,0.970407491059665,0.9722980838108882,0.9712496549664431,0.9998391507157793,0.8664661654135338,0.8367791077257889,0.6179220549279182,0.9415142165519157,0.823993594981273,0.949886296484221,0.8288007003209804,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9998391507157793,0.9989597780859917,0.9783715012722646,0.5895729916573538,0.9509793851880985,0.6945530687522534,0.971860525042266,0.8204454201450071,1.0,1.0,1.0,0.90625,1.0,0.875,0.997134670487106,1.0
8,0.030831671841172786,0.9158553713006912,0.8550171215207945,0.8666080671511818,0.8588554412344307,0.9849785407725322,0.970407491059665,0.9722980838108882,0.9712496549664431,0.9999597876789448,0.8646616541353384,0.8324265505984766,0.5682513091857512,0.9490937320184925,0.8218220304128715,0.949676212192506,0.8542456959439744,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.996879334257975,0.95625,0.594124683165779,0.9330701557608091,0.7059979083637186,0.9695019778907683,0.7770404777704047,1.0,1.0,1.0,0.90625,1.0,0.875,0.997134670487106,1.0
9,0.028006772564218508,0.92036212462289,0.8449988399195401,0.8797399207066856,0.8599120067222076,0.9763948497854077,0.917377188029362,0.9740807562320535,0.9410891741887535,0.9996380891105034,0.8640601503759399,0.7758433079434167,0.5958514644493929,0.9450559534911407,0.8124777222700527,0.9569093774993581,0.8101546542165159,1.0,1.0,0.6666666666666666,0.7878787878787878,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,1.0,0.9820936639118457,0.6105873568592423,0.949729317461267,0.725298126064736,0.9664125168278626,0.8037983845285314,1.0,1.0,1.0,0.896551724137931,1.0,0.9130434782608695,0.9830508474576272,1.0
