epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.10008631117723825,0.9237441494312818,0.8770287743051042,0.8542023240413189,0.861957152711705,0.9785407725321889,0.9590438546960286,0.9660005894488652,0.9618656347878256,0.9995174521473379,0.8568421052631578,0.9314472252448314,0.5926985229524607,0.9353260977400345,0.8679293912490335,0.9569806341597058,0.8754887656842719,1.0,1.0,1.0,0.7878787878787878,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.9947625698324022,0.8007483629560337,0.6675307742455037,0.9658941890009015,0.6720693330389256,0.9742724472725567,0.758340915984228,1.0,1.0,1.0,0.896551724137931,1.0,0.84,0.9914529914529915,1.0
1,0.07829595405675045,0.9164994289712901,0.8646313473465101,0.8678783596553519,0.8620471668948329,0.9892703862660944,0.9417513645774516,0.981649409568464,0.9574545847883942,0.9993566028631172,0.8562406015037594,0.779107725788901,0.6754036514195046,0.9551826425127483,0.8218329979106916,0.93873892911068,0.8911876276626788,1.0,1.0,0.6666666666666666,0.9393939393939394,0.9714285714285714,0.9565217391304348,1.0,1.0,1.0,0.9992979992979993,0.9781420765027322,0.5247783021862896,0.9504515065436983,0.7597897063595068,0.9775654865054524,0.7530017998471362,1.0,1.0,1.0,0.9393939393939394,1.0,0.9166666666666666,0.997134670487106,1.0
2,0.06591268104138794,0.9151275572514045,0.8779164528533902,0.8536902345014052,0.8631320215909204,0.9849785407725322,0.970407491059665,0.96828125,0.9691018673355629,0.999758726073669,0.8592481203007519,0.9107725788900979,0.6198356112143932,0.9536101906783865,0.84579149689894,0.9392463256748804,0.8950685730960023,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.9951236502960641,0.9087947882736156,0.571987859059517,0.9454405964453275,0.696265331641981,0.9763750364779858,0.7355346138167518,1.0,1.0,1.0,0.90625,1.0,0.84,1.0,1.0
3,0.05395039229971023,0.9234091239165307,0.8731844035220843,0.8640806054428652,0.8669267541539085,0.9849785407725322,0.9720543948804818,0.9759523809523809,0.9735246840524341,0.9997989383947241,0.871578947368421,0.8890097932535365,0.6024297397972039,0.9497683485783448,0.8247503523308675,0.9565137801781171,0.8916253282754596,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9998391442473962,0.9958762886597938,0.9007717750826902,0.6132245497774882,0.9555653705838612,0.7296388651711558,0.9714230101944373,0.7463058398260997,1.0,1.0,1.0,0.9333333333333333,1.0,0.88,0.9942857142857143,1.0
4,0.043969096931610795,0.922553406037721,0.8567655771846583,0.8776761178367589,0.8647213271680141,0.9763948497854077,0.9190240918501789,0.9736220966729441,0.9408700297287254,0.9995978767894483,0.8631578947368421,0.8063112078346029,0.6012652624840821,0.9357006091390703,0.8151483079892737,0.9603726969048809,0.8725707615990662,1.0,1.0,0.6666666666666666,0.7575757575757576,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9999597731203991,0.9975669099756691,0.988,0.6086680775673682,0.9618122300801027,0.7354224592580866,0.9671089380723119,0.7628705546201336,1.0,1.0,1.0,0.9259259259259259,1.0,0.88,0.9830508474576272,1.0
5,0.03642145669915305,0.9178453073322727,0.8594842924441184,0.8729703722623208,0.864656376758641,0.9871244635193133,0.9741953698475437,0.9774086322298606,0.9757758641873794,0.9994772398262828,0.8646616541353384,0.8476605005440696,0.6157905847582859,0.9446665608444612,0.8136347932900848,0.950677491126703,0.839305515027721,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9996782367373205,0.9951540325372101,0.9677018633540373,0.5645406984729489,0.9550294997454973,0.7270571170959269,0.9694790668946037,0.8051224632610217,1.0,1.0,1.0,0.9090909090909091,1.0,0.9130434782608695,0.997134670487106,1.0
6,0.031085401861154827,0.9197972848079957,0.8528795981161363,0.8745930325258289,0.8615703662377819,0.9763948497854077,0.917377188029362,0.9696734272736154,0.9388376596818842,0.9995174521473379,0.8625563909774436,0.8019586507072906,0.5923988913631194,0.9428088850969265,0.8167440789221143,0.9555788436518301,0.8514735920630289,1.0,1.0,0.6666666666666666,0.7878787878787878,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.9986072423398329,0.9710144927536232,0.594731696645268,0.953113207783709,0.7183287434709006,0.9686599822906794,0.7922888949226174,1.0,1.0,1.0,0.896551724137931,1.0,0.875,0.9858356940509915,1.0
7,0.027117803722913884,0.9226412883463933,0.8647907138381279,0.863031200563005,0.8622993145211204,0.9785407725321889,0.9606907585168455,0.9749821072590195,0.9667249312387716,0.9995174521473379,0.8667669172932331,0.8977149075081611,0.5701103870014369,0.9487762654020913,0.8089242529763048,0.9608604364593303,0.8656550919171286,1.0,1.0,1.0,0.7575757575757576,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9996380454454052,0.9931082012405238,0.8851931330472103,0.6356602684808358,0.9440116280504507,0.7506449889321426,0.9649795893690749,0.7310137499383963,1.0,1.0,1.0,0.9259259259259259,0.9714285714285714,0.9166666666666666,0.9858356940509915,1.0
8,0.024214108962955734,0.9196281216786264,0.865649325503133,0.8680344334026232,0.8648468323432443,0.9785407725321889,0.9590438546960286,0.9700235109717869,0.9640149574198096,0.9995576644683931,0.8568421052631578,0.8955386289445049,0.5700763379571936,0.944802972281196,0.8082716868560023,0.9568749777322937,0.8932302305223228,1.0,1.0,1.0,0.7878787878787878,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9998793242156074,0.9996491228070176,0.9536500579374276,0.6084131575504745,0.9408593120958699,0.7334713417000905,0.9672923137682519,0.7410608371462464,1.0,1.0,1.0,0.896551724137931,1.0,0.875,0.9886363636363636,1.0
9,0.02211106135160062,0.9218907816821912,0.8517811499704204,0.8761518576224941,0.8624805493662032,0.9742489270386266,0.951468097120271,0.9683674670433144,0.9588221573882998,0.9994772398262828,0.8646616541353384,0.8607181719260065,0.5472975273584071,0.9423302049643842,0.7977099864551402,0.965287563624212,0.8367668514735921,1.0,1.0,1.0,0.7272727272727273,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9999597682652076,0.9975711311589174,0.945041816009558,0.6328168060345506,0.9491760849796644,0.732736605096536,0.9622882414610727,0.7896244079744466,1.0,1.0,1.0,0.8888888888888888,1.0,0.875,0.9830508474576272,1.0
