epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.14117943761004348,0.8950825516071322,0.8257535063451155,0.7896061787026396,0.801322532762085,0.9699570815450643,0.9060135516657255,0.9631121343445287,0.9287763671973956,0.9991555412578415,0.8595488721804512,0.8063112078346029,0.4798463707123741,0.9092913549872021,0.7378329321057048,0.945731296048081,0.8683104756346659,1.0,1.0,0.6666666666666666,0.696969696969697,0.9714285714285714,0.9130434782608695,1.0,1.0,0.999798808948978,0.934597776324395,0.7751046025104602,0.5346931342196322,0.9375653717205453,0.6661830964994802,0.9549865675520938,0.5139200718455321,1.0,1.0,1.0,0.8846153846153846,1.0,0.84,0.9802816901408451,1.0
1,0.1279988829053405,0.8916897993807804,0.8252237136214705,0.7812161691523762,0.8012283916402605,0.9742489270386266,0.9135893092414831,0.9688634987893463,0.9362811737817425,0.9992761782210069,0.8634586466165414,0.7986942328618063,0.540943975702602,0.9240535526498541,0.7443476258109094,0.9322410588248302,0.7987744382842136,1.0,1.0,0.6666666666666666,0.7575757575757576,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9987540693702022,0.8755718206770357,0.6957345971563981,0.47747162915945374,0.932761348728682,0.6563748198725327,0.9605534404896404,0.6525076277650649,1.0,1.0,1.0,0.8928571428571429,1.0,0.875,0.9830508474576272,1.0
2,0.1231882348766994,0.8868851539136922,0.8200396415976854,0.8070377707556998,0.8104482091763205,0.98068669527897,0.9265998494259364,0.974958855799373,0.9459284211580845,0.9992761782210069,0.8535338345864661,0.7812840043525572,0.5146376841202067,0.9119947816424929,0.7886727682512873,0.9257997024420149,0.7851181791654508,1.0,1.0,0.6666666666666666,0.8181818181818182,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9999597601706168,0.9705882352941176,0.8476977567886659,0.47678922929389794,0.9396247725739518,0.6008096015907961,0.9630487305369554,0.6577840797965969,1.0,1.0,1.0,0.9310344827586207,1.0,0.88,0.9886363636363636,1.0
3,0.11971804097086308,0.8874908404354341,0.8207638682191822,0.7980887716844163,0.8073777377239801,0.9742489270386266,0.9135893092414831,0.9648366046135168,0.9341308387383329,0.9992359658999518,0.8571428571428571,0.7976060935799782,0.5250566916586651,0.9246091192285562,0.7690957846422128,0.9251706781299796,0.7681937554712577,1.0,1.0,0.6666666666666666,0.7575757575757576,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9990752653586362,0.9628378378378378,0.7659352142110762,0.46798295661463013,0.9279624628175289,0.6181164306585749,0.9637523132328437,0.6790476927442028,1.0,1.0,1.0,0.8928571428571429,1.0,0.84,0.9858356940509915,1.0
4,0.1162977360674262,0.8840543533512454,0.8260426873908837,0.781540772911177,0.8001846335432409,0.9785407725321889,0.9211650668172406,0.9704545454545455,0.9413191048852474,0.9993163905420621,0.8547368421052631,0.8215451577801959,0.556034512111245,0.9283170300998036,0.7641713781209386,0.9169018341218661,0.7673183542456959,1.0,1.0,0.6666666666666666,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9996379726468222,0.9640434192672999,0.6582388840453357,0.4451762396750538,0.9193965178431064,0.6318815607499944,0.9665573604889249,0.6673942285728789,1.0,1.0,1.0,0.9,1.0,0.875,0.9886363636363636,1.0
5,0.11386775101871173,0.8983094414481024,0.8229261899166733,0.7988972659511461,0.8062012044876093,0.9699570815450643,0.9060135516657255,0.9631121343445287,0.9287763671973956,0.9993566028631172,0.8592481203007519,0.8161044613710555,0.44327769719503973,0.9190732951050616,0.798954797457734,0.9459647230388755,0.8014298220017508,1.0,1.0,0.6666666666666666,0.696969696969697,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9991557110119407,0.9529686457638425,0.7218479307025987,0.5833422948704162,0.9348256045691451,0.6199971914057014,0.9579276531051488,0.6211130961803749,1.0,1.0,1.0,0.8846153846153846,1.0,0.84,0.9802816901408451,1.0
6,0.11145810893019041,0.899882245958239,0.8291974522510387,0.8046392685927695,0.8143712174645035,0.9785407725321889,0.9211650668172406,0.9748598965389826,0.9435701142703562,0.9994370275052276,0.8550375939849624,0.7997823721436343,0.5509203456658972,0.9225282247663644,0.7475611026722309,0.9432268701494793,0.8150860811205136,1.0,1.0,0.6666666666666666,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9986338797814208,0.9640556120718887,0.7523029682702149,0.527117893118232,0.9313685475692662,0.6965703657527107,0.9594691194481242,0.6075957627302982,1.0,1.0,1.0,0.9,1.0,0.9130434782608695,0.9858356940509915,1.0
7,0.10927832884213921,0.8777379671377928,0.8124053186355773,0.8162833343175049,0.8085932951644588,0.9849785407725322,0.9325287031808771,0.9770525127046866,0.950597038026962,0.9992761782210069,0.8520300751879699,0.7094668117519043,0.5711931466083747,0.9131133554237187,0.78202098082333,0.9080334513163439,0.7641085497519696,1.0,1.0,0.6666666666666666,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.99979883323275,0.9728708791208791,0.9381294964028777,0.43519633073219327,0.9350451445769362,0.5841867667300256,0.9679912827323186,0.6970479410120585,1.0,1.0,1.0,0.9090909090909091,1.0,0.9130434782608695,0.9942857142857143,1.0
8,0.10744238071151006,0.8943695909057902,0.8292630864086523,0.8051145925355924,0.8140684343204996,0.9742489270386266,0.9135893092414831,0.9732727889073571,0.938533191254803,0.9993163905420621,0.8616541353383459,0.7889009793253536,0.5524797918922416,0.9266453699478164,0.7400757854099377,0.9343640158779496,0.8306682229355121,1.0,1.0,0.6666666666666666,0.7575757575757576,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9989548579008722,0.9277849740932642,0.8509389671361502,0.4893599054213815,0.9242636017524634,0.6951796182018606,0.9610261607299682,0.5934086550487785,1.0,1.0,1.0,0.8928571428571429,1.0,0.9130434782608695,0.9802816901408451,1.0
9,0.10549990445075802,0.873777074352559,0.8354446387675319,0.7883737444457952,0.8059650555901793,0.9871244635193133,0.9363165819687558,0.9777428568287911,0.9528111423420605,0.9994370275052276,0.8595488721804512,0.8182807399347116,0.6366490292617486,0.9208838469017242,0.7296511787318283,0.8989138273549405,0.8201925882696236,1.0,1.0,0.6666666666666666,0.9393939393939394,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9994370275052276,0.9432343234323433,0.7957671957671958,0.3947690670630262,0.9260655067142886,0.6586099877739114,0.9692916363906131,0.6198152109197557,1.0,1.0,1.0,0.9117647058823529,1.0,0.9130434782608695,0.997134670487106,1.0
