epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.11058509367447864,0.9192299694351107,0.8520871894731081,0.8502855725454889,0.8481333254324197,0.9763948497854077,0.917377188029362,0.9656485109717868,0.936687829760235,0.9999597876789448,0.8583458646616542,0.7986942328618063,0.5632529094908306,0.9389620825810036,0.7940742609277407,0.9597608724763778,0.9036475051065072,1.0,1.0,0.6666666666666666,0.7878787878787878,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.9831209094040647,0.8875453446191052,0.5970304390821357,0.9557231250047334,0.7355847137770056,0.9657174185676661,0.6775626299092004,1.0,1.0,1.0,0.896551724137931,1.0,0.84,0.9886363636363636,1.0
1,0.09437348410608423,0.9091726025046045,0.8535226739247955,0.8372847692032165,0.8430020957537816,0.9849785407725322,0.9325287031808771,0.973837203658432,0.9490160298188494,0.9999195753578897,0.8568421052631578,0.8106637649619152,0.6626965481078946,0.9523328835889601,0.7437937671709888,0.9389913988296708,0.8629413481178874,1.0,1.0,0.6666666666666666,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9993971303404204,0.9834311356575768,0.7967914438502673,0.499522626478318,0.9481353262037103,0.7346726537067831,0.972483431974873,0.7638444054137824,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,0.997134670487106,1.0
2,0.08753068492262811,0.914391903935147,0.8533909970599143,0.8570524106738646,0.8517688360616402,0.9828326180257511,0.9287408243929982,0.9719419642857143,0.9460708288060258,0.9998391507157793,0.8529323308270677,0.8193688792165397,0.5685168917308491,0.9373573880434135,0.8229571664372631,0.9498211826394204,0.8763349868689816,1.0,1.0,0.6666666666666666,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9994372537985369,0.9940413599719593,0.9653846153846154,0.5840276466102822,0.9573961439178423,0.679034243104322,0.970030169328414,0.7070678532749447,1.0,1.0,1.0,0.90625,1.0,0.875,0.9942857142857143,1.0
3,0.08206428093131873,0.9109863613258429,0.8420467825676943,0.8543484310341514,0.8446992631583999,0.9849785407725322,0.9325287031808771,0.9726531974472519,0.9483475570643451,0.9998793630368344,0.8553383458646616,0.7573449401523396,0.5715676860950513,0.9439150578384492,0.816047642810531,0.944250877501201,0.8480303472424862,1.0,1.0,0.6666666666666666,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9999597844446232,0.9923237962316818,0.9521203830369357,0.5677439865797235,0.9498825684684482,0.6645024447967135,0.9708087235945292,0.7374457611205563,1.0,1.0,1.0,0.9090909090909091,1.0,0.875,0.997134670487106,1.0
4,0.07746612826989091,0.9089048296486028,0.8508820945232121,0.8372430576416435,0.8407999181131266,0.98068669527897,0.9249529456051195,0.9712098497380756,0.9437290527699806,0.9999597876789448,0.8550375939849624,0.7856365614798694,0.6130802808365169,0.9471542094089168,0.8051843362196132,0.9374790376419451,0.8635249489349285,1.0,1.0,0.6666666666666666,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9998391701178079,0.9823773324118866,0.8902589395807645,0.531141409195226,0.9455758731259208,0.7000786707035068,0.9731725980576581,0.6755004679403775,1.0,1.0,1.0,0.9032258064516129,1.0,0.875,0.9914529914529915,1.0
5,0.07360180136640077,0.9191375486034552,0.8461528927050075,0.8487103137988807,0.8446363716674776,0.9742489270386266,0.9135893092414831,0.9656401760420883,0.9346981320293775,0.9998793630368344,0.8565413533834586,0.8030467899891186,0.5133097713947169,0.9475436020555963,0.8321643808573294,0.9586987796682633,0.8580391012547418,1.0,1.0,0.6666666666666666,0.7575757575757576,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9998391571836422,0.9807162534435262,0.826427771556551,0.6403976041799414,0.9477175417619654,0.6962939511152101,0.9656926926580073,0.7325975384922019,1.0,1.0,1.0,0.8928571428571429,0.9714285714285714,0.875,0.9858356940509915,1.0
6,0.07027298554488219,0.9159609951082974,0.8499147218002666,0.8555694691889271,0.85034304800722,0.98068669527897,0.9249529456051195,0.9756132060436058,0.9459795548654244,0.9995978767894483,0.8532330827067669,0.7965179542981502,0.6032877757121358,0.9433669318835691,0.7952039132032223,0.9510632599430684,0.8570469798657718,1.0,1.0,0.6666666666666666,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.9912648497554158,0.9289340101522843,0.5683610164815777,0.9500019981217656,0.7249245135875543,0.9690796437023559,0.7119897217104625,1.0,1.0,1.0,0.9032258064516129,1.0,0.9130434782608695,0.9886363636363636,1.0
7,0.06752567504884602,0.9027691591684766,0.849409146920734,0.8353424152536926,0.8396373620915564,0.9849785407725322,0.970407491059665,0.9722980838108882,0.9712496549664431,0.999758726073669,0.8547368421052631,0.8346028291621328,0.5955586426689002,0.9387884680251593,0.8187566147721228,0.9313319221238416,0.8217391304347826,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.9916259595254711,0.8676470588235294,0.5322621873288297,0.9487205837015723,0.6328751213350458,0.9733538687126718,0.736254542602421,1.0,1.0,1.0,0.90625,1.0,0.875,0.997134670487106,1.0
8,0.06517253096346191,0.8921197212851777,0.8403021630377698,0.8427850422199258,0.8359833521370532,0.9871244635193133,0.9363165819687558,0.9777428568287911,0.9528111423420605,0.9998793630368344,0.8553383458646616,0.7464635473340587,0.64087792055677,0.9467697771781186,0.7863805612068635,0.9128297616956137,0.8338780274292384,1.0,1.0,0.6666666666666666,0.9393939393939394,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9992766145561226,0.9888734353268428,0.9648382559774965,0.4418688727791759,0.9395135685911603,0.6667038602266018,0.9753742952222798,0.7658314350797266,1.0,1.0,1.0,0.9117647058823529,1.0,0.9130434782608695,0.997134670487106,1.0
9,0.06304628573249663,0.904814382661852,0.8513459925257045,0.838826239827923,0.8405331622604344,0.9828326180257511,0.9287408243929982,0.9719419642857143,0.9460708288060258,1.0,0.8547368421052631,0.8171926006528836,0.5679040089344692,0.9389025575904284,0.834758194091809,0.934186488508635,0.8630872483221477,1.0,1.0,0.6666666666666666,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9990358348063635,0.98989898989899,0.9411027568922306,0.5627420813258297,0.9474940931480518,0.6378813275226283,0.9723936893284585,0.6600611457008324,1.0,1.0,1.0,0.90625,1.0,0.875,0.9942857142857143,1.0
10,0.06143918996923935,0.9066182392511272,0.848711817428722,0.8510211791631677,0.8476774687963456,0.9828326180257511,0.9287408243929982,0.9719419642857143,0.9460708288060258,0.9999195753578897,0.8544360902255639,0.8356909684439608,0.6315076235810061,0.9317471576817,0.7720624928025795,0.9407531583286136,0.8235774730084622,1.0,1.0,0.6666666666666666,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,0.999959786061849,0.9919692737430168,0.909952606635071,0.4932765242183427,0.9560885355295003,0.7111985573061633,0.9693584128911138,0.7763657369202839,1.0,1.0,1.0,0.90625,1.0,0.875,0.9942857142857143,1.0
11,0.05991800442564664,0.9134899756405094,0.8445281276836801,0.8538916735660531,0.8462767550051582,0.9785407725321889,0.9211650668172406,0.9748598965389826,0.9435701142703562,0.9999195753578897,0.8544360902255639,0.809575625680087,0.5951704835645264,0.9392646679497609,0.7492610648343634,0.9543226378724236,0.8542748759848264,1.0,1.0,0.6666666666666666,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.9888618169161155,0.9526248399487837,0.5318667275216796,0.9517997798342223,0.7693386186781382,0.9638311811586381,0.6728104244708478,1.0,1.0,1.0,0.9,1.0,0.9130434782608695,0.9858356940509915,1.0
12,0.05862287931182278,0.9122497210871331,0.8449319870509896,0.852481513509335,0.8463863562403335,0.9849785407725322,0.9325287031808771,0.9770525127046866,0.950597038026962,0.9999597876789448,0.8550375939849624,0.7910772578890098,0.597458579337678,0.9405270937915435,0.7826022582078012,0.9484396634228506,0.844353662095127,1.0,1.0,0.6666666666666666,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9992365185244716,0.9854419410745234,0.9368556701030928,0.5443462075383899,0.9462724332741101,0.7253298501697534,0.9674060558821355,0.7149634315082032,1.0,1.0,1.0,0.9090909090909091,1.0,0.9130434782608695,0.9942857142857143,1.0
13,0.05738185966162069,0.8966322509093549,0.8475874009369337,0.8340345932614438,0.8367629852428927,0.9849785407725322,0.934175607001694,0.976221198156682,0.950694822941323,1.0,0.8550375939849624,0.823721436343852,0.5544001579875653,0.9385206055675708,0.8528710167418854,0.9218910289093185,0.8342573679603151,1.0,1.0,0.6666666666666666,0.8787878787878788,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9995578600426062,0.989213639526792,0.9087635054021609,0.518092377400756,0.9446968713488252,0.6067168080142934,0.9732473593010708,0.7319883250550463,1.0,1.0,1.0,0.9354838709677419,1.0,0.88,0.9942857142857143,1.0
14,0.0563712336325409,0.9094403753606063,0.8462757541058015,0.8504957174321037,0.8450736235235631,0.9828326180257511,0.9287408243929982,0.9763433087142326,0.9483208214314764,0.9996380891105034,0.8541353383458646,0.7899891186071817,0.6130462317922736,0.9376574932042302,0.7757037020788892,0.9440979213940751,0.8559381383133936,1.0,1.0,0.6666666666666666,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.9888579387186629,0.9603174603174603,0.5217542497145606,0.9485095802839587,0.72073839318469,0.9693022399261346,0.694485877311362,1.0,1.0,1.0,0.90625,1.0,0.9130434782608695,0.9914529914529915,1.0
