epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.224294466625312,0.8539387778005162,0.6520690499287906,0.5663400581818976,0.5900970057923882,0.9527896995708155,0.7609213250517598,0.8172764266714854,0.7839764877108829,0.9995978767894483,0.5939849624060151,0.31229597388465724,0.3739606529244724,0.9193014742355999,0.660895934896933,0.909856638970759,0.44665888532243947,1.0,0.6666666666666666,0.0,0.6666666666666666,0.9714285714285714,0.782608695652174,1.0,1.0,0.9864285714285714,0.2717391304347826,0.05706899980115331,0.3191711952573305,0.9217224152208349,0.5865556361300245,0.9420913270878002,0.4459431900946832,1.0,1.0,0.0,0.8148148148148148,0.9714285714285714,0.782608695652174,0.9693593314763231,1.0
1,0.1926573425783108,0.8587673536615154,0.7108735734472842,0.5942847052144877,0.6230132481016538,0.9613733905579399,0.8688758705063053,0.9485708813658251,0.9029067756014477,0.9997185137526138,0.7530827067669172,0.5799782372143635,0.38330371066484165,0.9199934522510367,0.6683373821679452,0.9142641091258896,0.4683104756346659,1.0,0.8333333333333334,0.6666666666666666,0.696969696969697,0.9714285714285714,0.782608695652174,1.0,1.0,0.9868609082248333,0.4090834830909982,0.08767889455502549,0.3275051493605483,0.9256849665471297,0.6036393894067419,0.9433590457054846,0.47046580482514,1.0,1.0,1.0,0.8214285714285714,0.9714285714285714,0.8181818181818182,0.9775280898876404,1.0
2,0.18573775765115783,0.8631548676071586,0.7269862065584207,0.6240832416511946,0.650108370154068,0.9635193133047211,0.8897092038396386,0.9489150813974757,0.9144462007921887,0.9996783014315587,0.7843609022556391,0.6430903155603918,0.40322921135603723,0.9220941883767535,0.6631058857077052,0.9186850934752242,0.48164575430405604,1.0,1.0,0.6666666666666666,0.696969696969697,0.9714285714285714,0.782608695652174,1.0,1.0,0.9899255365746824,0.5709281961471103,0.11633858267716535,0.3383155356724545,0.9263815451777359,0.6167350103025481,0.9448878993463375,0.48915362731152207,1.0,1.0,1.0,0.8214285714285714,0.9714285714285714,0.8181818181818182,0.9802816901408451,1.0
3,0.18125903570232108,0.8634465708570712,0.7358712137846991,0.6476959681044046,0.6681723135688922,0.9656652360515021,0.8951439864483344,0.9534746522613944,0.9194669047259362,0.9998391507157793,0.8006015037593985,0.6866158868335147,0.4010364529067669,0.9233516538026548,0.6870095472068525,0.9164699941888965,0.4720455208637292,1.0,1.0,0.6666666666666666,0.696969696969697,0.9714285714285714,0.8260869565217391,1.0,1.0,0.9927333705980995,0.7146308724832214,0.14116331096196869,0.3345376256127973,0.9280680455598128,0.6070433522790594,0.9469171235371998,0.5164740438030777,1.0,1.0,1.0,0.8214285714285714,1.0,0.8260869565217391,0.9802816901408451,1.0
4,0.17820141210744334,0.8683378608538365,0.7450294967277058,0.6610512081042752,0.6821083371039783,0.9656652360515021,0.8951439864483344,0.9534746522613944,0.9194669047259362,0.9999195753578897,0.8120300751879699,0.720348204570185,0.40920141371631696,0.92286305283835,0.6790471437893801,0.9235379177575284,0.49328859060402686,1.0,1.0,0.6666666666666666,0.696969696969697,0.9714285714285714,0.8260869565217391,1.0,1.0,0.9940038375439718,0.7419620774938169,0.18033233451375646,0.34837206066508974,0.9302600591020685,0.627153753431318,0.9461877001716229,0.5201378419125565,1.0,1.0,1.0,0.8214285714285714,1.0,0.8260869565217391,0.9802816901408451,1.0
5,0.17591597205173146,0.8706838646430906,0.752648590394092,0.6681788444739327,0.6903230656615574,0.9656652360515021,0.8951439864483344,0.9534746522613944,0.9194669047259362,0.9999195753578897,0.8207518796992481,0.7486398258977149,0.4056466934973135,0.9244330244647712,0.6857647362042587,0.9258199737333207,0.51021301429822,1.0,1.0,0.6666666666666666,0.696969696969697,0.9714285714285714,0.8260869565217391,1.0,1.0,0.9917836630504148,0.7713397399660825,0.20193718814206046,0.3570431019498073,0.9291248292434863,0.6331078754986735,0.9466026704317422,0.5144916875091953,1.0,1.0,1.0,0.8214285714285714,1.0,0.8260869565217391,0.9802816901408451,1.0
6,0.17406836394081424,0.8714120912853758,0.7531380595755454,0.6718590844706274,0.6935611941758357,0.9656652360515021,0.8951439864483344,0.9534746522613944,0.9194669047259362,0.9999195753578897,0.8246616541353383,0.7519042437431991,0.404781847773533,0.925469751383956,0.6942755145127415,0.9260177723939412,0.4980741173037642,1.0,1.0,0.6666666666666666,0.696969696969697,0.9714285714285714,0.8260869565217391,1.0,1.0,0.9927339508144363,0.7719594594594594,0.21784363177805802,0.35764310898785817,0.9302711718202692,0.6299714884237029,0.9473523132969721,0.5270975511842634,1.0,1.0,1.0,0.8214285714285714,1.0,0.8260869565217391,0.9802816901408451,1.0
7,0.1725961883739287,0.8737948158514929,0.7541375946252837,0.6905578808596966,0.7071659154624499,0.9678111587982833,0.9005787690570299,0.9581833594157538,0.9241600521354891,0.9999195753578897,0.8237593984962406,0.7442872687704026,0.4069133179431653,0.9251349233119704,0.6921423361867107,0.9294178207993278,0.5115261161365626,1.0,1.0,0.6666666666666666,0.696969696969697,0.9714285714285714,0.8695652173913043,1.0,1.0,0.9934875544368532,0.8430286241920592,0.25782133433848475,0.3688063202073818,0.9320328429216808,0.6303506415026494,0.9464791410839543,0.55245658819451,1.0,1.0,1.0,0.8518518518518519,1.0,0.8333333333333334,0.9802816901408451,1.0
8,0.17123773273066012,0.8704990229797797,0.7539074117250725,0.6933470620904219,0.7109656858862882,0.9699570815450643,0.9043666478449087,0.9591908797417272,0.9268636641898346,0.9998793630368344,0.8210526315789474,0.735582154515778,0.41560263403406267,0.928517926942995,0.7065536283224664,0.9214739317336622,0.5025970236358331,1.0,1.0,0.6666666666666666,0.7272727272727273,0.9714285714285714,0.8695652173913043,1.0,1.0,0.9941625684698733,0.8544600938967136,0.2945533769063181,0.3545061136766286,0.9292254613599414,0.6198404756864934,0.9500395827659803,0.5499888239614267,1.0,1.0,1.0,0.8571428571428571,1.0,0.8333333333333334,0.9830508474576272,1.0
9,0.17004548599978386,0.8772189251457279,0.7574406755871965,0.7005350824116652,0.7163963216807181,0.9678111587982833,0.9005787690570299,0.9581833594157538,0.9241600521354891,0.9999195753578897,0.8273684210526315,0.7442872687704026,0.40592589566010884,0.9250282743705233,0.702139210449832,0.9332927088465144,0.5215640501896702,1.0,1.0,0.6666666666666666,0.696969696969697,0.9714285714285714,0.8695652173913043,1.0,1.0,0.9957552458753804,0.8642789820923656,0.29343629343629346,0.38241049032249785,0.933532572918935,0.6372463631069991,0.946956797064125,0.5506639144767245,1.0,1.0,1.0,0.8518518518518519,1.0,0.8333333333333334,0.9802816901408451,1.0
10,0.16932968617243313,0.8751811283263248,0.7611985135292311,0.7019850782587781,0.7190582949120516,0.9678111587982833,0.9005787690570299,0.9581833594157538,0.9241600521354891,0.9998793630368344,0.8288721804511279,0.7595212187159956,0.4146628804129468,0.9272555011012124,0.7034114401969762,0.928643826040378,0.5273416982783776,1.0,1.0,0.6666666666666666,0.696969696969697,0.9714285714285714,0.8695652173913043,1.0,1.0,0.995555733504164,0.8827674567584881,0.3065436978480457,0.3725078763037959,0.9322590941280908,0.6338144391024849,0.9488808366060988,0.5435514918190568,1.0,1.0,1.0,0.8518518518518519,1.0,0.8333333333333334,0.9802816901408451,1.0
11,0.16861753376581512,0.8761659878136532,0.7580338308614768,0.7095768947723526,0.7249014045074459,0.9678111587982833,0.9005787690570299,0.9581833594157538,0.9241600521354891,0.9998793630368344,0.8276691729323308,0.7410228509249184,0.42427833050726266,0.9256136034445128,0.703817237616324,0.929938731557732,0.5120513568718996,1.0,1.0,0.6666666666666666,0.696969696969697,0.9714285714285714,0.8695652173913043,1.0,1.0,0.9951971182709626,0.8733735322119962,0.3589878755930416,0.3774330144845008,0.935605661768024,0.6321373162262665,0.9491084224952634,0.5547722171287661,1.0,1.0,1.0,0.8518518518518519,1.0,0.8333333333333334,0.9802816901408451,1.0
12,0.167674471900776,0.8765067896303826,0.7607047119860264,0.7139208886096522,0.7269904654649259,0.9699570815450643,0.901072840203275,0.9566396000052219,0.9243722152490875,0.9999195753578897,0.8300751879699249,0.750816104461371,0.4330221250689493,0.9290362904025874,0.7009711719319796,0.9291039229248648,0.5126933177706449,1.0,1.0,0.6666666666666666,0.7878787878787878,0.9714285714285714,0.782608695652174,1.0,1.0,0.9947593711245349,0.8963949334199416,0.3429423459244533,0.3737898034881875,0.9315732142235398,0.6462926915590161,0.9493980365571959,0.5762167125803489,1.0,1.0,1.0,0.8387096774193549,0.9714285714285714,0.8571428571428571,0.9858356940509915,1.0
13,0.1671318377487468,0.878185630541124,0.7604319732577723,0.7192991267468909,0.7325434027212586,0.9678111587982833,0.9005787690570299,0.9581833594157538,0.9241600521354891,0.9998793630368344,0.8318796992481203,0.7421109902067464,0.4135120227175223,0.927528323974682,0.7124596258986493,0.9322164875626414,0.5238692734169828,1.0,1.0,0.6666666666666666,0.696969696969697,0.9714285714285714,0.8695652173913043,1.0,1.0,0.9959146072816117,0.8931223764933807,0.3933102652825836,0.38587851019617064,0.9340799872116374,0.6328181698626935,0.9488436536156575,0.570425444031392,1.0,1.0,1.0,0.8518518518518519,1.0,0.8333333333333334,0.9802816901408451,1.0
14,0.16660088528894013,0.8763413398379994,0.7643091635729897,0.7069660513572096,0.7247176125650299,0.9678111587982833,0.9005787690570299,0.9581833594157538,0.9241600521354891,0.9999195753578897,0.837593984962406,0.7606093579978237,0.415697971357944,0.9292495882854819,0.720076553134785,0.9279822448059423,0.5233440326816458,1.0,1.0,0.6666666666666666,0.696969696969697,0.9714285714285714,0.8695652173913043,1.0,1.0,0.9949185772016165,0.8821666138739309,0.33638113570741096,0.38180658235448645,0.9328496449521457,0.6235356686658025,0.9507428194539022,0.5533273686483818,1.0,1.0,1.0,0.8518518518518519,1.0,0.8333333333333334,0.9802816901408451,1.0
