epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.1037505083023361,0.9237008271664433,0.8820896453989511,0.856584141639624,0.867615728730135,0.9849785407725322,0.970407491059665,0.976697399068323,0.9734991359290599,0.9997185137526138,0.8640601503759399,0.9205658324265505,0.6421377351937732,0.9533448084287387,0.8278157679716162,0.9520215391684348,0.8970528158739423,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9996381182147165,0.9758831521739131,0.8511066398390342,0.5842704983549268,0.9508097371291745,0.7618408369459346,0.9745155444552178,0.7546086060040748,1.0,1.0,1.0,0.90625,1.0,0.9130434782608695,0.9942857142857143,1.0
1,0.08550361321784647,0.925883856721305,0.8813202314153342,0.8620693430319851,0.8689052510762301,0.9828326180257511,0.9666196122717862,0.9675450596173398,0.9667590657684071,0.9997185137526138,0.8619548872180451,0.9031556039173014,0.6396930138171022,0.9485332050239093,0.8271083643622126,0.956421023663354,0.9139772395681354,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9996783143672846,0.9920387677397023,0.9041394335511983,0.6321552107027012,0.9572032837763428,0.7484381590373402,0.9731416103158417,0.6897599647654702,1.0,1.0,1.0,0.9032258064516129,1.0,0.84,0.997134670487106,1.0
2,0.07718054771569935,0.9238373954489342,0.872657124195022,0.862566501540135,0.8660978090218048,0.9892703862660944,0.9779832486354225,0.9781010230179028,0.9779904823707549,0.9999195753578897,0.8619548872180451,0.8737758433079434,0.6447663214093581,0.9547684477866625,0.8057381948595338,0.9543693232705824,0.8859644003501604,1.0,1.0,1.0,0.9393939393939394,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9997185703373136,0.9845413947097218,0.8922222222222222,0.5853890764303644,0.945410294634108,0.7744839655063358,0.9736867338797872,0.745079754601227,1.0,1.0,1.0,0.9117647058823529,1.0,0.9130434782608695,1.0,1.0
3,0.07057949324353445,0.925321079871403,0.8799933944878414,0.8605051546232163,0.8683341206901456,0.9892703862660944,0.9779832486354225,0.9781010230179028,0.9779904823707549,1.0,0.8601503759398497,0.9140369967355821,0.6771401526759144,0.9493169507331495,0.7940084559408194,0.9562367391969374,0.8890574846804785,1.0,1.0,1.0,0.9393939393939394,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9997989788123668,0.9889349930843707,0.8502024291497976,0.5841102006050459,0.959930680604112,0.7799792067314167,0.9731651662915729,0.7479195817070476,1.0,1.0,1.0,0.9117647058823529,1.0,0.9130434782608695,1.0,1.0
4,0.06560698119405219,0.926380618691453,0.8703121650773129,0.8713957740812238,0.8691441056377218,0.9849785407725322,0.970407491059665,0.9734820900220684,0.9719181277209472,0.9999597876789448,0.8598496240601504,0.8813928182807399,0.6049221298358155,0.9459835512609377,0.8417280389565522,0.9602633547881404,0.8683980157572221,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9997989707301383,0.9923637625824366,0.9225512528473804,0.6427155384481811,0.9558121118868501,0.732959917485603,0.9716232048903433,0.7533414337788579,1.0,1.0,1.0,0.90625,0.9714285714285714,0.9130434782608695,0.997134670487106,1.0
5,0.061492418259847956,0.9221647434331698,0.8748119943744457,0.8703231577319019,0.8700485019581521,0.9871244635193133,0.9741953698475437,0.9741953698475437,0.9741953698475437,0.9998391507157793,0.8604511278195489,0.8639825897714908,0.6823905152982356,0.9511597452330404,0.7985435162894762,0.9500662809797545,0.8920630288882404,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.9885970974429855,0.9577804583835947,0.5537460903394082,0.9529702355215617,0.7868884349771423,0.9753284401795236,0.7472745050109998,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0
6,0.05811807306583984,0.927760742271308,0.864297674118347,0.8776047678616258,0.8681919299381216,0.9763948497854077,0.9552559759081498,0.9692116046135169,0.9614579663979075,0.9997185137526138,0.8619548872180451,0.8520130576713819,0.571656213610084,0.946482073057005,0.8273715843098977,0.9663901990149381,0.8887948643128101,1.0,1.0,1.0,0.7575757575757576,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.9882758620689656,0.9678615574783683,0.6713907528412499,0.9521022324680898,0.7425816644436679,0.9684920754624058,0.7301339981302587,1.0,1.0,1.0,0.8928571428571429,1.0,0.875,0.9858356940509915,1.0
7,0.055149318234485226,0.9268002257708887,0.8610598423723512,0.8803435129557654,0.8694325331148948,0.9849785407725322,0.970407491059665,0.9722980838108882,0.9712496549664431,0.9998391507157793,0.8592481203007519,0.8509249183895539,0.5986162468419511,0.9444631837933293,0.8195956283553688,0.9646972390501242,0.8510942515319522,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9992364264759073,0.9861926130479807,0.9524969549330086,0.6315649562455994,0.956882492920125,0.747280054398912,0.9685072099284989,0.8005873956960914,1.0,1.0,1.0,0.90625,1.0,0.875,0.997134670487106,1.0
8,0.053058959554992305,0.9171368851539137,0.8598829396203894,0.8708409526818401,0.8631030010473697,0.9892703862660944,0.9779832486354225,0.9781010230179028,0.9779904823707549,0.9997185137526138,0.8601503759398497,0.8248095756256801,0.6483278514372102,0.9462365324708824,0.8165850502037213,0.9460310654467854,0.8372045520863729,1.0,1.0,1.0,0.9393939393939394,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.9982547993019197,0.9668367346938775,0.549336733810708,0.9523898678689023,0.7283977792452369,0.9741851169387002,0.7973265895953757,1.0,1.0,1.0,0.9117647058823529,1.0,0.9130434782608695,1.0,1.0
9,0.051022121074587486,0.9159234491454373,0.8703657552939374,0.8619980150436175,0.8642552524029624,0.9871244635193133,0.9741953698475437,0.9730113636363636,0.9735268970930395,0.9997185137526138,0.8613533834586466,0.8900979325353645,0.6614912119416808,0.9419209706541797,0.8045262863504006,0.9449616012600143,0.8588561423985993,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.99860529986053,0.9139664804469274,0.5351867462245803,0.9547314860903711,0.7376823326511833,0.9740795501676424,0.781732224907705,1.0,1.0,1.0,0.9090909090909091,1.0,0.875,1.0,1.0
