epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.19039238092108993,0.8825116681299965,0.7707603449961695,0.7714267842925198,0.7694597472950877,0.9678111587982833,0.8851802183323922,0.9599253211577154,0.9151010575239251,0.9995174521473379,0.7882706766917293,0.676822633297062,0.4398387437264636,0.9341653604238179,0.7471059515126921,0.9281880291267742,0.6521739130434783,1.0,0.8333333333333334,0.6666666666666666,0.696969696969697,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9924139583166973,0.8818977119784657,0.7585365853658537,0.4291428305660202,0.9343924742119704,0.6076690112889773,0.9560378514086717,0.6113238512035011,1.0,1.0,1.0,0.92,0.9714285714285714,0.8076923076923077,0.9802816901408451,1.0
1,0.15143465206398415,0.8903653758557178,0.8031401956206605,0.7973263532912332,0.799096514822524,0.9699570815450643,0.888968097120271,0.9676771223470662,0.9221064425475851,0.9995978767894483,0.8168421052631579,0.823721436343852,0.4608129549803537,0.9306856286831088,0.7309234084789725,0.9390190414996332,0.7235191129267581,1.0,0.8333333333333334,0.6666666666666666,0.7272727272727273,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9983934452566471,0.9256987048398091,0.8246187363834423,0.45228753801423655,0.9424501267081744,0.6423380528755795,0.9549286729851899,0.6378955492667867,1.0,1.0,1.0,0.8888888888888888,1.0,0.875,0.9775280898876404,1.0
2,0.14577018821811713,0.8903571239957486,0.8114739329673882,0.8020016804497248,0.8050541849703186,0.9699570815450643,0.9268468849990589,0.9639637826961771,0.9423332003810679,0.9996380891105034,0.8303759398496241,0.8541893362350381,0.44887536006864287,0.9349987102918709,0.751279084433282,0.9364267733387063,0.7360081704114386,1.0,0.8333333333333334,1.0,0.696969696969697,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9986341541798899,0.9600139082058414,0.8315677966101694,0.45722292357421307,0.9388150505661769,0.6307451485923437,0.9570935090276914,0.641920952841473,1.0,1.0,1.0,0.92,0.9714285714285714,0.84,0.9802816901408451,1.0
3,0.14369594996200852,0.8909830275744153,0.8150359475590893,0.8028391071400253,0.80671000841567,0.9678111587982833,0.9401044607566347,0.9544785781544256,0.9442252928866202,0.9996380891105034,0.8415037593984962,0.8639825897714908,0.43742807139403594,0.933656917795988,0.7656739253223074,0.9369685696699711,0.7414356580099212,1.0,1.0,1.0,0.6363636363636364,0.9714285714285714,0.9130434782608695,1.0,1.0,0.998995338370037,0.9698440207972271,0.8393234672304439,0.46916312429700396,0.9409451869552502,0.6219753394390791,0.9575985640805426,0.6248678159506185,1.0,1.0,1.0,0.875,1.0,0.7777777777777778,0.9830508474576272,1.0
4,0.14248566095634063,0.8891903109960985,0.8151264584203791,0.8079749586302114,0.8096590421230443,0.9699570815450643,0.9438923395445133,0.9554516839785961,0.9471244085517869,0.9996380891105034,0.8421052631578947,0.8628944504896626,0.4552289117244479,0.9356584456040794,0.7618517523319642,0.9328498118455598,0.7307849430989204,1.0,1.0,1.0,0.6666666666666666,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9990354860748302,0.979706088173548,0.8666666666666667,0.4521865593398045,0.9393277674998818,0.6210560666613023,0.9592239056367085,0.6465971289889497,1.0,1.0,1.0,0.88,1.0,0.7777777777777778,0.9858356940509915,1.0
5,0.14197471296816216,0.8915961407701296,0.8186959919537952,0.8059561389312926,0.8106321920647154,0.9721030042918455,0.9476802183323922,0.9597679232948355,0.9518973066063916,0.9997989383947241,0.8451127819548873,0.8846572361262242,0.45970976594686985,0.9326053096291593,0.7499794359415871,0.9379028919147033,0.7398015757222061,1.0,1.0,1.0,0.696969696969697,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9988349670576893,0.9760333449114276,0.8287461773700305,0.4600637888969155,0.9432474670319058,0.634064925310857,0.9573640008377089,0.6492944400338054,1.0,1.0,1.0,0.8846153846153846,1.0,0.8076923076923077,0.9858356940509915,1.0
6,0.14153321614691844,0.8890962397924492,0.8183503627448637,0.8080341414421763,0.8114856405021602,0.98068669527897,0.9628317334839074,0.970806623931624,0.9664969099128378,0.9998391507157793,0.8442105263157895,0.8715995647442872,0.48677194631146703,0.9370622432984781,0.7339010841371595,0.9324204290388091,0.7409979573971404,1.0,1.0,1.0,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9989955401984812,0.9790722009068713,0.8725490196078431,0.43678392696742496,0.9390652495948619,0.6459322753774277,0.9596801369685467,0.632194781915953,1.0,1.0,1.0,0.9,1.0,0.875,0.9914529914529915,1.0
7,0.1412448260099783,0.8912318211524878,0.8187676278481071,0.8086881834411768,0.8116327124489215,0.9763948497854077,0.9552559759081498,0.9692116046135169,0.9614579663979075,0.9998391507157793,0.8439097744360903,0.8683351468988031,0.46739804013701336,0.9342844104049683,0.7432453922799783,0.9366657288634931,0.7564633790487306,1.0,1.0,1.0,0.7575757575757576,0.9714285714285714,0.9130434782608695,1.0,1.0,0.99915611814346,0.9804332634521313,0.8798235942668137,0.4570462067082631,0.9420061167279756,0.6400876521870543,0.9584539927123517,0.6124985233313645,1.0,1.0,1.0,0.8928571428571429,1.0,0.875,0.9858356940509915,1.0
8,0.14095627007836725,0.8907181428694028,0.8213650455173533,0.8065024261748461,0.812280364244172,0.98068669527897,0.9628317334839074,0.970806623931624,0.9664969099128378,0.9998793630368344,0.8487218045112782,0.8813928182807399,0.48417059933127676,0.9358097382884581,0.7343178490543275,0.9350962394911783,0.751531952144733,1.0,1.0,1.0,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.999035718590542,0.9734391169368748,0.8526315789473684,0.44587077718062723,0.9408313385198483,0.6491470455636189,0.9589462212507008,0.6321176124091891,1.0,1.0,1.0,0.9,1.0,0.875,0.9914529914529915,1.0
9,0.1406113693603483,0.8869775747453476,0.8198088428855126,0.8026636378314049,0.8090227923030636,0.9742489270386266,0.951468097120271,0.9541468253968254,0.9507714160785778,0.9998793630368344,0.847218045112782,0.8846572361262242,0.46566153888060363,0.9353781821067878,0.7694248095768191,0.9278593884949979,0.7283921797490517,1.0,1.0,1.0,0.7272727272727273,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9988751857952035,0.9777854911489067,0.850418410041841,0.4428477061368287,0.9410873720511247,0.6108109755301226,0.9614938786266582,0.6379900833205541,1.0,1.0,1.0,0.8888888888888888,1.0,0.75,0.9942857142857143,1.0
10,0.14063312326697575,0.8921811976419485,0.8192208447903755,0.8113094434144752,0.8129461652439496,0.9678111587982833,0.9401044607566347,0.9544785781544256,0.9442252928866202,0.9998793630368344,0.844812030075188,0.8781284004352558,0.43412531410243316,0.9340215083632611,0.7709602592716485,0.9380902477888935,0.7537496352494893,1.0,1.0,1.0,0.6363636363636364,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9987147045828815,0.9801116538729937,0.8733766233766234,0.47420686577156246,0.9426863519622716,0.6205091538230673,0.9578441303481994,0.6430260635782031,1.0,1.0,1.0,0.875,1.0,0.7777777777777778,0.9830508474576272,1.0
11,0.14061592013196134,0.8891568909632231,0.8201742119495158,0.8053267492239006,0.8107891355336501,0.9699570815450643,0.9438923395445133,0.9523295454545455,0.9452428827603006,0.9998793630368344,0.8499248120300752,0.8835690968443961,0.45876320251690533,0.9349714280045239,0.7672587287573277,0.9319234752610389,0.7351035891450248,1.0,1.0,1.0,0.6666666666666666,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9983938968078699,0.9748189030700242,0.8493723849372385,0.45307687134306274,0.9411830794620142,0.6172357508381859,0.9600736875279239,0.6484594198048855,1.0,1.0,1.0,0.88,1.0,0.75,0.9886363636363636,1.0
12,0.14027515924109454,0.8914661739756141,0.820619974677662,0.8111446951445501,0.8141466603015324,0.9721030042918455,0.9476802183323922,0.9597679232948355,0.9518973066063916,0.9998391507157793,0.8469172932330827,0.8803046789989118,0.46664215135481146,0.9320100597234072,0.7545583662815247,0.9365410297078846,0.7481470674058943,1.0,1.0,1.0,0.696969696969697,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9985141158989599,0.9794782608695652,0.8670953912111469,0.45741882943501017,0.9456128960824576,0.6325460162183035,0.9583830195427884,0.6501090318981693,1.0,1.0,1.0,0.8846153846153846,1.0,0.8076923076923077,0.9858356940509915,1.0
13,0.14035633478154996,0.8922302962087655,0.8211366447873996,0.8091018799823126,0.813254100429868,0.9678111587982833,0.9401044607566347,0.9544785781544256,0.9442252928866202,0.9997989383947241,0.848421052631579,0.8813928182807399,0.4647558343037311,0.9338950177582889,0.7517945568308319,0.9376197081179765,0.7514152319813248,1.0,1.0,1.0,0.6363636363636364,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9985140562248996,0.9819004524886877,0.8598726114649682,0.46043825561312607,0.9430378954275539,0.6403884511002844,0.9584535820944258,0.6302097354445559,1.0,1.0,1.0,0.875,1.0,0.7777777777777778,0.9830508474576272,1.0
14,0.14032870811968304,0.8892414725279078,0.8201029286758366,0.8070675972788162,0.8117302420027646,0.9785407725321889,0.9590438546960286,0.9660005894488652,0.9618656347878256,0.9997989383947241,0.8469172932330827,0.8781284004352558,0.47270969103897253,0.9365612412944702,0.7544157888098619,0.9317318194159657,0.7405602567843595,1.0,1.0,1.0,0.7878787878787878,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9987948419234323,0.9822113707708406,0.8548728813559322,0.4478249369383318,0.9401498308241193,0.6273278613771089,0.9601739828422684,0.645185072198495,1.0,1.0,1.0,0.896551724137931,1.0,0.84,0.9914529914529915,1.0
