epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.13710361087929598,0.8876276747209211,0.8439558697940049,0.8020947916424955,0.819560355285697,0.98068669527897,0.9628317334839074,0.9667857142857142,0.9643480967508469,0.9995166163141994,0.8631705846895721,0.8846572361262242,0.5760517138030625,0.9144612652211768,0.7675736153082546,0.9222194300277778,0.823996496861772,1.0,1.0,1.0,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9992348582474226,0.9514950166112957,0.8162650602409639,0.45523986908401876,0.9422058537881963,0.6325175694303211,0.9666170358282274,0.653183069909518,1.0,1.0,1.0,0.9,1.0,0.84,0.9942857142857143,1.0
1,0.12227288324313147,0.9023915151765264,0.8475988635498604,0.8151449362106908,0.8285655912517366,0.9785407725321889,0.9590438546960286,0.9700235109717869,0.9640149574198096,0.9995166163141994,0.8616636528028933,0.8977149075081611,0.5664609558062231,0.9237756704263294,0.7423011742251814,0.945160004006014,0.8441979273098817,1.0,1.0,1.0,0.7878787878787878,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9988326221721279,0.9717878993881713,0.7768361581920904,0.5036367270062561,0.9381786119158584,0.7206116461950474,0.9614915357633064,0.6497842890526694,1.0,1.0,1.0,0.896551724137931,1.0,0.875,0.9886363636363636,1.0
2,0.11630961537065124,0.9066512597239131,0.8430085420419791,0.8308589542792074,0.8305939855152087,0.9763948497854077,0.9552559759081498,0.973618933571955,0.9637094809047767,0.9992749244712991,0.8583484026522001,0.8585418933623504,0.5098904691842406,0.9241328673236774,0.7623414302402747,0.9535935235288805,0.8779448255729091,1.0,1.0,1.0,0.7575757575757576,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.9817304377800758,0.927144535840188,0.5940716638228641,0.9337075976491522,0.7154659021304413,0.9585010066575265,0.5362504903534111,1.0,1.0,1.0,0.8928571428571429,1.0,0.9130434782608695,0.9830508474576272,1.0
3,0.11173134165251504,0.9020774611559333,0.8453230276365149,0.8378084424197143,0.8396754747630913,0.9828326180257511,0.9666196122717862,0.9759652845206843,0.9711573598930149,0.9993152064451158,0.8658830620855937,0.8683351468988031,0.5728230069206037,0.9155576612533146,0.7732664959168115,0.9431152165244389,0.8242884250474384,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9999596920472409,0.9666890982503364,0.9410377358490566,0.5157588729906594,0.9461526827530166,0.6819212892429277,0.9632380995411508,0.6877100686833261,1.0,1.0,1.0,0.9032258064516129,1.0,0.9130434782608695,0.9914529914529915,1.0
4,0.10822613136035995,0.9075327569485999,0.8408803637148858,0.8406666183756192,0.8385881217938946,0.9763948497854077,0.9552559759081498,0.973618933571955,0.9637094809047767,0.9994763343403826,0.8631705846895721,0.8520130576713819,0.5453381287123318,0.9279578507661129,0.755973959733016,0.952460534311325,0.8306524594949642,1.0,1.0,1.0,0.7575757575757576,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9997582399871061,0.9585006693440429,0.9490909090909091,0.5692791216917673,0.933986123629028,0.7060700747874193,0.9603156903558331,0.6483321181188479,1.0,1.0,1.0,0.8928571428571429,1.0,0.9130434782608695,0.9830508474576272,1.0
5,0.10515478925802771,0.904625796999773,0.8476267878971874,0.831002688818496,0.8374705182153936,0.9785407725321889,0.9590438546960286,0.974428862056224,0.9662659668049184,0.9993152064451158,0.864376130198915,0.8900979325353645,0.5533690262111056,0.9295032234539452,0.7767710727076284,0.9448405059620179,0.8227412056634068,1.0,1.0,1.0,0.7878787878787878,0.9714285714285714,0.9130434782608695,1.0,1.0,0.999919387343813,0.9666329625884732,0.8920392584514721,0.5395753216304355,0.936605495873346,0.6940960838221817,0.9630324998371752,0.6561205010010709,1.0,1.0,1.0,0.896551724137931,1.0,0.9130434782608695,0.9858356940509915,1.0
6,0.10254466300479177,0.9046720178280337,0.8405647647166856,0.8378650349493986,0.8377865796354513,0.98068669527897,0.9628317334839074,0.9719906301428041,0.9671653826673421,0.9992346424974824,0.8658830620855937,0.8585418933623504,0.5403315895591521,0.9260453590448952,0.7677436339006104,0.9480545334007556,0.8186834038826448,1.0,1.0,1.0,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9992346424974824,0.9663639421459805,0.9217289719626168,0.5322825240894329,0.9335342143759143,0.707370069986609,0.9604517769499142,0.6819541375872383,1.0,1.0,1.0,0.9,0.9714285714285714,0.9130434782608695,0.9914529914529915,1.0
7,0.10035071567654594,0.8999669851226709,0.8469182652338806,0.8300136509042535,0.8357699158764438,0.98068669527897,0.9628317334839074,0.9752099802371541,0.9687474120082815,0.9995166163141994,0.8679927667269439,0.8661588683351469,0.5851247888398452,0.9295627562701698,0.7738039740474846,0.9354663104673089,0.817720040869946,1.0,1.0,1.0,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.9795918367346939,0.9277389277389277,0.510825934669751,0.9337923266876478,0.6920382977888521,0.9655985296467956,0.6305233539673607,1.0,1.0,1.0,0.9,1.0,0.9130434782608695,0.9886363636363636,1.0
8,0.09846340281863476,0.9034170398035615,0.8451750547531243,0.8234266891124029,0.8316452771256779,0.9763948497854077,0.9569028797289667,0.9693833079102201,0.9612366355583113,0.9995166163141994,0.8631705846895721,0.8900979325353645,0.5151490381995532,0.9300514214700141,0.7913542803551743,0.9446193150084821,0.8274412494526346,1.0,1.0,1.0,0.7272727272727273,0.9714285714285714,0.9565217391304348,1.0,1.0,1.0,0.975809199318569,0.8485477178423236,0.5544574780058651,0.9306285354030515,0.6733492932375739,0.962875189062407,0.6417461000294338,1.0,1.0,1.0,0.9230769230769231,1.0,0.8461538461538461,0.9858356940509915,1.0
9,0.09673920120773837,0.8981519922415039,0.8515423090759362,0.8177380885980626,0.8307582275040071,0.9828326180257511,0.9666196122717862,0.9759652845206843,0.9711573598930149,0.9995166163141994,0.8646775165762508,0.8933623503808488,0.5666516811072966,0.9236020330456741,0.7841476858275792,0.9341391647460943,0.8462414246095461,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.9755185311118667,0.8818474758324383,0.5190585827577385,0.9351000296346896,0.6677969743252017,0.9663553029503704,0.596227812172196,1.0,1.0,1.0,0.9032258064516129,1.0,0.9130434782608695,0.9914529914529915,1.0
