epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_AltBasket,window_recall_AltDTC,window_recall_ChC,window_recall_DTC,window_recall_ITC,window_recall_ITCperi,window_recall_L1,window_recall_L2IT,window_recall_L3IT,window_recall_L4IT,window_recall_L5ET,window_recall_L5IT,window_recall_L5NP,window_recall_L6CT,window_recall_L6IT,window_recall_MC,window_recall_NGC,window_recall_NMC,window_recall_OPC,window_recall_PV,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_thalamocortical,cell_recall_AltBasket,cell_recall_AltDTC,cell_recall_ChC,cell_recall_DTC,cell_recall_ITC,cell_recall_ITCperi,cell_recall_L1,cell_recall_L2IT,cell_recall_L3IT,cell_recall_L4IT,cell_recall_L5ET,cell_recall_L5IT,cell_recall_L5NP,cell_recall_L6CT,cell_recall_L6IT,cell_recall_MC,cell_recall_NGC,cell_recall_NMC,cell_recall_OPC,cell_recall_PV,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_thalamocortical,window_precision_AltBasket,window_precision_AltDTC,window_precision_ChC,window_precision_DTC,window_precision_ITC,window_precision_ITCperi,window_precision_L1,window_precision_L2IT,window_precision_L3IT,window_precision_L4IT,window_precision_L5ET,window_precision_L5IT,window_precision_L5NP,window_precision_L6CT,window_precision_L6IT,window_precision_MC,window_precision_NGC,window_precision_NMC,window_precision_OPC,window_precision_PV,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_thalamocortical,cell_precision_AltBasket,cell_precision_AltDTC,cell_precision_ChC,cell_precision_DTC,cell_precision_ITC,cell_precision_ITCperi,cell_precision_L1,cell_precision_L2IT,cell_precision_L3IT,cell_precision_L4IT,cell_precision_L5ET,cell_precision_L5IT,cell_precision_L5NP,cell_precision_L6CT,cell_precision_L6IT,cell_precision_MC,cell_precision_NGC,cell_precision_NMC,cell_precision_OPC,cell_precision_PV,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_thalamocortical
0,0.33890679071064395,0.5232167469808414,0.4165790902051344,0.395011970497561,0.37119406742265054,0.7676537585421412,0.6251768976068319,0.6214665256769718,0.5929462593753667,0.14696406998075975,0.13998632946001366,0.0,0.3335333233338333,0.2804519774011299,0.2226385500174277,0.13977167540882443,0.5074465634606067,0.5304564386286638,0.461247745063628,0.5928637038083798,0.23819025946551706,0.46361487747232244,0.808948981774113,0.10799140917900786,0.4270475814217635,0.7735605711653616,0.4079448689388104,0.0,0.9157646977122562,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.6666666666666666,0.7142857142857143,0.5,0.0,0.8115942028985508,0.8979591836734694,0.8807339449541285,0.75,0.4444444444444444,1.0,1.0,0.0,0.6875,1.0,0.5,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4755664953304858,0.0680896336192566,0.0,0.11143033724756543,0.4026932749249615,0.11553766844532876,0.15113434163701067,0.673744230437977,0.41845888847001417,0.5910403112775349,0.598436653068211,0.3672952980488622,0.028806838822374572,0.3412615406206456,0.39706691613471273,0.5559960994009794,0.5666565441846341,0.31653769729083536,0.0,0.930462699994708,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2222222222222222,1.0,0.5,0.0,0.9333333333333333,0.6470588235294118,0.897196261682243,1.0,0.9230769230769231,0.5,0.5730337078651685,0.0,0.7333333333333333,1.0,0.2857142857142857,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
1,0.31197694945049953,0.5166303289149027,0.43501528216876556,0.40334321743366963,0.3867776227366461,0.7949886104783599,0.736423277064917,0.7591939685021587,0.7304618650284782,0.4062150431786657,0.24743677375256323,0.0,0.27913604319784013,0.3200376647834275,0.15937608922969676,0.19849840584181838,0.5395548212692386,0.4405868274640226,0.3975340587222163,0.5659718787536211,0.3233084426351359,0.5011817390222665,0.8135589192785685,0.08435168486354214,0.3941414191296904,0.7823583602026716,0.45218712914576004,0.0,0.924839778567035,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.8571428571428571,0.25,0.3333333333333333,0.855072463768116,0.8367346938775511,0.8440366972477065,0.75,0.7037037037037037,1.0,1.0,0.0,0.6875,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4082426477201187,0.05719702954653184,0.0,0.1240363466708138,0.42967308032666685,0.09425405823241433,0.18286039130228812,0.6471213997650123,0.49352412784625027,0.6666484153899328,0.7616285703419161,0.31035977935728204,0.02303588887427745,0.31303640220412543,0.29532592747851605,0.5722155173443904,0.5959440019648433,0.3580802585155142,0.0,0.9269940709251594,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.855072463768116,0.640625,0.968421052631579,1.0,0.8260869565217391,1.0,0.5730337078651685,0.0,0.9166666666666666,1.0,0.8,0.0,0.918918918918919,0.0,0.0,0.0,0.0
2,0.30077632146000544,0.5357705368290683,0.44333565863595314,0.4040445386358323,0.39560744207821674,0.7995444191343963,0.7176140737655401,0.7098547078657975,0.7031336834666101,0.3990111414380957,0.24593301435406698,0.0,0.2617369131543423,0.30730696798493407,0.2831997211571976,0.193355960094621,0.49435914543899645,0.4957883939949647,0.5014386698120138,0.6564685932311171,0.2977449713547325,0.4468217439980097,0.8121331654112112,0.12512815140199504,0.3952114043968164,0.7446798710271764,0.4106930940434303,0.0,0.9090309331534356,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.3333333333333333,0.7857142857142857,0.5,0.3333333333333333,0.8260869565217391,0.9183673469387755,0.8807339449541285,0.75,0.5555555555555556,1.0,1.0,0.0,0.8125,1.0,0.75,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4335196888672824,0.08205619412515965,0.0,0.11709051868751258,0.4896477224989498,0.11552680221811461,0.20430341230167354,0.6955972640300421,0.4529410929535871,0.6194379951952043,0.47896690380451595,0.3230980182907913,0.03674717899927365,0.3465852240460802,0.32841009525680054,0.6048928584925863,0.6699958557811853,0.33203164450429223,0.0,0.94195322539193,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.25,1.0,0.5,0.3333333333333333,0.9344262295081968,0.6617647058823529,0.9230769230769231,1.0,0.8333333333333334,1.0,0.5795454545454546,0.0,0.9285714285714286,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0
3,0.2920658335764362,0.5357579801093189,0.4330831134894511,0.39599554120684105,0.39399846089717117,0.8109339407744874,0.7492844596312822,0.7751295755584972,0.7496567290770506,0.3449147612868585,0.23417634996582365,0.0,0.2137393130343483,0.32499058380414314,0.2079121645172534,0.14697109945490075,0.5431026950602477,0.48604419855158054,0.43020920911933,0.596763936974493,0.3337831193038228,0.3730563502923249,0.8172896418981537,0.14189072894762442,0.41818316501642017,0.7747581759557808,0.46709416834960754,0.0,0.9406163812774063,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.3333333333333333,0.9285714285714286,0.5,0.3333333333333333,0.8405797101449275,0.8979591836734694,0.8532110091743119,0.75,0.7037037037037037,1.0,1.0,0.0,0.875,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4371632734078149,0.09138924455825864,0.0,0.12056177557178713,0.4179968511565944,0.15477426050856252,0.15754368557411388,0.6342058397951991,0.44773074596738116,0.6661463500951105,0.5040702809806871,0.2986698045635936,0.04457756109162257,0.34786390484667046,0.29375038730866954,0.574186038627143,0.6942094184654752,0.33700860735154947,0.0,0.9060717118529066,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,1.0,1.0,0.3333333333333333,0.9206349206349206,0.6470588235294118,0.96875,1.0,0.8636363636363636,1.0,0.5666666666666667,0.0,0.9333333333333333,1.0,0.8,0.0,0.918918918918919,0.0,0.0,0.0,0.0
4,0.28512294643967123,0.5410108745378603,0.4332076386710733,0.4094549055796405,0.39585301906771064,0.806378132118451,0.7380673833598502,0.7843098081938876,0.7451889518898218,0.28790997360060855,0.14381408065618592,0.0,0.2713364331783411,0.31171374764595106,0.24058905542000697,0.2007610819705852,0.4865511754317683,0.4734288067634352,0.5215331118530068,0.5846675616477072,0.3368363274594335,0.42455529294688393,0.8316976768132817,0.10909145333043979,0.41158217898384325,0.7844311377245509,0.44148570714746727,0.0,0.9357526935058236,0.0,0.0,0.0,0.0,0.5714285714285714,0.5,0.0,0.6666666666666666,0.8571428571428571,0.5,0.3333333333333333,0.8260869565217391,0.8775510204081632,0.8899082568807339,0.75,0.6666666666666666,1.0,1.0,0.0,0.875,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.5071127398825709,0.07035848047084002,0.0,0.13532653417450066,0.4738213150888844,0.12230343300110742,0.1553398058252427,0.7251554755816523,0.4715673374613003,0.5978259598268066,0.6403850916295195,0.31242774259925116,0.04333032869094926,0.3277266598416939,0.2790528512088207,0.577863548118702,0.651018769830651,0.3611205722070845,0.0,0.9184516549939507,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.2,0.9344262295081968,0.6825396825396826,0.9238095238095239,1.0,0.8181818181818182,1.0,0.5730337078651685,0.0,0.9333333333333333,1.0,0.8,0.0,0.918918918918919,0.0,0.0,0.0,0.0
5,0.27894677434724985,0.544953684539204,0.4442319115193844,0.40107594287761583,0.40303911668883785,0.8337129840546698,0.7847319241065056,0.8381625230176845,0.7755813105284989,0.4180500246096022,0.19781271360218727,0.0,0.27463626818659065,0.40167608286252354,0.20860927152317882,0.18214542836573075,0.5372063406329513,0.49082305038386226,0.46566374715327036,0.642012294213241,0.3743095975940262,0.3388481154372434,0.8156262623862367,0.1316610666686622,0.40823230203214894,0.7431598341777983,0.44737773521267515,0.0,0.9183242723069902,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.9285714285714286,0.5,0.3333333333333333,0.8405797101449275,0.9183673469387755,0.8715596330275229,0.8333333333333334,0.8518518518518519,1.0,1.0,0.034482758620689655,0.875,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.40952923643376876,0.07266244852867329,0.0,0.11434935570497741,0.3985090243264452,0.13853364967305132,0.16246215943491424,0.6616275088451568,0.4538465407358975,0.6503531182133757,0.5395083719273246,0.3098380905954347,0.08373293987458502,0.3390370704499883,0.3754427894669455,0.5594355902954015,0.6545498803196884,0.3594994311717861,0.0,0.9364497657996702,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.9285714285714286,1.0,0.3333333333333333,0.9206349206349206,0.6617647058823529,0.9693877551020408,1.0,0.8846153846153846,1.0,0.6219512195121951,1.0,0.9333333333333333,1.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0
6,0.27386561297778095,0.5581918156137787,0.4446734868823208,0.4109475694324966,0.4074282749320601,0.8223234624145785,0.7211060997622801,0.7937891716378465,0.7088676564649413,0.42140587945769387,0.13834586466165413,0.0,0.3373331333433328,0.32713747645951036,0.19998257232485186,0.15982721382289417,0.5433542234260281,0.46345538184191715,0.5762678660343322,0.609058150215502,0.30918020789260026,0.45913670854583905,0.7649644749661384,0.15505384229707178,0.4037877478456258,0.7109626900046062,0.5062771959775978,0.0,0.9185921347645787,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.6666666666666666,0.9285714285714286,0.25,0.3333333333333333,0.8260869565217391,0.8571428571428571,0.9541284403669725,0.8333333333333334,0.5925925925925926,1.0,1.0,0.034482758620689655,0.875,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4314542914080216,0.07586206896551724,0.0,0.1451623313754599,0.4791074826929972,0.1374251497005988,0.16242487588189183,0.6529970662542877,0.46579718067866765,0.5924589421035406,0.5007551992564192,0.3511135640542822,0.06082227898162643,0.4181557605961283,0.3934525844062132,0.5558085786146421,0.7187092568448501,0.32307651427584466,0.0,0.93247312369395,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,1.0,1.0,0.3333333333333333,0.9047619047619048,0.7368421052631579,0.8739495798319328,1.0,0.9411764705882353,1.0,0.6219512195121951,1.0,0.9333333333333333,1.0,0.5714285714285714,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
7,0.2689841264813244,0.5434351585641642,0.4404250941856561,0.41283971005804543,0.40727244606075824,0.8246013667425968,0.7703617727332566,0.8706084208217045,0.7716303446524875,0.427379301087297,0.1699248120300752,0.0,0.2926853657317134,0.3518079096045198,0.17471244336005576,0.16085570297233365,0.5096706037475078,0.5262992260591179,0.4460100890546817,0.637772910337031,0.402783336573317,0.37566861549944025,0.8039509223835436,0.16944421578825272,0.40156547075236426,0.6959926301243666,0.4552268326705669,0.0,0.9259013075656263,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.9285714285714286,0.25,0.3333333333333333,0.8115942028985508,0.9591836734693877,0.8348623853211009,0.75,0.8888888888888888,1.0,1.0,0.034482758620689655,0.9375,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.44875378796777,0.07752759932638932,0.0,0.14800394407503856,0.47417316039292334,0.16327361563517914,0.17094764455131709,0.6727476698224976,0.43445533122724866,0.6600578635194067,0.5096608810542839,0.28485703772295523,0.06601814405946005,0.3648552951791421,0.35097264202123535,0.5736170713068015,0.7416314911161284,0.3596217105263158,0.0,0.9299398915407245,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.9333333333333333,0.6351351351351351,0.978494623655914,1.0,0.8275862068965517,1.0,0.6144578313253012,1.0,0.9375,1.0,0.8,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
8,0.26451577895603173,0.5418304097801778,0.43981813791078067,0.3945226391995855,0.39753861384581934,0.8154897494305239,0.7701603147870267,0.809798758370187,0.7751113625458498,0.40670723522305247,0.17634996582365003,0.0,0.27348632568371584,0.3709039548022599,0.20442662948762635,0.2186053687133601,0.5523642342549863,0.4796801665993224,0.45479923923956606,0.595336677736169,0.31689327493739206,0.38761039930339597,0.8067786675538025,0.13793954995472607,0.44325374289077096,0.7485951174573929,0.4060502592075951,0.0,0.9369456735252684,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.9285714285714286,0.5,0.3333333333333333,0.8405797101449275,0.8571428571428571,0.8623853211009175,0.75,0.7777777777777778,1.0,1.0,0.0,0.875,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.38612179010641234,0.062490917017875305,0.0,0.13862138874809934,0.44036758787228336,0.15010557297331883,0.15754363858725864,0.66079743058591,0.4388293334849864,0.6572067210436608,0.46910597169485674,0.34195037079996543,0.0565660966488763,0.34339589563434936,0.3168870016675549,0.5277165338899178,0.7037630450785952,0.33664750660245457,0.0,0.9132907031561642,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.8787878787878788,0.6461538461538462,0.9591836734693877,1.0,0.84,1.0,0.6,0.0,0.9333333333333333,1.0,0.8,0.0,0.918918918918919,0.0,0.0,0.0,0.0
9,0.2609096905546619,0.5403097910185132,0.44601145216263266,0.4018248845009744,0.4017050114173364,0.8132118451025057,0.745740886842113,0.7361347833316846,0.7266907658724517,0.4310931137858517,0.14996582365003416,0.0,0.2888855557222139,0.3815630885122411,0.18760892296967585,0.12511570502931194,0.4985821743171005,0.5106183756566065,0.4508525904219282,0.6266798558609482,0.3745668904161283,0.3961935564124891,0.8120381151533873,0.1632106322634718,0.38102175362354623,0.798710271764164,0.5265557660677479,0.0,0.9249439473005416,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.9285714285714286,0.5,0.3333333333333333,0.8260869565217391,0.9387755102040817,0.8348623853211009,0.8333333333333334,0.7777777777777778,1.0,1.0,0.0,0.8125,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.42676795641292553,0.08779511804721889,0.0,0.13102932172256615,0.45407888839085614,0.18792004887841493,0.15900921508398144,0.7211654456397275,0.4236810037459945,0.6627509681754505,0.4806012527906019,0.29529278660001534,0.07269531874101294,0.34217254315581486,0.3737084696972293,0.5409134991762383,0.6291042339367994,0.31860268830072686,0.0,0.9255591625219645,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,1.0,0.3333333333333333,0.9344262295081968,0.6301369863013698,0.9680851063829787,1.0,0.84,1.0,0.6,0.0,0.9285714285714286,1.0,0.5714285714285714,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
