epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_AltBasket,window_recall_AltDTC,window_recall_ChC,window_recall_DTC,window_recall_ITC,window_recall_ITCperi,window_recall_L1,window_recall_L2IT,window_recall_L3IT,window_recall_L4IT,window_recall_L5ET,window_recall_L5IT,window_recall_L5NP,window_recall_L6CT,window_recall_L6IT,window_recall_MC,window_recall_NGC,window_recall_NMC,window_recall_OPC,window_recall_PV,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_thalamocortical,cell_recall_AltBasket,cell_recall_AltDTC,cell_recall_ChC,cell_recall_DTC,cell_recall_ITC,cell_recall_ITCperi,cell_recall_L1,cell_recall_L2IT,cell_recall_L3IT,cell_recall_L4IT,cell_recall_L5ET,cell_recall_L5IT,cell_recall_L5NP,cell_recall_L6CT,cell_recall_L6IT,cell_recall_MC,cell_recall_NGC,cell_recall_NMC,cell_recall_OPC,cell_recall_PV,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_thalamocortical,window_precision_AltBasket,window_precision_AltDTC,window_precision_ChC,window_precision_DTC,window_precision_ITC,window_precision_ITCperi,window_precision_L1,window_precision_L2IT,window_precision_L3IT,window_precision_L4IT,window_precision_L5ET,window_precision_L5IT,window_precision_L5NP,window_precision_L6CT,window_precision_L6IT,window_precision_MC,window_precision_NGC,window_precision_NMC,window_precision_OPC,window_precision_PV,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_thalamocortical,cell_precision_AltBasket,cell_precision_AltDTC,cell_precision_ChC,cell_precision_DTC,cell_precision_ITC,cell_precision_ITCperi,cell_precision_L1,cell_precision_L2IT,cell_precision_L3IT,cell_precision_L4IT,cell_precision_L5ET,cell_precision_L5IT,cell_precision_L5NP,cell_precision_L6CT,cell_precision_L6IT,cell_precision_MC,cell_precision_NGC,cell_precision_NMC,cell_precision_OPC,cell_precision_PV,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_thalamocortical
0,0.3388613563949214,0.5268678225266715,0.42124683851795736,0.39110669733350467,0.37554421481186434,0.785876993166287,0.6731177482590194,0.7207902317617951,0.6593562186196463,0.23130788849612957,0.19658236500341764,0.0,0.23868806559672015,0.3032015065913371,0.17514813523875916,0.28463437210737424,0.49237074751582643,0.4081527989307805,0.5444375515268266,0.6151063378788949,0.2918443893011927,0.3770369448936435,0.8404502213878922,0.06475293906354064,0.34794274755755283,0.7205895900506679,0.5468551560450542,0.0,0.9033413361376218,0.0,0.0,0.0,0.0,0.5714285714285714,0.5,0.0,0.3333333333333333,0.7142857142857143,0.25,0.3333333333333333,0.8115942028985508,0.8571428571428571,0.9541284403669725,0.75,0.4444444444444444,1.0,1.0,0.0,0.625,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.49601803876415274,0.0636198734681237,0.0,0.11343709160033266,0.39727582292849034,0.12869765655013446,0.1714152988541344,0.6808850289798295,0.4949376451687373,0.5770402877479999,0.4717510756592138,0.3081264789684648,0.050080134824777356,0.3024229520625447,0.31528511568591727,0.5647602634496948,0.6519148226861691,0.3142354672377283,0.0,0.9380174973666386,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.25,0.9090909090909091,1.0,0.14285714285714285,0.9180327868852459,0.7241379310344828,0.8888888888888888,0.9,1.0,1.0,0.5543478260869565,0.0,0.9090909090909091,1.0,0.4444444444444444,0.0,1.0,0.0,0.0,0.0,0.0
1,0.311047488612409,0.5287396108839972,0.4303339167096195,0.39446295442388324,0.3847847382929569,0.8109339407744874,0.7418777021216382,0.7978253813450679,0.7456346018742805,0.30157948901516846,0.20943267259056733,0.0,0.1967401629918504,0.35977401129943504,0.22638550017427675,0.1749974287771264,0.47745908692555555,0.4560773008423212,0.5035262715392339,0.6170140606231894,0.28576084346304703,0.4653563876103993,0.8240382102036452,0.077916052412988,0.4038535930928336,0.7717641639797328,0.4648872603110491,0.0,0.9294480049207325,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.3333333333333333,0.9285714285714286,0.5,0.3333333333333333,0.8115942028985508,0.8775510204081632,0.9174311926605505,0.75,0.5555555555555556,1.0,1.0,0.0,0.875,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.503398312047203,0.07378865234563144,0.0,0.12699283547408508,0.436393539986751,0.13953488372093023,0.22525981333156814,0.7014271100341122,0.46710596998889803,0.6056915059440963,0.42280020528512363,0.30489501104183697,0.03096085409252669,0.34006485270851583,0.2646670055922725,0.5603494546908011,0.6220992834069728,0.352309124473406,0.0,0.9225947654651675,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.3333333333333333,0.9333333333333333,0.671875,0.9174311926605505,0.9,1.0,1.0,0.5604395604395604,0.0,0.9333333333333333,1.0,0.6666666666666666,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
2,0.29940777022093634,0.5277400959919369,0.43940488363548125,0.400169914738776,0.39082488206833543,0.7995444191343963,0.7406346564464549,0.7490978526761692,0.7270693202805197,0.42382209494831985,0.20123034859876965,0.0,0.3170841457927104,0.3642937853107345,0.18464621819449287,0.17016352977476087,0.49571210328019466,0.49040732912690765,0.4523035042323421,0.6047905037801173,0.32825990005603267,0.41597213583779075,0.8518008063430206,0.0873001025211216,0.36509543445517173,0.7914325195762322,0.45166663196685475,0.0,0.9133068116430881,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.9285714285714286,0.5,0.3333333333333333,0.8260869565217391,0.8979591836734694,0.8532110091743119,0.75,0.6666666666666666,1.0,1.0,0.0,0.6875,1.0,0.75,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.39456802466050156,0.06852886405959031,0.0,0.10706688726069487,0.4283816104172203,0.1305687349805903,0.20170679670832065,0.7089638145438573,0.45528587247825886,0.6474335755847919,0.5937651743226182,0.30321050769222646,0.038307768091370445,0.30171988103922337,0.31430341891855484,0.5768120465007412,0.6355465137784354,0.35791592423942453,0.0,0.9389730500215467,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.2857142857142857,1.0,1.0,0.3333333333333333,0.9344262295081968,0.6470588235294118,0.9489795918367347,1.0,0.8571428571428571,1.0,0.5604395604395604,0.0,0.9166666666666666,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0
3,0.29051867045090524,0.537566984867897,0.4317216552209776,0.3931302760199325,0.38949402002733435,0.8041002277904328,0.717028686311401,0.7426121969463506,0.7064904811799556,0.3590317240144973,0.2561859193438141,0.0,0.2528373581320934,0.33894538606403013,0.17558382711746254,0.15941581816311837,0.5383210084434101,0.43588956578497495,0.49397391212074215,0.6216349890482583,0.30537799174375924,0.3082472944396069,0.8272857606792925,0.10680904879855722,0.3859436858523256,0.7815753109166282,0.49528429555911807,0.0,0.9286468977559078,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.3333333333333333,0.8571428571428571,0.25,0.3333333333333333,0.8695652173913043,0.8163265306122449,0.908256880733945,0.75,0.6296296296296297,1.0,1.0,0.0,0.6875,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.42046794351141037,0.0692586296104664,0.0,0.10816880922333212,0.44429632921079265,0.14417572982255294,0.16409930654809168,0.6729141775360999,0.49623591231577646,0.6315354191016864,0.5575553245963142,0.3125786421176457,0.04491083079599826,0.3042468838027656,0.27648528756561996,0.5585786269908395,0.6319788446497077,0.3190627556700063,0.0,0.9197955152896785,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.8695652173913043,0.7142857142857143,0.9339622641509434,1.0,0.85,1.0,0.5666666666666667,0.0,0.9166666666666666,1.0,0.5714285714285714,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
4,0.2828388754912737,0.5348287828478556,0.4389528545926563,0.4023295204074687,0.39535205900801085,0.8154897494305239,0.7130810211629157,0.7176113950011228,0.6933162811081977,0.44749205781019286,0.0911825017088175,0.0,0.3335833208339583,0.35898305084745763,0.17288253746950158,0.12645274092358325,0.4997100804626004,0.49190703384825785,0.4554400084891722,0.6171695046986505,0.3615192855264211,0.4393581291205374,0.8234837503663396,0.10582873734387979,0.4524803081557569,0.7614002763703362,0.4529991047448523,0.0,0.9092789539474989,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.9285714285714286,0.25,0.0,0.8260869565217391,0.9183673469387755,0.8715596330275229,0.75,0.7777777777777778,1.0,1.0,0.0,0.875,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.38303332056683265,0.06025837925738549,0.0,0.11091900518685996,0.43735230010324655,0.14095914742451154,0.1247210387502536,0.7065773661334341,0.4419270278854981,0.6515425755523379,0.6174923651170682,0.2983020621523568,0.04559360760065576,0.33186813888383465,0.35152870991797164,0.5640717825591776,0.7152128764278297,0.32093812228040414,0.0,0.9396335415347787,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.9193548387096774,0.6521739130434783,0.9595959595959596,1.0,0.875,1.0,0.5930232558139535,0.0,0.875,1.0,0.5714285714285714,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
5,0.2763864064208846,0.5289174977471152,0.43518178149794196,0.4128745485032143,0.3972993057303116,0.7790432801822323,0.6891292369523561,0.7036986065449063,0.6801793290093043,0.37057586469193254,0.18920027341079973,0.0,0.3726813659317034,0.28026365348399246,0.18246775880097596,0.23994651856422916,0.5292527489402713,0.5084542939732073,0.3770069954044193,0.6404719847382181,0.38974716692014777,0.3316332877223535,0.8612107818675792,0.10306740202497923,0.47239026478020035,0.686596038691847,0.37534092565218297,0.0,0.9229647413639159,0.0,0.0,0.0,0.0,0.8571428571428571,0.5,0.0,0.6666666666666666,0.7857142857142857,0.0,0.6666666666666666,0.8115942028985508,0.9183673469387755,0.7614678899082569,0.75,0.7777777777777778,0.5,1.0,0.0,0.9375,1.0,0.5,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4358029888444538,0.09015699302977005,0.0,0.1401760192568076,0.5245497162595608,0.15195936139332367,0.1955820094731106,0.6738423990723011,0.436261567592074,0.7130968785341809,0.4718049613274622,0.2818488916821375,0.0720618445237323,0.2910438572071011,0.3085971634066008,0.5660269433322156,0.7751430057202288,0.3697444521924607,0.0,0.9340428202103361,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,1.0,0.0,0.4,0.9032258064516129,0.6,0.9764705882352941,1.0,0.6774193548387096,1.0,0.5604395604395604,0.0,0.8823529411764706,1.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0
6,0.2710567882302141,0.5281749770525946,0.4374498626378108,0.40253632835545816,0.3946628216484229,0.7949886104783599,0.7162954471160937,0.7125692396803818,0.6993800737304281,0.42393395677658957,0.23472317156527683,0.0,0.2617869106544673,0.4003578154425612,0.12504356918787035,0.14666255271006892,0.5225462084084609,0.4529147110931526,0.40208270412786,0.6518052709672861,0.37996432206200187,0.33449434009205126,0.8479037457722437,0.10392798078290218,0.4140596064100348,0.7545831414094887,0.49234869147009225,0.0,0.9249588285481855,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.9285714285714286,0.0,0.0,0.8405797101449275,0.8571428571428571,0.8256880733944955,0.75,0.7407407407407407,1.0,1.0,0.0,0.8125,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4302386304293531,0.08373159075392568,0.0,0.13742060784210802,0.45502996575342464,0.14752750077104965,0.14794833220936868,0.683115678422224,0.455692590348494,0.6913266201185924,0.4614345738295318,0.26510633374954623,0.056419294601456116,0.29400923937225004,0.33707101597009853,0.5831411051478514,0.7414347137361395,0.34301794287869336,0.0,0.9319881744641398,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.90625,0.65625,0.967741935483871,1.0,0.6896551724137931,1.0,0.5666666666666667,0.0,0.9285714285714286,1.0,0.5,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
7,0.2660923210829302,0.542001181168771,0.4383618744546014,0.3986499559867212,0.3980536997346493,0.8086560364464692,0.7405468072945851,0.8198279109497842,0.7377336405946506,0.35158172625173384,0.14518113465481886,0.0,0.3566821658917054,0.3207721280602637,0.20102823283373997,0.15005656690321917,0.5199514947404095,0.5037414913125913,0.4553318531699712,0.6424503638804494,0.3387117062516438,0.31595969647966166,0.8002598040380517,0.16154185780245603,0.42572244582170754,0.7845693228926762,0.4796069205304907,0.0,0.9373648286672355,0.0,0.0,0.0,0.0,0.7142857142857143,0.5,0.0,0.6666666666666666,0.8571428571428571,0.25,0.3333333333333333,0.8260869565217391,0.9387755102040817,0.8348623853211009,0.75,0.7777777777777778,1.0,1.0,0.034482758620689655,0.875,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4527122403710426,0.06530562046488747,0.0,0.12960540658382386,0.4612863913337847,0.1336151974979729,0.1721940280892246,0.6869927515952088,0.43933720752926825,0.6584754040790067,0.48870757951992433,0.30250264255768944,0.04782346738966712,0.36094587883919416,0.31518469849613084,0.5331436758506242,0.6716747505816475,0.3366261398176292,0.0,0.9195661271642547,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.5,0.25,0.9344262295081968,0.6301369863013698,0.9578947368421052,1.0,0.84,1.0,0.6,1.0,0.9333333333333333,1.0,0.6666666666666666,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
8,0.26164471521893756,0.5470979537150938,0.4428833650100043,0.39214776967036713,0.3994708762255932,0.8223234624145785,0.7548285827230576,0.7947568165453197,0.7591724695063702,0.4331737437916685,0.1498291182501709,0.0,0.2600869956502175,0.3672881355932203,0.18238062042523528,0.134783503034043,0.4871469005086168,0.47798231436297517,0.5034017908888326,0.6316540662757013,0.34245674621779554,0.3169548451299913,0.8141133791158742,0.1533027516070373,0.47522984106603455,0.8209120221096269,0.49403510232974535,0.0,0.9271686938232901,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.9285714285714286,0.5,0.0,0.8115942028985508,0.9183673469387755,0.8990825688073395,0.75,0.7037037037037037,1.0,1.0,0.0,0.9375,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4041496201052016,0.07347814427460445,0.0,0.13803900756269072,0.43232399361588936,0.1310664412298829,0.1286569801688592,0.713959760190916,0.45639528413180097,0.6251726488708447,0.49621998468011413,0.31994850482366644,0.0530678552088974,0.3548246779923153,0.32781796069896946,0.534917546785251,0.5852104813817561,0.3550172803303461,0.0,0.9283936820146029,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.9491525423728814,0.6818181818181818,0.9245283018867925,1.0,0.8636363636363636,1.0,0.5930232558139535,0.0,0.8823529411764706,1.0,0.8,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
9,0.2575282134917265,0.5449909361411275,0.4403921266928938,0.3968499184733305,0.39881804134534854,0.8200455580865603,0.7519504935186266,0.7306829517800524,0.7311820227398489,0.4156114367533223,0.13793574846206424,0.0,0.26593670316484175,0.33314500941619585,0.2578424538166609,0.15093078268024274,0.5062339319708439,0.49488313181860566,0.49170060975112034,0.6389034127040204,0.32937483561847475,0.33424555292946884,0.8273966526467537,0.1324991955459437,0.4485872079145987,0.8134500230308613,0.4207490995398805,0.0,0.9276324927081887,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.7857142857142857,0.75,0.3333333333333333,0.8260869565217391,0.9183673469387755,0.8807339449541285,0.75,0.7777777777777778,1.0,1.0,0.0,0.875,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4359877021286583,0.07147410923000637,0.0,0.13658073130649137,0.45689343457823234,0.1322103569992404,0.1714869997078586,0.7017003020394083,0.46265187149265385,0.6204160980508279,0.5131487850000568,0.31972094417218433,0.07414663760037529,0.3183598333500959,0.3248509311072379,0.5468354938395473,0.5917040809488708,0.33506872481886163,0.0,0.9300614961493414,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.6,0.5,0.95,0.6716417910447762,0.96,1.0,0.84,1.0,0.5862068965517241,0.0,0.9333333333333333,1.0,0.6666666666666666,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
