epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.06397399446329766,0.9346821286342158,0.903292092296865,0.8729116109023966,0.8855026008823847,0.9871244635193133,0.9741953698475437,0.9741953698475437,0.9741953698475437,1.0,0.8547317661241712,1.0,0.6678382649446897,0.9683508665745562,0.8726341364426626,0.95710370107763,0.9056780032112101,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9997181056701031,0.9996475149806133,0.8493530499075785,0.6583801715049323,0.9574261966601184,0.7528413123503639,0.9816603952889991,0.784266140856464,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0
1,0.03961629516424561,0.9357146689226833,0.8958090677225556,0.8966106466208519,0.8941678927937163,0.9892703862660944,0.9812770562770563,0.9773148148148149,0.9782677708764665,1.0,0.8505123568414708,0.9902067464635473,0.6161176502642908,0.9634542924400765,0.875908365463191,0.9641572348181595,0.9061158954897095,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,1.0,1.0,1.0,0.9997181056701031,0.9961171902576774,1.0,0.6883271058619403,0.9625994740977009,0.7388745726327672,0.9775920049140723,0.8096567195325542,1.0,1.0,1.0,0.9666666666666667,1.0,0.8518518518518519,1.0,1.0
2,0.02897902025884974,0.9281402306914553,0.8956874710813114,0.882000341375919,0.8870589528159245,0.9914163090128756,0.9850649350649351,0.9815446650124069,0.9827228445726116,1.0,0.8640747438215792,0.970620239390642,0.6502779140101357,0.9592423456921806,0.8568333762950207,0.9528470040606972,0.9116041453802365,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,1.0,1.0,1.0,0.9996778480248057,0.9879393521709167,1.0,0.5930449259516947,0.9630813982447227,0.7529362436323153,0.9787260226769277,0.7805969403059694,1.0,1.0,1.0,0.967741935483871,1.0,0.8846153846153846,1.0,1.0
3,0.022694748277608527,0.932280296308524,0.8991624405902101,0.8927452428702587,0.8944128306638524,0.9871244635193133,0.9741953698475437,0.9730113636363636,0.9735268970930395,1.0,0.8535262206148282,1.0,0.6624775216609449,0.9492978848486502,0.8629924369148755,0.9598237353868047,0.9051817252955773,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9991145812371715,0.996832101372756,0.9989130434782608,0.6296622404651072,0.9733702301046115,0.7524771414361682,0.9764983644431887,0.8150942404248048,1.0,1.0,1.0,0.9090909090909091,1.0,0.875,1.0,1.0
4,0.01888215643948951,0.9364979468873161,0.8905947119589623,0.9019435259400157,0.8942155813510082,0.98068669527897,0.9628317334839074,0.970806623931624,0.9664969099128378,1.0,0.8523206751054853,1.0,0.6078006648139066,0.9583592755848479,0.8411752123861287,0.9714804986381396,0.8936213691431908,1.0,1.0,1.0,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9997181056701031,0.9989403037795832,1.0,0.7300470443853548,0.9627342657865424,0.7493684987125679,0.9710485378102128,0.8036914513757614,1.0,1.0,1.0,0.9,1.0,0.875,0.9914529914529915,1.0
5,0.01654413194256723,0.9332789963477292,0.9011211189135363,0.8957381854755266,0.8975240220971712,0.9871244635193133,0.9741953698475437,0.9741953698475437,0.9741953698475437,1.0,0.8836648583484027,1.0,0.6767614843877718,0.9624174292241634,0.8572227737162225,0.9580806277890797,0.8708217778426507,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9995973424602376,0.9976182374957469,1.0,0.6394958902698841,0.9551273214250546,0.7643293413466475,0.9791882918913963,0.8305490589152467,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0
6,0.014932629528808037,0.9350135154654066,0.8946375746596573,0.8984950162548533,0.8955349307317583,0.9871244635193133,0.9758422736683606,0.9727047146401986,0.9737145537562851,1.0,0.8694996986136226,1.0,0.6421107841534521,0.9626406772850059,0.855374507083194,0.9641265138523907,0.8633484162895928,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9996778480248057,0.9968901174844506,1.0,0.6748251497949045,0.959221505971684,0.7566244602920487,0.9756917564997224,0.8250292919712102,1.0,1.0,1.0,0.9354838709677419,1.0,0.8461538461538461,1.0,1.0
7,0.013732388810993215,0.9351509398922889,0.8922307825607596,0.9025910555507128,0.8957970347949318,0.98068669527897,0.9661255411255412,0.9686159530125047,0.9643393660747432,1.0,0.8688969258589512,1.0,0.6032913737670972,0.9610208885768928,0.8777621165669407,0.9657743864562321,0.861100569259962,1.0,1.0,1.0,0.7575757575757576,0.9714285714285714,1.0,1.0,1.0,0.9996375936216477,0.9961990324809952,1.0,0.6903626102952639,0.9564585174615244,0.7429578118617002,0.9754427924173757,0.8596700862671951,1.0,1.0,1.0,0.9615384615384616,1.0,0.7931034482758621,0.9942857142857143,1.0
8,0.012867475496386572,0.9339145327363143,0.88563034832306,0.8984321285581881,0.8902291685053554,0.9828326180257511,0.96991341991342,0.9723346560846561,0.9689086709805387,1.0,0.8731163351416515,0.998911860718172,0.5806427442646177,0.9608472511962375,0.8648900637843945,0.9679248540600521,0.8387096774193549,1.0,1.0,1.0,0.7878787878787878,0.9714285714285714,1.0,1.0,1.0,0.9996375936216477,0.9972461273666093,0.9683544303797469,0.6930494239696903,0.955467194857539,0.7391273780564969,0.9728213783090984,0.8617535019046763,1.0,1.0,1.0,0.9629629629629629,1.0,0.8214285714285714,0.9942857142857143,1.0
9,0.012206688052155641,0.934091162330025,0.8920391828463243,0.8994266001783963,0.8947621004610283,0.9892703862660944,0.9779832486354225,0.9781010230179028,0.9779904823707549,1.0,0.8601567209162145,1.0,0.6572053294098414,0.9555215446781383,0.8387291384444944,0.9651181866274093,0.8595825426944972,1.0,1.0,1.0,0.9393939393939394,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9997181056701031,0.9975533030408948,1.0,0.6523132466584184,0.968555293502366,0.7480153586539167,0.9756555226012826,0.8536019713001884,1.0,1.0,1.0,0.9117647058823529,1.0,0.9130434782608695,1.0,1.0
