epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.09747722161162448,0.922041557476838,0.8760972789617629,0.8619775044974203,0.8653346007497202,0.9828326180257511,0.9682665160926031,0.9714342553997726,0.9689461053091089,0.999154078549849,0.8553345388788427,0.9009793253536452,0.6082979129202768,0.9398817777491139,0.8317528916871877,0.9550884057231931,0.9182893008319953,1.0,1.0,1.0,0.8181818181818182,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9989931128921825,0.9867872044506258,0.971830985915493,0.610764969394385,0.965670420747605,0.7166802924261255,0.9729993809437072,0.6720936692092387,1.0,1.0,1.0,0.9310344827586207,1.0,0.8461538461538461,0.9942857142857143,1.0
1,0.08040352993991368,0.9263462847945856,0.8801968686608828,0.8617728861355829,0.8673601646195693,0.9828326180257511,0.9682665160926031,0.9714342553997726,0.9689461053091089,0.999436052366566,0.8529234478601567,0.956474428726877,0.5789466514086425,0.9466511550606614,0.8433799696160322,0.9614716079906461,0.9022916362574807,1.0,1.0,1.0,0.8181818181818182,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9997179466516238,0.9950773558368495,0.8996929375639714,0.661205501618123,0.9602012831802742,0.7265374003099369,0.9710776547625032,0.6806730091613813,1.0,1.0,1.0,0.9310344827586207,1.0,0.8461538461538461,0.9942857142857143,1.0
2,0.0709883829954272,0.9194020180343767,0.8681450070553347,0.8675067851035986,0.8655810905121235,0.9871244635193133,0.9741953698475437,0.9730113636363636,0.9735268970930395,0.9994763343403826,0.8598553345388789,0.8781284004352558,0.6271592828728679,0.9359203649361635,0.8318625811016108,0.9516279961389891,0.8611297620785286,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9997179580160361,0.9885654885654885,0.9817518248175182,0.5814314763125655,0.9640942564097322,0.7053713435334604,0.9739218523332435,0.7452000808407437,1.0,1.0,1.0,0.9090909090909091,1.0,0.875,1.0,1.0
3,0.06387265721207903,0.9128357716195861,0.8737318634192568,0.8574275312425138,0.8622930008785749,0.9892703862660944,0.9779832486354225,0.9781010230179028,0.9779904823707549,1.0,0.8574442435201929,0.8911860718171926,0.6404078796795815,0.9397949590587862,0.8261258247272847,0.9396105687495276,0.8952853598014888,1.0,1.0,1.0,0.9393939393939394,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9996375936216477,0.9923264736658528,0.9703791469194313,0.5224937339876291,0.961757456217174,0.7144991675323382,0.9756213639863756,0.7227053140096619,1.0,1.0,1.0,0.9117647058823529,1.0,0.9130434782608695,1.0,1.0
4,0.05804411310892152,0.9163514433691682,0.8657812094998529,0.8594055600162939,0.8579157242903273,0.9849785407725322,0.970407491059665,0.9734820900220684,0.9719181277209472,0.999436052366566,0.8517179023508138,0.8705114254624592,0.5630279003868999,0.9490622341177609,0.8496871109453582,0.9469086413775772,0.8958984089913882,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9998388071730808,0.9943701618578465,0.9950248756218906,0.6180655774479381,0.9486645442193063,0.6791425565491847,0.973246740780596,0.6668912164805076,1.0,1.0,1.0,0.90625,0.9714285714285714,0.9130434782608695,0.997134670487106,1.0
5,0.05285980240619562,0.9208654024719889,0.859736440599498,0.8728624543947503,0.863587257954336,0.9828326180257511,0.9666196122717862,0.9759652845206843,0.9711573598930149,0.9994763343403826,0.8526220614828209,0.8313384113166485,0.6007778867636641,0.9394129568213445,0.8141861319673345,0.9568782091888867,0.8831995329149029,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.9971801198449066,0.9922077922077922,0.6011054468131508,0.9589638407778791,0.7144445300017326,0.970395935898051,0.74860196961449,1.0,1.0,1.0,0.9032258064516129,1.0,0.9130434782608695,0.9914529914529915,1.0
6,0.04828933505469645,0.9184128097724037,0.8541280359226456,0.8698071682556265,0.8591815554201068,0.9828326180257511,0.9287408243929982,0.9763433087142326,0.9483208214314764,0.999436052366566,0.8592525617842074,0.8052230685527747,0.5982575881423355,0.9465618558363245,0.8092939840840659,0.9526725089751301,0.8623266676397606,1.0,1.0,0.6666666666666666,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,1.0,0.9978998949947497,0.9946236559139785,0.5737719911414815,0.9547155838437212,0.7262753783684016,0.9697114678024085,0.7414593739802706,1.0,1.0,1.0,0.90625,1.0,0.9130434782608695,0.9914529914529915,1.0
7,0.044277656411303636,0.9171483399706993,0.8607922248780231,0.8695100267908996,0.8635182938480636,0.9871244635193133,0.9741953698475437,0.9730113636363636,0.9735268970930395,0.999436052366566,0.853827606992164,0.8900979325353645,0.6002806386572939,0.94106251193757,0.8109667476540177,0.95224855964752,0.8384177492336885,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9995568447345097,0.9978865797816132,0.9855421686746988,0.5629867184555334,0.9541605362105607,0.7217094634498714,0.9698185370200373,0.7644193660003726,1.0,1.0,1.0,0.9090909090909091,1.0,0.875,1.0,1.0
8,0.040925037081386104,0.9198650516889173,0.8683766688360817,0.8706630728583771,0.8682055508748834,0.9785407725321889,0.9606907585168455,0.9749821072590195,0.9667249312387716,0.9993957703927493,0.8592525617842074,0.9542981501632208,0.5474565418778268,0.9566526681864072,0.8216395276773815,0.9556542859126553,0.8526638446942052,1.0,1.0,1.0,0.7575757575757576,0.9714285714285714,0.9565217391304348,1.0,1.0,1.0,0.9892435808466343,0.9647964796479648,0.5993720729051696,0.9376844787426999,0.7261323704044785,0.9688631363354354,0.7792124639846334,1.0,1.0,1.0,0.9259259259259259,0.9714285714285714,0.9166666666666666,0.9858356940509915,1.0
9,0.03825512651996496,0.9171541175742319,0.8679429260224335,0.865532961121718,0.8652988086614,0.9828326180257511,0.9682665160926031,0.9753109342764514,0.971106226185675,0.9993554884189325,0.8580470162748643,0.9336235038084875,0.5864734891831508,0.9435777734230625,0.8073305435658932,0.9527505402281831,0.8623850532768939,1.0,1.0,1.0,0.8181818181818182,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9998790907625342,0.9916405433646813,0.9618834080717489,0.5849712946292082,0.9476703919800298,0.7122886645827486,0.9689733950549395,0.7569569005278532,1.0,1.0,1.0,0.9310344827586207,1.0,0.88,0.9914529914529915,1.0
