epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_AltBasket,window_recall_AltDTC,window_recall_ChC,window_recall_DTC,window_recall_ITC,window_recall_ITCperi,window_recall_L1,window_recall_L2IT,window_recall_L3IT,window_recall_L4IT,window_recall_L5ET,window_recall_L5IT,window_recall_L5NP,window_recall_L6CT,window_recall_L6IT,window_recall_MC,window_recall_NGC,window_recall_NMC,window_recall_OPC,window_recall_PV,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_thalamocortical,cell_recall_AltBasket,cell_recall_AltDTC,cell_recall_ChC,cell_recall_DTC,cell_recall_ITC,cell_recall_ITCperi,cell_recall_L1,cell_recall_L2IT,cell_recall_L3IT,cell_recall_L4IT,cell_recall_L5ET,cell_recall_L5IT,cell_recall_L5NP,cell_recall_L6CT,cell_recall_L6IT,cell_recall_MC,cell_recall_NGC,cell_recall_NMC,cell_recall_OPC,cell_recall_PV,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_thalamocortical,window_precision_AltBasket,window_precision_AltDTC,window_precision_ChC,window_precision_DTC,window_precision_ITC,window_precision_ITCperi,window_precision_L1,window_precision_L2IT,window_precision_L3IT,window_precision_L4IT,window_precision_L5ET,window_precision_L5IT,window_precision_L5NP,window_precision_L6CT,window_precision_L6IT,window_precision_MC,window_precision_NGC,window_precision_NMC,window_precision_OPC,window_precision_PV,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_thalamocortical,cell_precision_AltBasket,cell_precision_AltDTC,cell_precision_ChC,cell_precision_DTC,cell_precision_ITC,cell_precision_ITCperi,cell_precision_L1,cell_precision_L2IT,cell_precision_L3IT,cell_precision_L4IT,cell_precision_L5ET,cell_precision_L5IT,cell_precision_L5NP,cell_precision_L6CT,cell_precision_L6IT,cell_precision_MC,cell_precision_NGC,cell_precision_NMC,cell_precision_OPC,cell_precision_PV,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_thalamocortical
0,0.34077821212646564,0.5075627030264624,0.414645254757982,0.36053505664292795,0.35880286621791546,0.7881548974943052,0.6734172361814567,0.6985909828864564,0.6637817490710876,0.4168642892299432,0.2254272043745728,0.0,0.1328433578321084,0.25587570621468925,0.22481700941094457,0.22842744009050706,0.505730875239283,0.4728382494638361,0.4129390493759642,0.5784215360700912,0.2135873480542945,0.3336235850230128,0.787325048119193,0.08756950108881921,0.38247034906211674,0.7929525564256104,0.48143907060023733,0.0,0.9304624099684518,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.6428571428571429,0.5,0.3333333333333333,0.8695652173913043,0.8979591836734694,0.8623853211009175,0.75,0.48148148148148145,0.5,1.0,0.0,0.8125,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.33932473776223776,0.042411460610581,0.0,0.11350335341108121,0.3558296668761785,0.08767458456519522,0.15570667414469994,0.6598793624033552,0.4501009667660308,0.6231503807790496,0.44328925566132754,0.3564197731110878,0.020439580538958665,0.31522814628762796,0.23885044802318697,0.5695498167645148,0.47242041712403954,0.3335015936657196,0.0,0.9123508010778315,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.6666666666666666,0.2,0.9375,0.6666666666666666,0.9215686274509803,0.9,0.9285714285714286,1.0,0.5425531914893617,0.0,0.8666666666666667,1.0,0.5,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
1,0.31442454340643505,0.5294293933555699,0.4351246707610677,0.3993240568696983,0.38585526749447696,0.8018223234624146,0.7159549207880151,0.7042817295268275,0.6956181787294017,0.3746923799722583,0.1395762132604238,0.0,0.368181590920454,0.2216949152542373,0.20181247821540607,0.21901676437313586,0.46992912195419007,0.4765564293040748,0.5027569403064265,0.5895993782236981,0.2864126519457055,0.4858813285234482,0.7970360161268604,0.08591569321489774,0.4612130340666848,0.7945186549976969,0.43228331702442174,0.0,0.9251671660151987,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6428571428571429,0.5,0.3333333333333333,0.8115942028985508,0.8979591836734694,0.908256880733945,0.75,0.5925925925925926,1.0,1.0,0.0,0.8125,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.38808045231254057,0.0629392183454568,0.0,0.13349043777757635,0.4954336938681032,0.11416740609287193,0.18068813372364345,0.7267069555675658,0.46714399969531933,0.5805564523160378,0.5694262474069222,0.3486185538311643,0.02829143217226918,0.3453038674033149,0.35342465753424657,0.5181034801582899,0.5792725929408604,0.370377637845841,0.0,0.925807804662545,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,1.0,0.5,0.2,0.9333333333333333,0.6666666666666666,0.9166666666666666,1.0,0.9411764705882353,1.0,0.5795454545454546,0.0,0.9285714285714286,1.0,0.6666666666666666,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
2,0.30409512266964184,0.5165185741091322,0.42904019351678,0.4013683690273543,0.3853334203458409,0.7949886104783599,0.7167401298200933,0.8034285604448264,0.7328143939384437,0.3939549868003043,0.17607655502392344,0.0,0.21578921053947303,0.2742372881355932,0.18299058905542,0.2006068085981693,0.46901567683635564,0.4918060174680633,0.3818943914324662,0.6023881862502649,0.35525277590366955,0.4122403283990546,0.8424700393666484,0.08407480300229737,0.4908598566219742,0.8157991708889912,0.3975141054735483,0.0,0.9357526935058236,0.0,0.0,0.0,0.0,0.8571428571428571,0.5,0.0,0.3333333333333333,0.7142857142857143,0.5,0.3333333333333333,0.8115942028985508,0.9387755102040817,0.8256880733944955,0.75,0.7407407407407407,1.0,1.0,0.0,0.875,1.0,0.75,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.3817917696543949,0.08313968499870901,0.0,0.15487853016112246,0.48078446909667194,0.18468032714800808,0.16867730358455485,0.7054145644097022,0.4447954404101382,0.6932648744364551,0.538640384129391,0.27070253784990744,0.02526839087471026,0.2973427824604073,0.35563926434744075,0.555309322507356,0.5730046264841956,0.400238973670971,0.0,0.9110573962682404,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,0.9491525423728814,0.6301369863013698,0.9782608695652174,0.9,0.7692307692307693,1.0,0.5666666666666667,0.0,0.8235294117647058,1.0,0.75,0.0,0.8947368421052632,0.0,0.0,0.0,0.0
3,0.29618835120054554,0.5232715779904142,0.43097028351202465,0.385026176399233,0.38279173482102075,0.7949886104783599,0.6853304013229239,0.6902626110959444,0.675641672864734,0.34252091816188646,0.18619275461380724,0.0,0.34043297835108244,0.33451977401129945,0.15475775531544092,0.14856525763653194,0.557553661591089,0.4010971932987287,0.405100849733489,0.6061047127817424,0.3575912817756635,0.4157233486752084,0.8138836743261333,0.11096227671722879,0.46020889404676657,0.7976969138645785,0.39897149757448314,0.0,0.9255813607412845,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.8571428571428571,0.0,0.0,0.8695652173913043,0.7755102040816326,0.8715596330275229,0.8333333333333334,0.7407407407407407,1.0,1.0,0.0,0.75,1.0,0.5,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.3932699717441562,0.08618616718344618,0.0,0.11378866625444944,0.40890883977900555,0.1304922850844967,0.14280771131982203,0.6255584733477506,0.4759832172990917,0.6775383712238859,0.5186461583109628,0.29177513412642875,0.03499403153860652,0.3298206645074934,0.3066994849732145,0.5275204256844727,0.6153354178510517,0.33379202229576727,0.0,0.9173541326620912,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0.9595959595959596,1.0,0.8333333333333334,1.0,0.5795454545454546,0.0,0.8,1.0,0.5,0.0,0.918918918918919,0.0,0.0,0.0,0.0
4,0.2895819130560772,0.5340192929813378,0.43745519313920084,0.40375162770197176,0.39455597063246617,0.8132118451025057,0.7253289476199742,0.8166991847777416,0.728584627075406,0.30824645398004386,0.19712918660287082,0.0,0.36103194840257985,0.33551789077212807,0.1836876960613454,0.2374781446055744,0.4722802502574856,0.47348320019892454,0.489790546000702,0.610485409453826,0.33944927900833627,0.4165941037442468,0.8176540012198117,0.16861357020451842,0.40319514062075607,0.7515430677107324,0.3822114884137328,0.0,0.9258020992480009,0.0,0.0,0.0,0.0,0.7142857142857143,0.5,0.0,0.6666666666666666,0.8571428571428571,0.25,0.3333333333333333,0.8115942028985508,0.9183673469387755,0.8990825688073395,0.8333333333333334,0.7037037037037037,1.0,1.0,0.034482758620689655,0.8125,1.0,0.75,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4908792931452188,0.07940965912219836,0.0,0.13124079896766688,0.46523044783914347,0.10286941245364045,0.15897277014699301,0.7152721527616267,0.45922389364524296,0.6234139651585321,0.5289832002742813,0.30937145001094307,0.04655915473376894,0.3215635211622988,0.3357522835983251,0.5747556640189603,0.6474089357987461,0.3533646442870342,0.0,0.9232580515108718,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,1.0,0.5,0.25,0.9491525423728814,0.6716417910447762,0.9423076923076923,1.0,0.8636363636363636,1.0,0.5930232558139535,1.0,0.9285714285714286,1.0,0.75,0.0,0.918918918918919,0.0,0.0,0.0,0.0
5,0.2833074843646751,0.5400419143305238,0.4340797327183575,0.4103466004726364,0.3991266807721229,0.7995444191343963,0.7280150342206348,0.7843386086121495,0.7256913763145436,0.3259653675779677,0.17320574162679425,0.0,0.304134793260337,0.3299623352165725,0.19527710003485535,0.1564846240872159,0.5113386339626838,0.5109291952879744,0.4878437502550833,0.6088885748604537,0.2891742615696006,0.3813907202388357,0.8216698746128682,0.1277024043822167,0.4156152003753179,0.7649930907415937,0.48104349274426933,0.0,0.9278160280957956,0.0,0.0,0.0,0.0,0.7142857142857143,0.5,0.0,0.6666666666666666,0.9285714285714286,0.25,0.3333333333333333,0.8115942028985508,0.9387755102040817,0.8715596330275229,0.75,0.5555555555555556,1.0,1.0,0.0,0.8125,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4797339567350433,0.1018406880475846,0.0,0.1483043616061633,0.5080023195129023,0.1418533991644512,0.1488820392387103,0.6532451191297641,0.4435438990579688,0.6163081476287214,0.606736510082235,0.3299862331747865,0.04398852223816356,0.32084610459703633,0.3466945674698306,0.5674664269258863,0.6697584385207888,0.33700408401400234,0.0,0.9220439913634167,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4,1.0,1.0,0.25,0.9491525423728814,0.647887323943662,0.9313725490196079,1.0,0.8333333333333334,1.0,0.5666666666666667,0.0,0.9285714285714286,1.0,0.6666666666666666,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
6,0.27852906968795593,0.5486361518844078,0.44581616522549034,0.40508688549944993,0.40400009460026426,0.8132118451025057,0.7319174536956305,0.7809685149059626,0.720089990848232,0.33533938878697034,0.1315105946684894,0.0,0.3264336783160842,0.34967984934086627,0.22098292087835483,0.17844286742774865,0.5292951116124027,0.5191309483106953,0.49240055832632706,0.644287430226807,0.3014614232295395,0.3980594601318572,0.7913963674959802,0.1679325904917272,0.4012033218927216,0.7891294334408107,0.5199558618392288,0.0,0.9280491676422151,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.6666666666666666,0.8571428571428571,0.5,0.3333333333333333,0.8260869565217391,0.8979591836734694,0.8807339449541285,0.8333333333333334,0.7037037037037037,1.0,1.0,0.034482758620689655,0.8125,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.45758158561528833,0.07260925352856819,0.0,0.15995394188838258,0.4502752382569052,0.12350849851458627,0.1607151127784725,0.6702384105516198,0.42603474828378934,0.6232989946373771,0.5211164576927912,0.3557356255144588,0.05058088990753181,0.366369526715094,0.3649061758105955,0.5788298718725138,0.6328309692671394,0.3520539062279737,0.0,0.924924731927011,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.9230769230769231,0.6666666666666666,0.5,0.9193548387096774,0.6376811594202898,0.9320388349514563,1.0,0.95,1.0,0.6144578313253012,1.0,0.9285714285714286,1.0,0.6666666666666666,0.0,0.918918918918919,0.0,0.0,0.0,0.0
7,0.2737297404218936,0.5386347246039297,0.43599355376680105,0.4061686537496264,0.3997786551088018,0.8086560364464692,0.7322420789857601,0.801512610150582,0.7451435079804993,0.34992617119334196,0.19357484620642515,0.0,0.2703864806759662,0.3747457627118644,0.21627744858835832,0.19423017587164457,0.5039940056818935,0.4643684145090604,0.4871152323502763,0.6383664240797005,0.33187915242026783,0.3097400174151014,0.8306838073964943,0.13331487454258367,0.394264878968205,0.7419161676646706,0.4856238679186359,0.0,0.9274762396079287,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.9285714285714286,0.5,0.3333333333333333,0.8115942028985508,0.8775510204081632,0.8990825688073395,0.75,0.6296296296296297,0.5,1.0,0.0,0.8125,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.473625242248062,0.08789026131214699,0.0,0.131966813079551,0.4516341352700862,0.15937841135298272,0.17495831017231794,0.6952808824603697,0.4718406051131429,0.6371301597469672,0.4914651261464147,0.29699348144206467,0.05122613561553654,0.3010054275291396,0.33105998662008473,0.5703773382708405,0.7119430693069307,0.3484151405610492,0.0,0.9248452412455885,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,0.3333333333333333,0.9333333333333333,0.671875,0.9245283018867925,1.0,0.85,1.0,0.5666666666666667,0.0,0.9285714285714286,1.0,0.8,0.0,0.918918918918919,0.0,0.0,0.0,0.0
8,0.26972189533491725,0.5363125685649218,0.43712292046125156,0.3926342659010896,0.39406505672495507,0.8200455580865603,0.7660740229281251,0.7789060068471833,0.7580588693483227,0.4455904067296076,0.2664388243335612,0.0,0.3061346932653367,0.34580037664783425,0.1745381666085744,0.1644554149953718,0.49689561043286706,0.4662255618064837,0.48785191292068336,0.5889634706422666,0.3239488158812565,0.3196915039183978,0.8152222987904855,0.15398373131982848,0.3628649267060092,0.7473514509442654,0.47034207074597656,0.0,0.9319133316137225,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.9285714285714286,0.5,0.3333333333333333,0.8260869565217391,0.8979591836734694,0.8990825688073395,0.75,0.7037037037037037,1.0,1.0,0.0,0.8125,1.0,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.4114317585572931,0.06312141723613045,0.0,0.12800786068195597,0.41710015219317176,0.1339530528990838,0.1687420852680456,0.7143270390938122,0.4559596320375106,0.6310014622584238,0.5235008918029492,0.29637030333781444,0.08073382967360915,0.3196751098756037,0.27470796342033243,0.57234288384894,0.6257231006556112,0.3314699063884732,0.0,0.9192483369908525,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.95,0.6666666666666666,0.9607843137254902,1.0,0.9047619047619048,1.0,0.5666666666666667,0.0,0.9285714285714286,1.0,0.5714285714285714,0.0,0.9714285714285714,0.0,0.0,0.0,0.0
9,0.2659365527385327,0.5454446522814095,0.4436729911082715,0.4061853443584334,0.4053496273088635,0.8314350797266514,0.767218126802114,0.8620363642631402,0.7748719743193098,0.3585842767014184,0.14313055365686944,0.0,0.35983200839958,0.3515065913370998,0.20372952248170095,0.1687750694230176,0.5252071137517177,0.46002471016069374,0.48793353957668417,0.649106196566099,0.3864995597433933,0.34656051747729816,0.8159272548693455,0.159573751599554,0.4044626616295053,0.8073698756333487,0.439486997980471,0.0,0.9184036389610905,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.9285714285714286,0.5,0.3333333333333333,0.8260869565217391,0.8979591836734694,0.8990825688073395,0.75,0.8148148148148148,1.0,1.0,0.034482758620689655,0.9375,1.0,0.75,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.46613348843972663,0.0722816706938212,0.0,0.1496942468488706,0.46253159538087923,0.16342793233608277,0.19652694610778443,0.6726391709928893,0.4561294696858796,0.6357772087544504,0.5017257951765117,0.28874214051394204,0.0879724651867757,0.34194985443645165,0.3422243620606644,0.5869264027900533,0.6071564654127265,0.3423950949700735,0.0,0.9371018886642186,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,0.3333333333333333,0.9344262295081968,0.6875,0.9423076923076923,1.0,0.88,1.0,0.6071428571428571,1.0,0.9375,1.0,0.75,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
