epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.0663559276265295,0.9412512638507727,0.8967143123547054,0.9021376701980613,0.8978066436316003,0.9892703862660944,0.9779832486354225,0.9781010230179028,0.9779904823707549,1.0,0.8529234478601567,0.9325353645266594,0.6974415563184567,0.9502280851021608,0.8593288104731452,0.9701201742738946,0.9111370602831703,1.0,1.0,1.0,0.9393939393939394,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9998388980627492,0.9964788732394366,1.0,0.6892675144228504,0.9805213420564958,0.7734693172337873,0.9784113013017417,0.7991141152674297,1.0,1.0,1.0,0.9117647058823529,1.0,0.9130434782608695,1.0,1.0
1,0.04249848455281228,0.9390277118626581,0.8834359867262065,0.899289121440948,0.888347609392747,0.9914163090128756,0.9850649350649351,0.9815446650124069,0.9827228445726116,0.9993554884189325,0.8616636528028933,0.8552774755168662,0.6275407334750149,0.9599368952148019,0.8935848145974673,0.9670781842434625,0.9030506495402131,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,1.0,1.0,1.0,0.99983879418047,0.9993009437259699,1.0,0.712943616412066,0.9698607066418722,0.7445845900740334,0.9785711354742924,0.7892131850188795,1.0,1.0,1.0,0.967741935483871,1.0,0.8846153846153846,1.0,1.0
2,0.030882594953477855,0.9369572663681571,0.8842453801374932,0.8986919462807974,0.889574148566683,0.9871244635193133,0.9741953698475437,0.9741953698475437,0.9741953698475437,1.0,0.8541289933694997,0.8574537540805223,0.6648615879243638,0.9712208444233875,0.8631734244486736,0.9612706928745177,0.9018537439789812,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9998388980627492,0.9971850809289233,1.0,0.6581903760047473,0.9538934176610746,0.7890475378768889,0.9787701116203532,0.8126101480916432,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0
3,0.023868283102681208,0.9293267028454697,0.8984280968624823,0.8799159234155938,0.8872940421302588,0.9892703862660944,0.9779832486354225,0.9781010230179028,0.9779904823707549,1.0,0.861965039180229,0.9684439608269858,0.7083810146586017,0.9561267949764225,0.8421075724087247,0.9520789799164758,0.8983214129324186,1.0,1.0,1.0,0.9393939393939394,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9978294947546124,0.9923664122137404,0.9528907922912205,0.5992486055409579,0.9672523600885315,0.7550836747038314,0.9805399186995986,0.794116129032258,1.0,1.0,1.0,0.9117647058823529,1.0,0.9130434782608695,1.0,1.0
4,0.019540133235125486,0.9368743164888678,0.8931419218329895,0.8968566213937559,0.8933932296032993,0.9871244635193133,0.9741953698475437,0.9730113636363636,0.9735268970930395,1.0,0.851416515973478,0.9749727965179543,0.6419813634134379,0.9604354825506836,0.8401276784783884,0.9682756874891325,0.9079258502408407,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9997181056701031,0.9971761383692199,1.0,0.6850713070783724,0.9677426611179845,0.7674229861678198,0.9742225914894617,0.7834991812570853,1.0,1.0,1.0,0.9090909090909091,1.0,0.875,1.0,1.0
5,0.01674203971796499,0.932911705837443,0.9018455937194512,0.8948828413779224,0.8974544716414032,0.9871244635193133,0.9741953698475437,0.9741953698475437,0.9741953698475437,1.0,0.882157926461724,0.9978237214363439,0.6730763991063158,0.9629879520463165,0.8432538267894457,0.95874911600421,0.8967158079112538,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9994766084225783,0.9959169785641374,1.0,0.611886877743995,0.9509483322432962,0.8053437113704457,0.9775480593940563,0.8179421632848698,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0
6,0.014844300484281607,0.9353308709737326,0.8738714563102203,0.8994062068480481,0.8843253317448194,0.9871244635193133,0.9741953698475437,0.9730113636363636,0.9735268970930395,1.0,0.8622664255575648,0.8041349292709467,0.6706310282818375,0.9622561945135549,0.8505426883778581,0.9624657384429263,0.8786746460370749,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9997583665579316,0.9979072200906871,1.0,0.6412479239261406,0.9690443775526772,0.7667836835599505,0.9772571165479977,0.8432509665489998,1.0,1.0,1.0,0.9090909090909091,1.0,0.875,1.0,1.0
7,0.013507935634906073,0.9379324433072653,0.8927315407169867,0.9031237775702556,0.896742907450409,0.9871244635193133,0.9774891774891775,0.9733682266009852,0.9738367296427688,1.0,0.8544303797468354,1.0,0.6349245272737181,0.9523439806121462,0.8589284441105011,0.9711622294327742,0.8700627645599183,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,1.0,1.0,1.0,0.9997583665579316,0.997186071051706,1.0,0.6848083224356054,0.9670242482097834,0.7669603373213123,0.9747809296390836,0.8344719453466234,1.0,1.0,1.0,0.9655172413793104,1.0,0.8214285714285714,1.0,1.0
8,0.012525203363145538,0.9402839279450302,0.8898553578552986,0.9101309479927588,0.8988844402328647,0.9785407725321889,0.9590438546960286,0.9700235109717869,0.9640149574198096,1.0,0.8625678119349005,1.0,0.6214920167838265,0.9556331687085596,0.8331569161918029,0.9779736819630451,0.868019267260254,1.0,1.0,1.0,0.7878787878787878,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9997181056701031,0.9951321279554938,0.9989130434782608,0.7167208684859625,0.967602825051739,0.7952258807517144,0.9690232353130978,0.8387114972356989,1.0,1.0,1.0,0.896551724137931,1.0,0.875,0.9886363636363636,1.0
9,0.011795432942729969,0.9389724119431319,0.8875610425626106,0.9091425653691516,0.8976935524652192,0.9849785407725322,0.970407491059665,0.9723808891104274,0.9712326090594514,1.0,0.8713080168776371,1.0,0.6508909596207291,0.9557646370110557,0.8211678631953623,0.9755504121831977,0.8258064516129032,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9995973424602376,0.9965529127886935,0.997828447339848,0.6822358510099027,0.967152954878612,0.79435295615636,0.9712157385199689,0.8642043197995907,1.0,1.0,1.0,0.9354838709677419,0.9714285714285714,0.875,0.997134670487106,1.0
