epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.06630244872638377,0.9382101809627964,0.9075069934078734,0.8961504774451516,0.9002306826476755,0.9892703862660944,0.9779832486354225,0.9781010230179028,0.9779904823707549,0.9992749244712991,0.851416515973478,1.0,0.7327666067244292,0.9590190976313381,0.8477072170150219,0.9615662285652141,0.9083053568822069,1.0,1.0,1.0,0.9393939393939394,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9997581912707049,0.9985860728172499,0.9776595744680852,0.6550206109612563,0.9717438294877595,0.7627641409804676,0.9830896024925876,0.8205817970831025,1.0,1.0,1.0,0.9117647058823529,1.0,0.9130434782608695,1.0,1.0
1,0.043950720670758954,0.9411563460784516,0.9014605560889261,0.8965477485845057,0.8968444116934774,0.98068669527897,0.9661255411255412,0.9686159530125047,0.9643393660747432,0.9999597180261833,0.8565400843881856,1.0,0.6328946651408642,0.9585056270914002,0.8692502180077112,0.9723621903557058,0.9221719457013575,1.0,1.0,1.0,0.7575757575757576,0.9714285714285714,1.0,1.0,1.0,0.9998388915740293,0.98989898989899,0.9724867724867725,0.7180870385111793,0.9737542398935554,0.760716496997797,0.9772196092161414,0.7803799500975814,1.0,1.0,1.0,0.9615384615384616,1.0,0.7931034482758621,0.9942857142857143,1.0
2,0.032175384619530296,0.9356313063574273,0.8998256189960486,0.8930506377051943,0.8947982994830508,0.9892703862660944,0.9796301524562394,0.9771875,0.9781563545150501,1.0,0.8556359252561784,1.0,0.6490245763173669,0.96487811896145,0.8737913597648259,0.9611865174283111,0.8940884542402568,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9997583665579316,0.996140350877193,1.0,0.663080391938537,0.9642442811672666,0.7624400608723118,0.9781972799749883,0.7805443702533259,1.0,1.0,1.0,0.9375,1.0,0.88,1.0,1.0
3,0.02431941301737852,0.9346635577657182,0.8980721967122223,0.8952074850565018,0.8956218294725039,0.9871244635193133,0.9741953698475437,0.9730113636363636,0.9735268970930395,1.0,0.8607594936708861,1.0,0.667518118903602,0.954990710400135,0.8496596885917524,0.9633412859673387,0.8883082761640636,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9998388980627492,0.9875518672199171,0.9787007454739084,0.6535093861491781,0.9662170132135373,0.7510920629687629,0.9775466331484093,0.8472032742155525,1.0,1.0,1.0,0.9090909090909091,1.0,0.875,1.0,1.0
4,0.019456091962896632,0.9390499969048552,0.8974912685782097,0.9004800956896428,0.8968147719249213,0.9871244635193133,0.9741953698475437,0.9730113636363636,0.9735268970930395,1.0,0.8526220614828209,1.0,0.6310963980164569,0.956047417888123,0.8589832888177127,0.971415984610025,0.9097649978105387,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.999798630688683,0.9989406779661016,1.0,0.7258298275713491,0.9679614844654513,0.7518289170506912,0.9755403931208783,0.7839408346539883,1.0,1.0,1.0,0.9090909090909091,1.0,0.875,1.0,1.0
5,0.01649567564340682,0.937553597589914,0.899569757839677,0.898805063417606,0.8983536140037149,0.9849785407725322,0.970407491059665,0.9734820900220684,0.9719181277209472,1.0,0.861965039180229,1.0,0.6747929268159774,0.9682888532243221,0.8326633138268992,0.9654892958938972,0.893358633776091,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,0.999879168680522,0.992710864283235,0.9881720430107527,0.6512036075358585,0.9527662451459213,0.8065170735853466,0.9777274619349035,0.8214640431643089,1.0,1.0,1.0,0.90625,0.9714285714285714,0.9130434782608695,0.997134670487106,1.0
6,0.014631998514642421,0.9371664981532303,0.8995487578791171,0.8998900121950061,0.8986490904109221,0.9849785407725322,0.970407491059665,0.96828125,0.9691018673355629,1.0,0.8541289933694997,1.0,0.6684649337910741,0.9650343926040398,0.8422556531181958,0.9650610456310793,0.9014450445190483,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9997181056701031,0.9985905567300916,1.0,0.6487043892120571,0.9650846650360441,0.7898402020233191,0.9767395293680154,0.8204426495204188,1.0,1.0,1.0,0.90625,1.0,0.84,1.0,1.0
7,0.013222109049246984,0.938236180178693,0.8793113418002402,0.9042709572708663,0.8901134789581429,0.9828326180257511,0.9682665160926031,0.9714342553997726,0.9689461053091089,1.0,0.8589511754068716,0.8900979325353645,0.6384393221077871,0.9560102098779826,0.8669302868926634,0.9698799363215822,0.8541818712596702,1.0,1.0,1.0,0.8181818181818182,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9998388980627492,0.9888965995836225,1.0,0.6981029487341819,0.9715961802194256,0.7496905338942456,0.9753374533348657,0.8507050443378398,1.0,1.0,1.0,0.9310344827586207,1.0,0.8461538461538461,0.9942857142857143,1.0
8,0.012244668364551204,0.9431946020675567,0.8917790409329831,0.9181108044297942,0.9036421440572693,0.9828326180257511,0.9682665160926031,0.9678729960075676,0.9668800335103426,1.0,0.8628691983122363,1.0,0.6334191597188165,0.9651162502263487,0.8539156378713673,0.9771079651476787,0.8418041161874179,1.0,1.0,1.0,0.8181818181818182,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9997583665579316,0.9947880472550382,1.0,0.7387097542956554,0.9659884550927937,0.7909865423010684,0.9718485102003775,0.8828067597354886,1.0,1.0,1.0,0.9310344827586207,1.0,0.8148148148148148,0.997134670487106,1.0
9,0.011512130389876082,0.941451829230547,0.89556069491731,0.908132117338836,0.9010960258390965,0.9849785407725322,0.970407491059665,0.9722980838108882,0.9712496549664431,1.0,0.8586497890295358,1.0,0.6611015748460575,0.9575134134876556,0.8411258521496383,0.974718488430177,0.8713764413954167,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9989537644360388,0.9899235580264072,0.9989130434782608,0.6977354421279655,0.9679240126077286,0.8097754921010392,0.9725314842390295,0.8293001416942183,1.0,1.0,1.0,0.90625,1.0,0.875,0.997134670487106,1.0
