epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.10630562134849,0.9094397788003219,0.8527555265420639,0.838219891216075,0.8403183553898255,0.9828326180257511,0.9287408243929982,0.9763433087142326,0.9483208214314764,1.0,0.8544303797468354,0.7976060935799782,0.617405046046537,0.9283001644594048,0.7752354209057055,0.9450530950451383,0.904014012552912,1.0,1.0,0.6666666666666666,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9999597196487553,0.9902200488997555,0.9231738035264484,0.5194239574558313,0.9644609611776591,0.7146193863467459,0.9706346732228658,0.6232665794505384,1.0,1.0,1.0,0.90625,1.0,0.9130434782608695,0.9914529914529915,1.0
1,0.09036727957623439,0.9197284526339682,0.8513063320647783,0.8460178830403358,0.8460690684209377,0.9828326180257511,0.9666196122717862,0.9759652845206843,0.9711573598930149,1.0,0.8574442435201929,0.8226332970620239,0.5688927033949104,0.9448602095059024,0.7659118206797453,0.9619914067314551,0.8887169756239965,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,0.999798630688683,0.9793459552495697,0.8610478359908884,0.5879065183725186,0.9502960085621693,0.7592575476673318,0.9653169710952153,0.6651735966963096,1.0,1.0,1.0,0.9032258064516129,1.0,0.9130434782608695,0.9914529914529915,1.0
2,0.08109260378707084,0.9142995687431649,0.8466383150106034,0.8517418310775586,0.8448732004125958,0.9785407725321889,0.9211650668172406,0.966431623931624,0.9391697822532634,1.0,0.8571428571428571,0.7997823721436343,0.5343509890469185,0.9362502759594086,0.8187272737244492,0.9535787774653114,0.8732739746022479,1.0,1.0,0.6666666666666666,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9999597196487553,0.9689948892674617,0.98,0.5932168784029038,0.9575854291564021,0.6786579683131407,0.9679008649990334,0.6676188988327717,1.0,1.0,1.0,0.9,1.0,0.84,0.9914529914529915,1.0
3,0.07421901739853845,0.9109093535274333,0.8458645926597403,0.8559279864046851,0.8483047625401969,0.9828326180257511,0.9287408243929982,0.9763433087142326,0.9483208214314764,0.9995166163141994,0.8553345388788427,0.8073993471164309,0.5913437959784208,0.9440341916807851,0.7862592070552231,0.9458665862186977,0.8371624580353233,1.0,1.0,0.6666666666666666,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9998388201635975,0.9796341042457715,0.9840848806366048,0.5392508851481459,0.9492449978300235,0.6935469045557238,0.9701178485657588,0.7317054500918555,1.0,1.0,1.0,0.90625,1.0,0.9130434782608695,0.9914529914529915,1.0
4,0.0691628440253331,0.9149751356705115,0.8424923171043566,0.8495419937414019,0.8435195261299739,0.9742489270386266,0.9135893092414831,0.9700475050005264,0.9369496465362467,1.0,0.8589511754068716,0.7899891186071817,0.5320350389624544,0.9422457266600354,0.8035188364146918,0.9553384743845516,0.8578601663990658,1.0,1.0,0.6666666666666666,0.7575757575757576,0.9714285714285714,0.9130434782608695,1.0,1.0,0.999798630688683,0.976027397260274,0.9086357947434293,0.5904537998079874,0.9464056586615243,0.6948677451942915,0.9663920961479536,0.7137548274270724,1.0,1.0,1.0,0.8928571428571429,0.9714285714285714,0.9130434782608695,0.9830508474576272,1.0
5,0.06528768113553508,0.9128138992633555,0.8412980744508101,0.8506809864291208,0.8442840954521332,0.9742489270386266,0.9135893092414831,0.9648366046135168,0.9341308387383329,1.0,0.8592525617842074,0.8019586507072906,0.5671353059778759,0.9357814550316392,0.7850745613794541,0.9532445333577463,0.8279375273682674,1.0,1.0,0.6666666666666666,0.7575757575757576,0.9714285714285714,0.9130434782608695,1.0,1.0,0.999798630688683,0.9707184201566224,0.9258793969849246,0.5622294701159438,0.953617172945331,0.6954424217691041,0.9658467164326842,0.7319156623396733,1.0,1.0,1.0,0.8928571428571429,1.0,0.84,0.9858356940509915,1.0
6,0.06232922568294685,0.9066042135237191,0.8424001173190613,0.8466035292048826,0.8423183894877545,0.9785407725321889,0.9211650668172406,0.9704545454545455,0.9413191048852474,1.0,0.8559373116335142,0.795429815016322,0.5917048117268814,0.9429551593867128,0.7771275633045033,0.9407521598374984,0.8352941176470589,1.0,1.0,0.6666666666666666,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.999798630688683,0.9746053534660261,0.9276649746192893,0.4925382443328079,0.948765817256096,0.7102129195236376,0.9691112115377556,0.7501310822147651,1.0,1.0,1.0,0.9,1.0,0.875,0.9886363636363636,1.0
7,0.05986748096134336,0.9080056950663393,0.8369126017797004,0.8484994966377513,0.8397853382932456,0.9785407725321889,0.9211650668172406,0.9748598965389826,0.9435701142703562,1.0,0.8601567209162145,0.7606093579978237,0.5779725900495886,0.9444831683364795,0.7717911732928214,0.9442930583520168,0.835994745292658,1.0,1.0,0.6666666666666666,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.999798630688683,0.9784024682893384,0.9601648351648352,0.5196305981346185,0.9441552870345344,0.7013216781125718,0.9681318217523781,0.7163906539250513,1.0,1.0,1.0,0.9,1.0,0.9130434782608695,0.9858356940509915,1.0
8,0.05804726823408412,0.9064428533107731,0.8379122910973612,0.8470744051822666,0.8388922195996658,0.9763948497854077,0.9190240918501789,0.9703987739256861,0.9392869879763603,0.9990332326283988,0.8583484026522001,0.794341675734494,0.5178668737398507,0.943265226137883,0.81635249790219,0.9427957184804427,0.8312947015034302,1.0,1.0,0.6666666666666666,0.7575757575757576,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9999596806709137,0.9786941580756013,0.9811827956989247,0.5525378644728044,0.9392230669294644,0.6559665776461567,0.9683076371640315,0.7007234608002363,1.0,1.0,1.0,0.9259259259259259,0.9714285714285714,0.88,0.9858356940509915,1.0
9,0.056424092575022365,0.910191692631492,0.8356784840245752,0.8519855528808258,0.8407633692754848,0.9785407725321889,0.9211650668172406,0.966431623931624,0.9391697822532634,1.0,0.8541289933694997,0.7747551686615887,0.544861315459648,0.9358409878478638,0.7982153532273368,0.949892875992364,0.827733177638301,1.0,1.0,0.6666666666666666,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9999597196487553,0.9826629680998613,0.967391304347826,0.56008738455506,0.9483725981116709,0.677435871179151,0.9665587155905945,0.7134158615136876,1.0,1.0,1.0,0.9,1.0,0.84,0.9914529914529915,1.0
