epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_AltBasket,window_recall_AltDTC,window_recall_ChC,window_recall_DTC,window_recall_ITC,window_recall_ITCperi,window_recall_L1,window_recall_L2IT,window_recall_L3IT,window_recall_L4IT,window_recall_L5ET,window_recall_L5IT,window_recall_L5NP,window_recall_L6CT,window_recall_L6IT,window_recall_MC,window_recall_NGC,window_recall_NMC,window_recall_OPC,window_recall_PV,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_thalamocortical,cell_recall_AltBasket,cell_recall_AltDTC,cell_recall_ChC,cell_recall_DTC,cell_recall_ITC,cell_recall_ITCperi,cell_recall_L1,cell_recall_L2IT,cell_recall_L3IT,cell_recall_L4IT,cell_recall_L5ET,cell_recall_L5IT,cell_recall_L5NP,cell_recall_L6CT,cell_recall_L6IT,cell_recall_MC,cell_recall_NGC,cell_recall_NMC,cell_recall_OPC,cell_recall_PV,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_thalamocortical,window_precision_AltBasket,window_precision_AltDTC,window_precision_ChC,window_precision_DTC,window_precision_ITC,window_precision_ITCperi,window_precision_L1,window_precision_L2IT,window_precision_L3IT,window_precision_L4IT,window_precision_L5ET,window_precision_L5IT,window_precision_L5NP,window_precision_L6CT,window_precision_L6IT,window_precision_MC,window_precision_NGC,window_precision_NMC,window_precision_OPC,window_precision_PV,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_thalamocortical,cell_precision_AltBasket,cell_precision_AltDTC,cell_precision_ChC,cell_precision_DTC,cell_precision_ITC,cell_precision_ITCperi,cell_precision_L1,cell_precision_L2IT,cell_precision_L3IT,cell_precision_L4IT,cell_precision_L5ET,cell_precision_L5IT,cell_precision_L5NP,cell_precision_L6CT,cell_precision_L6IT,cell_precision_MC,cell_precision_NGC,cell_precision_NMC,cell_precision_OPC,cell_precision_PV,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_thalamocortical
0,0.43880695764553546,0.431177246888968,0.2934954592364425,0.2826077694264934,0.2555035840524922,0.6810933940774487,0.4576281852569754,0.5484809864620278,0.40501058092240083,0.05203812251107432,0.19289131920710867,0.0,0.13299335033248338,0.07664783427495292,0.16817706517950506,0.35297747608762725,0.47421304717348306,0.35316492089640383,0.40133786089185286,0.29234791210344097,0.12515866390696292,0.1508894141062321,0.6666191415377547,0.014569972536312682,0.2730026255792324,0.2958083832335329,0.3754033853136516,0.0,0.8846777713843529,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.07142857142857142,0.25,0.6666666666666666,0.8695652173913043,0.8163265306122449,0.8256880733944955,0.3333333333333333,0.037037037037037035,0.0,1.0,0.0,0.5625,0.3333333333333333,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.1329294776545891,0.03350588905775076,0.0,0.05979543666404406,0.2212437486410089,0.05653523932274884,0.13982196329266056,0.6275745110268611,0.4034200096750858,0.5521754877545463,0.3236798873503872,0.21068537714511207,0.008029230901617099,0.19855846928784607,0.29304635761589404,0.4427551224721351,0.2123887951847075,0.26599887882453604,0.0,0.9047959678053508,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,1.0,1.0,0.2,0.9090909090909091,0.6666666666666666,0.9,0.5714285714285714,1.0,0.0,0.4112903225806452,0.0,0.75,1.0,0.4444444444444444,0.0,0.8947368421052632,0.0,0.0,0.0,0.0
1,0.4180198200867314,0.4460464958590031,0.30119821102428296,0.2787732133910242,0.2638535975165958,0.683371298405467,0.4794525875545449,0.5007455824619277,0.42811224282795757,0.06792250212537473,0.17799043062200956,0.0,0.11314434278286085,0.10045197740112995,0.19675845242244686,0.3508176488738044,0.48207132285386733,0.3711963447611351,0.451254601702732,0.31300784286017097,0.12307745085707097,0.10959074511755193,0.6671577596654231,0.028399099011456923,0.22738009992016264,0.3473053892215569,0.4042597489121609,0.0,0.889782039326177,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.14285714285714285,0.25,0.6666666666666666,0.855072463768116,0.7959183673469388,0.8440366972477065,0.5,0.0,0.0,1.0,0.0,0.4375,0.6666666666666666,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.1498371335504886,0.03417322834645669,0.0,0.058999895713838776,0.19786334297796573,0.05779370360890709,0.13923017266010856,0.6223007567109392,0.4054661970037771,0.5328201050551781,0.34517687392862706,0.2115182422938223,0.010206564176234114,0.21083987504005128,0.16931382171856876,0.4585913248452051,0.23907666941467437,0.2687771656377177,0.0,0.9059327683558752,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,1.0,0.18181818181818182,0.9076923076923077,0.6610169491525424,0.8363636363636363,0.75,0.0,0.0,0.4396551724137931,0.0,0.7777777777777778,1.0,0.4444444444444444,0.0,0.8717948717948718,0.0,0.0,0.0,0.0
2,0.4137833480021598,0.4406893806565407,0.3039535339911868,0.28745563029432797,0.2670932196997454,0.6924829157175398,0.47019432282311296,0.5519589212878455,0.4359064084319304,0.07203901740570048,0.12836637047163363,0.0,0.15969201539923003,0.10877589453860641,0.18177065179505053,0.3346703692276046,0.47569309303107565,0.36803764025735863,0.4123431747871585,0.3519960432417155,0.11512996146325287,0.1649458887921383,0.6793400343765099,0.024066272047653613,0.2740479188786554,0.3386918470750806,0.38860319377068975,0.0,0.8929542252822477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.25,0.6666666666666666,0.8695652173913043,0.8163265306122449,0.8256880733944955,0.5833333333333334,0.037037037037037035,0.0,1.0,0.0,0.5625,0.6666666666666666,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.15318744053282587,0.03422510570053944,0.0,0.06238646795710686,0.19739585113290728,0.05927651956466142,0.1418266611458583,0.639233908411993,0.4104093825684218,0.5540678384381256,0.33525801502059277,0.2247446844131927,0.008080684969072794,0.21769346356123215,0.2614421591740509,0.4492902250769148,0.23763816172193136,0.2806809124949247,0.0,0.9073638634135522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18181818181818182,0.9230769230769231,0.6557377049180327,0.8737864077669902,0.7,1.0,0.0,0.4434782608695652,0.0,0.8181818181818182,1.0,0.4444444444444444,0.0,0.8947368421052632,0.0,0.0,0.0,0.0
3,0.41069846477538935,0.45396015920246413,0.3077276977328485,0.2898830794540354,0.2728733142288759,0.6947608200455581,0.4433487986807343,0.5519826115696322,0.40623553657534234,0.07206138977135443,0.16021872863978126,0.0,0.15099245037748113,0.09118644067796611,0.17035552457302197,0.36336521649696596,0.4935145396633756,0.3588024119603394,0.44451632124986734,0.36393697449304035,0.14884675639515604,0.10200273665878841,0.7043699356034503,0.04172684481894171,0.26105994386692677,0.30773836941501614,0.40742437175990504,0.0,0.8969796027698962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.25,0.6666666666666666,0.8695652173913043,0.7959183673469388,0.8807339449541285,0.6666666666666666,0.037037037037037035,0.0,1.0,0.0,0.4375,0.3333333333333333,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.16433673469387755,0.03362501793143021,0.0,0.0634000923709955,0.23404872389791184,0.05916891135256197,0.14623949666790845,0.6118345254077616,0.4336800582309986,0.5437853706759466,0.37470174009195134,0.19837991891974274,0.013400225515990391,0.21477064419600483,0.2127513449578389,0.46531211032054576,0.2780390361646344,0.2647715433844322,0.0,0.9056499353921048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.9090909090909091,0.7222222222222222,0.8495575221238938,0.8,1.0,0.0,0.4358974358974359,0.0,0.7,1.0,0.4,0.0,0.918918918918919,0.0,0.0,0.0,0.0
4,0.4084051802383961,0.45493790911362536,0.3146195443247223,0.29647244243740695,0.27645920090931025,0.7038724373576309,0.48548787653409786,0.5804352202984044,0.4499766100880037,0.08816949304219428,0.16103896103896104,0.0,0.13779311034448277,0.10990583804143127,0.17593238062042524,0.34906921731975726,0.5086989099554927,0.36396590308643895,0.4364760956337902,0.3926234720553946,0.13306041235462956,0.14392337355392462,0.7160928007350553,0.03755116701962868,0.21965974468505395,0.35508982035928144,0.4370718910703504,0.0,0.8970292069287089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.25,0.6666666666666666,0.8695652173913043,0.8163265306122449,0.8807339449541285,0.6666666666666666,0.037037037037037035,0.0,1.0,0.0,0.4375,0.6666666666666666,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.17411089021426993,0.037955922154916874,0.0,0.06450404905678042,0.223037529618589,0.06325782498355109,0.14802861130495465,0.5951331476875327,0.4340266034090541,0.5494011245450319,0.38571745890715237,0.21945607483686017,0.012409369771332961,0.2190821455054791,0.2675695851551669,0.484522793703818,0.27846409478399076,0.2704969784432218,0.0,0.9093297597916217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.2,0.8955223880597015,0.7272727272727273,0.8727272727272727,0.8,1.0,0.0,0.4358974358974359,0.0,0.875,1.0,0.36363636363636365,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
5,0.406576471460091,0.4577342906018394,0.3181331354794399,0.29792320234029623,0.2793891956101968,0.7084282460136674,0.496272503840678,0.6430363120911466,0.47432610292533195,0.11828269721240324,0.1648667122351333,0.0,0.1455427228638568,0.10792843691148776,0.1925758103868944,0.3503548287565566,0.4880682886274759,0.36873698442793645,0.4561889330579794,0.386278527520667,0.11922377614380954,0.1455404901107103,0.717486871183138,0.03711713599389363,0.252837518621859,0.39474896361123907,0.37694405696321126,0.0,0.9036736840016667,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.3333333333333333,0.14285714285714285,0.25,0.6666666666666666,0.8695652173913043,0.7959183673469388,0.8899082568807339,0.6666666666666666,0.037037037037037035,0.0,1.0,0.0,0.5,0.6666666666666666,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.178013468013468,0.035723806984804055,0.0,0.06340942755075368,0.2101885131665811,0.06302401186334342,0.1429890654185993,0.626023908170889,0.43098406066936107,0.5440405933244911,0.3677964505321511,0.24148793255199888,0.011429017983608639,0.22486799413141753,0.2611076016003369,0.48849487159099947,0.28286629039178796,0.285653429261135,0.0,0.904517198919606,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.2222222222222222,0.9090909090909091,0.7358490566037735,0.8508771929824561,0.8,1.0,0.0,0.4396551724137931,0.0,0.8888888888888888,1.0,0.5,0.0,0.8947368421052632,0.0,0.0,0.0,0.0
6,0.4050388662981133,0.45815452215612273,0.31928631144872266,0.30000463267423605,0.2814126712248106,0.7061503416856492,0.4869213868506721,0.5772635680627326,0.45276351004496856,0.0828672423822095,0.1573479152426521,0.0,0.15699215039248038,0.1084557438794727,0.20050540257929592,0.3482464260002057,0.48406501611105374,0.3560050352780282,0.4576276028699932,0.3899667914929697,0.1468856133289117,0.16121408135340218,0.726183969774018,0.039399540525776204,0.25270582812744347,0.36660525103638875,0.41148424975536635,0.0,0.9005957459473403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.25,0.6666666666666666,0.8695652173913043,0.7959183673469388,0.8899082568807339,0.6666666666666666,0.07407407407407407,0.0,1.0,0.0,0.4375,0.6666666666666666,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.18860430775497733,0.03611320281124498,0.0,0.06481309472206741,0.2156686514623825,0.06913231582742459,0.14550611288971016,0.6327157075817772,0.44510400170988335,0.5437515154454197,0.3975624162620835,0.21132205843643065,0.013051490951570509,0.22754517769521157,0.23346044696700957,0.485753160251238,0.3004303185867432,0.28099009056399904,0.0,0.9085593182170756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0,0.2,0.9090909090909091,0.7358490566037735,0.8584070796460177,0.8,1.0,0.0,0.4434782608695652,0.0,0.875,1.0,0.4,0.0,0.918918918918919,0.0,0.0,0.0,0.0
7,0.4037452872552834,0.4463239993654671,0.3176508245772334,0.30727380117006553,0.2757727793939229,0.6970387243735763,0.5073405537812341,0.5230422742208183,0.44799365001105085,0.09620117231196026,0.1723855092276145,0.0,0.1575921203939803,0.10318267419962335,0.17471244336005576,0.34958346189447703,0.4822169445393192,0.3806996549902092,0.4164081822559975,0.36635342330248005,0.1106645015952155,0.20537380271178007,0.7234275122971271,0.025443198060330314,0.21615348527124126,0.39636112390603406,0.4449209885282422,0.0,0.8960346435445148,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.14285714285714285,0.25,0.6666666666666666,0.8695652173913043,0.8367346938775511,0.8532110091743119,0.6666666666666666,0.0,0.0,1.0,0.0,0.375,0.6666666666666666,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.18148820326678766,0.03663567693201627,0.0,0.06748886605001712,0.22313174506210548,0.06754935651236439,0.14292021444339326,0.6339861318035618,0.43118341554858325,0.5650129724132011,0.38106507136242707,0.2486446905269649,0.008453747606222285,0.23135496618284065,0.3653556845046207,0.47699656719399897,0.29599944962333596,0.25896752302472126,0.0,0.9146941390040181,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.2,1.0,1.0,0.18181818181818182,0.9230769230769231,0.6949152542372882,0.8773584905660378,0.8,0.0,0.0,0.4473684210526316,0.0,0.8571428571428571,1.0,0.36363636363636365,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
8,0.40267480521434745,0.45793436100318147,0.32301089741468775,0.3049645099739204,0.28391370327146487,0.7084282460136674,0.5218262651005338,0.612631819592024,0.4739162100763251,0.10201798738198577,0.18578263841421735,0.0,0.1544922753862307,0.10670433145009416,0.17436388985709306,0.37025609379821045,0.48996401820535834,0.3776575078481957,0.43935139459141775,0.3899526602133823,0.15058491234891194,0.1785047891528797,0.7253443591632409,0.0353211455425762,0.2627636896384273,0.3695992630124367,0.40469696654244136,0.0,0.8968382309172801,0.0,0.0,0.0,0.0,0.14285714285714285,0.5,0.0,0.3333333333333333,0.14285714285714285,0.25,0.6666666666666666,0.8695652173913043,0.8367346938775511,0.8715596330275229,0.6666666666666666,0.037037037037037035,0.0,1.0,0.0,0.4375,0.6666666666666666,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.19591836734693877,0.03575845283515327,0.0,0.06673433686802151,0.23668490747316095,0.0632467286174853,0.14099400775467041,0.6261249983082732,0.43691650747274974,0.5607565726073209,0.39793210855709055,0.21611087406045887,0.012268102932375824,0.23425972351550747,0.2695756468102119,0.4793183694917799,0.32200329066174405,0.28064856123936993,0.0,0.9141096229782544,0.0,0.0,0.0,0.0,1.0,0.125,0.0,0.25,1.0,1.0,0.2,0.9230769230769231,0.7192982456140351,0.8715596330275229,0.8,0.5,0.0,0.45535714285714285,0.0,0.875,1.0,0.36363636363636365,0.0,0.9444444444444444,0.0,0.0,0.0,0.0
9,0.4016907089940778,0.45587254762031326,0.32218219707329093,0.3049898701298799,0.28205479988644283,0.6993166287015945,0.46849838592530485,0.47796457671936604,0.42958485899316895,0.10262204125464226,0.15762132604237866,0.0,0.15059247037648119,0.10934086629001884,0.22185430463576158,0.34233261339092874,0.47720755855977504,0.3838389332670252,0.4401329698226253,0.3659860100332085,0.1292010200230992,0.17887796989675334,0.736655339844276,0.03277682573654317,0.26230277290797305,0.417273146015661,0.38841581478628384,0.0,0.9022475644358023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.25,0.6666666666666666,0.8695652173913043,0.8367346938775511,0.8623853211009175,0.6666666666666666,0.0,0.0,1.0,0.0,0.5,0.6666666666666666,1.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.198005698005698,0.03813839640116433,0.0,0.06864800802260917,0.22477739063104918,0.057089041863802495,0.14223143321083667,0.6439473514973526,0.4309669426534868,0.5578110775469668,0.37350735506201327,0.22777856178053746,0.010909559900160078,0.22919485333077036,0.2824166612934425,0.4922917696490361,0.3078988511997825,0.2937397657135659,0.0,0.9104649445755632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.9230769230769231,0.7068965517241379,0.8703703703703703,0.8,0.0,0.0,0.4396551724137931,0.0,0.8,1.0,0.4444444444444444,0.0,0.918918918918919,0.0,0.0,0.0,0.0
