epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.1373996072880424,0.8826791572952561,0.8392768132597089,0.8043655200135926,0.8181957533877801,0.9828326180257511,0.9666196122717862,0.9675450596173398,0.9667590657684071,0.9989123867069486,0.8634719710669078,0.8607181719260065,0.5775502697400686,0.9168078503940328,0.7856284929222905,0.912672582705448,0.7984527806159685,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9995969042244437,0.9527768540073163,0.8441835645677694,0.4460606889585657,0.9419561848838869,0.5976053400083438,0.9694650011845642,0.6832796222738514,1.0,1.0,1.0,0.9032258064516129,1.0,0.84,0.997134670487106,1.0
1,0.12251953854014146,0.8988981284691414,0.8500120923498875,0.8066843987951523,0.8247169836417756,0.9828326180257511,0.9666196122717862,0.9759652845206843,0.9711573598930149,0.9988318227593153,0.8622664255575648,0.8868335146898803,0.5796891177592501,0.9302573057927911,0.7506649920749399,0.9359996264330562,0.8555539337323018,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9998790273801363,0.9520798668885191,0.7806513409961686,0.48858665074462343,0.9299989336666246,0.7186564734791603,0.9647442149126696,0.6188786822933164,1.0,1.0,1.0,0.9032258064516129,1.0,0.9130434782608695,0.9914529914529915,1.0
2,0.11661368011123267,0.9108994490642346,0.8467635274002154,0.8375492359451504,0.8381123565587066,0.9763948497854077,0.9552559759081498,0.973618933571955,0.9637094809047767,0.9993152064451158,0.861965039180229,0.8737758433079434,0.537845349027301,0.9270995859988739,0.7511202031447956,0.95817893487954,0.8648080572179244,1.0,1.0,1.0,0.7575757575757576,0.9714285714285714,0.9130434782608695,1.0,1.0,0.999838787683379,0.9841706813489333,0.8922222222222222,0.5903154180279457,0.9364867776836767,0.7552665828425209,0.9569048670937339,0.5851885506587915,1.0,1.0,1.0,0.8928571428571429,1.0,0.9130434782608695,0.9830508474576272,1.0
3,0.11237897296742343,0.8962874770443431,0.8456315146958027,0.8275224571331534,0.8331467422647798,0.9828326180257511,0.9666196122717862,0.9759652845206843,0.9711573598930149,0.9995166163141994,0.8604581072935503,0.8509249183895539,0.5810105716309738,0.9226098194419294,0.788008753215271,0.9302068811276807,0.8323164501532623,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9996374184191443,0.9810996563573883,0.932061978545888,0.5018356180502441,0.9408199607422547,0.6535840679785656,0.9672901823906483,0.6438507745810939,1.0,1.0,1.0,0.9032258064516129,1.0,0.9130434782608695,0.9914529914529915,1.0
4,0.10900947497643042,0.9073057796669625,0.835315527191462,0.8400421785858783,0.8356516238121954,0.9763948497854077,0.917377188029362,0.9740807562320535,0.9410891741887535,0.9995166163141994,0.864376130198915,0.8280739934711643,0.5336493924036837,0.9273426783317913,0.7511805323227282,0.9540088709860755,0.8243760035031382,1.0,1.0,0.6666666666666666,0.7878787878787878,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9996776922767012,0.9738539898132428,0.9224242424242424,0.5633462525796546,0.9356960504580267,0.7092406079279185,0.9585212832221427,0.6575773099850969,1.0,1.0,1.0,0.896551724137931,1.0,0.9130434782608695,0.9830508474576272,1.0
5,0.1062889526027254,0.9066132926149846,0.8437510110641395,0.8318523382430454,0.835983564262494,0.9828326180257511,0.9666196122717862,0.9759652845206843,0.9711573598930149,0.9995166163141994,0.8628691983122363,0.8715995647442872,0.5759699743883168,0.9193578393556565,0.749919104056863,0.9513625669947461,0.8194132243468106,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,0.999154385117178,0.9879227053140096,0.8485169491525424,0.54070109474115,0.9467331831348568,0.7149168670919167,0.9601811975034183,0.6566923238892918,1.0,1.0,1.0,0.9032258064516129,1.0,0.9130434782608695,0.9914529914529915,1.0
6,0.10382494341315063,0.9016635371314199,0.8414832203406568,0.8303953743070553,0.8330937537880185,0.9785407725321889,0.9606907585168455,0.970089516964517,0.9638856847086661,0.9992749244712991,0.8628691983122363,0.8400435255712732,0.5405018800065392,0.9261346582692322,0.7946120559635392,0.9403460286700341,0.8280834914611006,1.0,1.0,1.0,0.7575757575757576,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9993956973652405,0.9788034188034188,0.9146919431279621,0.5398252966147817,0.9368877223270566,0.6707809975323274,0.9633423784588793,0.6394355402267757,1.0,1.0,1.0,0.9259259259259259,1.0,0.8461538461538461,0.9886363636363636,1.0
7,0.10175222672664665,0.9055510389369209,0.841521029914059,0.824100727941323,0.8308263043681415,0.9763948497854077,0.9569028797289667,0.9775031599855544,0.9656599319287336,0.9993152064451158,0.8604581072935503,0.8835690968443961,0.5406994169255082,0.9288582846115112,0.7873615856701749,0.9471451928139974,0.7847613487082178,1.0,1.0,1.0,0.7272727272727273,0.9714285714285714,0.9565217391304348,1.0,1.0,0.999234704152737,0.9889158295808798,0.7718631178707225,0.5691760538637488,0.934565747472403,0.6749633279422274,0.9618229305753484,0.6922641120725175,1.0,1.0,1.0,0.9230769230769231,1.0,0.9166666666666666,0.9802816901408451,1.0
8,0.09998173229727282,0.9038990570125663,0.8408847100772314,0.8372566994456421,0.8375674764578622,0.9892703862660944,0.9796301524562394,0.9814126671442216,0.9804149577487671,0.9995166163141994,0.8598553345388789,0.8661588683351469,0.5600444117486786,0.9303813324932592,0.7592317353413809,0.9452626120316819,0.8066267698146256,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9995166163141994,0.9913134120917304,0.9004524886877828,0.5235778466946438,0.9339164817871931,0.7083036997999417,0.9616614337176108,0.6793116164720344,1.0,1.0,1.0,0.9375,1.0,0.9166666666666666,0.997134670487106,1.0
9,0.09846839961447164,0.8959003776076595,0.8375555078297903,0.8293320590821092,0.8291973343347925,0.9785407725321889,0.9228119706380575,0.9704202047952049,0.9412763950911798,0.9991137965760323,0.8583484026522001,0.8280739934711643,0.5243447223584545,0.9234581620731311,0.8108515737688734,0.9321693364209952,0.8240840753174719,1.0,1.0,0.6666666666666666,0.7878787878787878,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9998387551900674,0.9899200556134863,0.9476961394769614,0.5425417947055341,0.9317975326069817,0.6186785733714415,0.966326607954151,0.6378570137382502,1.0,1.0,1.0,0.9285714285714286,1.0,0.8461538461538461,0.9886363636363636,1.0
