epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.13713675777765377,0.8878513505148258,0.8405900968888881,0.8069408171232824,0.8207698081757004,0.9785407725321889,0.9590438546960286,0.9660005894488652,0.9618656347878256,0.9992749244712991,0.8613622664255576,0.8607181719260065,0.5739196774017765,0.9245099084931004,0.7653907959612357,0.9206280840009511,0.818916946431178,1.0,1.0,1.0,0.7878787878787878,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9987117033697008,0.9476127320954907,0.8560606060606061,0.46008343708363364,0.9347562199036918,0.6302317599667624,0.9675567749980144,0.6605133035083588,1.0,1.0,1.0,0.896551724137931,1.0,0.84,0.9914529914529915,1.0
1,0.12194159933871666,0.8977525122258218,0.8482732002830938,0.8053659760726596,0.8235028745590167,0.9828326180257511,0.9666196122717862,0.9759652845206843,0.9711573598930149,0.9995166163141994,0.8622664255575648,0.8726877040261154,0.5773050514958313,0.9308724782271127,0.761244536096044,0.9333072409930736,0.8489855495548095,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,0.999758249728031,0.9552587646076794,0.7786407766990291,0.4992548259591539,0.9309556118411423,0.6829733945450699,0.9662648533116206,0.6298213318895506,1.0,1.0,1.0,0.9032258064516129,1.0,0.9130434782608695,0.9914529914529915,1.0
2,0.11581590962137156,0.9108420857148752,0.8483095766845541,0.8157357440958963,0.825991983465696,0.9763948497854077,0.9552559759081498,0.973618933571955,0.9637094809047767,0.9995166163141994,0.8604581072935503,0.8759521218715995,0.5200465914664051,0.9286548808227435,0.7580086983705637,0.9581002892071717,0.8857393081302,1.0,1.0,1.0,0.7575757575757576,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9996374184191443,0.976068376068376,0.743992606284658,0.6013279354777732,0.9331244641183626,0.7524622026709931,0.9575690101544039,0.5617039395734598,1.0,1.0,1.0,0.8928571428571429,1.0,0.9130434782608695,0.9830508474576272,1.0
3,0.11144260233504077,0.8961810040649568,0.8494810283535438,0.8149279286734842,0.8295074419373116,0.9849785407725322,0.9720543948804818,0.9801816239316239,0.975784312817262,0.9995166163141994,0.8652802893309223,0.8705114254624592,0.5730409786932592,0.9310609988118242,0.7834072822802235,0.9289202870812809,0.8441103488541819,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9565217391304348,1.0,1.0,0.998792416374834,0.9512922465208747,0.851063829787234,0.49492293210966,0.9324233014532356,0.659743198928456,0.968088682675259,0.6630968215383204,1.0,1.0,1.0,0.9333333333333333,1.0,0.9166666666666666,0.9914529914529915,1.0
4,0.10805783271662535,0.9055980851371149,0.8423947907756937,0.8453402252662078,0.8422826417201223,0.9828326180257511,0.9666196122717862,0.9759652845206843,0.9711573598930149,0.9995166163141994,0.8601567209162145,0.8509249183895539,0.6012751348700344,0.9228479507068281,0.7560507423231121,0.9464011310230758,0.8019851116625311,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9991946200620142,0.9807560137457044,0.9376498800959233,0.5252722404046415,0.9427153148541847,0.7076606382924112,0.9638143651276352,0.7056587295471475,1.0,1.0,1.0,0.9032258064516129,1.0,0.9130434782608695,0.9914529914529915,1.0
5,0.10527989681608986,0.9060235643686937,0.8496745798345077,0.8278658641012859,0.8360258476862364,0.9828326180257511,0.9666196122717862,0.9759652845206843,0.9711573598930149,0.9995166163141994,0.8622664255575648,0.8715995647442872,0.5768009917715656,0.9250134568970008,0.7674474724816681,0.9464379961819984,0.848314114727777,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9990739249476567,0.9757844474761255,0.8603651987110634,0.5395457007231833,0.9436863868489379,0.7158328217720483,0.9624613469777695,0.6261770853535027,1.0,1.0,1.0,0.9032258064516129,1.0,0.9130434782608695,0.9914529914529915,1.0
6,0.10290413873449045,0.9019804799537792,0.8455028381505014,0.8263718124529462,0.8328415072094051,0.9828326180257511,0.9666196122717862,0.9759652845206843,0.9711573598930149,0.9994763343403826,0.8640747438215792,0.8433079434167573,0.5559506293934935,0.9245644802413063,0.7870818776633961,0.9402016401309204,0.8493650561961757,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9989934372106132,0.9708770741618693,0.8980301274623407,0.5283539190553872,0.9387645104661735,0.6837112910909957,0.9643848393561643,0.627859300820026,1.0,1.0,1.0,0.9032258064516129,1.0,0.9130434782608695,0.9914529914529915,1.0
7,0.10073900587484086,0.9070280420114314,0.8436916796866235,0.839983872994261,0.8403912590820279,0.98068669527897,0.9628317334839074,0.9752099802371541,0.9687474120082815,0.9995166163141994,0.8637733574442436,0.8541893362350381,0.5765693967631191,0.9285110098502005,0.7712262728085426,0.9475150732418545,0.8082323748357904,1.0,1.0,1.0,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9989934777357276,0.969553450608931,0.9159859976662778,0.5450839730049971,0.9379782995464455,0.7115172490563365,0.9628281266779383,0.6779304096574353,1.0,1.0,1.0,0.9,1.0,0.9130434782608695,0.9886363636363636,1.0
8,0.09888888042699794,0.9054499308751006,0.8391201016819807,0.8356100956783963,0.8361037707165742,0.98068669527897,0.9628317334839074,0.9752099802371541,0.9687474120082815,0.9995166163141994,0.8613622664255576,0.8541893362350381,0.5514345267287887,0.9266853368193104,0.7764694268179649,0.9475654556257154,0.7957378484892716,1.0,1.0,1.0,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9989934777357276,0.9811191211809132,0.875139353400223,0.5458241469285382,0.93706856764458,0.689743202490512,0.9620612215616676,0.6949316744850091,1.0,1.0,1.0,0.9,1.0,0.9130434782608695,0.9886363636363636,1.0
9,0.09727755005893637,0.8946474630130202,0.8469898910648682,0.811750042989085,0.8263917797694422,0.98068669527897,0.9628317334839074,0.9667857142857142,0.9643480967508469,0.9995166163141994,0.8661844484629295,0.8813928182807399,0.5517682960056672,0.932685748587956,0.8054493701085377,0.926339725956697,0.8125821048022187,1.0,1.0,1.0,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9992348582474226,0.9602405613097227,0.8299180327868853,0.528950444361732,0.9259536533110055,0.6195735632862797,0.9689339244193146,0.6611953061903179,1.0,1.0,1.0,0.9,1.0,0.84,0.9942857142857143,1.0
