epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.1008308719759488,0.923763696015517,0.8668162027711057,0.8749615066921991,0.8687318341518375,0.9871244635193133,0.9758422736683606,0.9808045314900153,0.9781327662037345,1.0,0.8559373116335142,0.8922742110990207,0.562578333605798,0.9507812441862484,0.8459467019135318,0.9585254673734127,0.8684863523573201,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9996375936216477,0.993006993006993,0.9590643274853801,0.6385572908612958,0.9520848909676666,0.7094320183608608,0.9708016069975084,0.7771073322362406,1.0,1.0,1.0,0.9354838709677419,1.0,0.9166666666666666,0.9942857142857143,1.0
1,0.0821400796956061,0.9165511833770092,0.8708152497087441,0.8651128369690965,0.865042234441002,0.9849785407725322,0.970407491059665,0.96828125,0.9691018673355629,0.9999597180261833,0.8559373116335142,0.8748639825897715,0.6359190234864585,0.94669580467283,0.8335298602008413,0.9434230406014428,0.8761932564589111,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9999194392975107,0.9947460595446584,0.988929889298893,0.5776389060759807,0.9581853102521937,0.686657660629007,0.9762919660875989,0.7385334645669291,1.0,1.0,1.0,0.90625,1.0,0.84,1.0,1.0
2,0.07195382091177148,0.9235643686936426,0.868197750619225,0.8737011355086248,0.8685597329263637,0.9871244635193133,0.9758422736683606,0.9727047146401986,0.9737145537562851,0.999436052366566,0.8544303797468354,0.8759521218715995,0.600989046918424,0.9371531903388162,0.828500600549544,0.9596738170738526,0.8894467960881624,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9999193970902349,0.9905660377358491,0.9877300613496932,0.6185892267459389,0.9571466211320487,0.730524646133461,0.9707166642428582,0.7344164296389143,1.0,1.0,1.0,0.9354838709677419,1.0,0.8461538461538461,1.0,1.0
3,0.06485752963610494,0.9222805026515073,0.8683170939650884,0.8731244621161898,0.8687254727623481,0.9849785407725322,0.9720543948804818,0.9685185185185186,0.9692995169082126,1.0,0.8604581072935503,0.8922742110990207,0.5827407225764264,0.9508035689923326,0.8448552922400224,0.9547713653564585,0.860633484162896,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9997583665579316,0.9831267217630854,0.9891435464414958,0.6164371716997038,0.9518991742720556,0.7106052218839376,0.9726556949776137,0.7613697993336949,1.0,1.0,1.0,0.9333333333333333,1.0,0.8148148148148148,1.0,1.0
4,0.0599955458853364,0.914387058168087,0.8529920133105882,0.8642498854298096,0.8556204526067717,0.9849785407725322,0.9325287031808771,0.9770525127046866,0.950597038026962,0.9994763343403826,0.8580470162748643,0.7932535364526659,0.6330717672061468,0.9393459824030918,0.8022025634416151,0.9463421467687996,0.8521967595971391,1.0,1.0,0.6666666666666666,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9996776792908945,0.9878556557945871,0.986468200270636,0.5516905689049293,0.9516398571611662,0.7022796673644587,0.9738027903647883,0.760584664287017,1.0,1.0,1.0,0.9090909090909091,1.0,0.9130434782608695,0.9942857142857143,1.0
5,0.05622855063911644,0.9145253079669026,0.8596972977975846,0.8619234547366333,0.8579872429541207,0.9871244635193133,0.9741953698475437,0.9730113636363636,0.9735268970930395,0.9994763343403826,0.8571428571428571,0.8182807399347116,0.6358645305432946,0.9430791860871809,0.8231532415964198,0.9428964832481646,0.857685009487666,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9996374038112888,0.9796761970375474,0.9804432855280313,0.5524257021457907,0.9516267101857738,0.7085538397624431,0.9742987094119977,0.7487257900101937,1.0,1.0,1.0,0.9090909090909091,1.0,0.875,1.0,1.0
6,0.053502210522008355,0.9151245279904257,0.8681439768671155,0.8642891649120246,0.8644568826545089,0.9892703862660944,0.9796301524562394,0.9771875,0.9781563545150501,1.0,0.8580470162748643,0.8922742110990207,0.6267437741812435,0.9521405768233785,0.8160343986003631,0.943131805845954,0.8567800321121004,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9997583665579316,0.9847803528190937,0.9715639810426541,0.549230870247781,0.9450725586846369,0.7258721540045175,0.9730209602436171,0.7650140756959649,1.0,1.0,1.0,0.9375,1.0,0.88,1.0,1.0
7,0.05117873270008169,0.92368899985556,0.8627374827107777,0.8687240977190342,0.8641835371565703,0.9849785407725322,0.970407491059665,0.9722980838108882,0.9712496549664431,1.0,0.8589511754068716,0.85310119695321,0.5896477031224456,0.9476632129364809,0.820043546697526,0.9595693657902384,0.8729236607794483,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9989537644360388,0.9885535900104059,0.9322235434007135,0.6059556059556059,0.9527538436599873,0.7438929740594433,0.9698714186795341,0.7575880415505447,1.0,1.0,1.0,0.90625,1.0,0.875,0.997134670487106,1.0
8,0.04956239725432705,0.9178127643769474,0.860739368219769,0.8734163314609213,0.8654342286313237,0.9871244635193133,0.9741953698475437,0.9774086322298606,0.9757758641873794,1.0,0.853827606992164,0.8868335146898803,0.6178478012097434,0.9399958823135445,0.8114219587238733,0.9521668418785748,0.8238213399503722,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9997583665579316,0.9919467787114846,0.9939024390243902,0.5730630966445751,0.9558701859531232,0.7058399767183348,0.9717066135782922,0.7952431944992391,1.0,1.0,1.0,0.9090909090909091,1.0,0.9130434782608695,0.997134670487106,1.0
9,0.04819656311682151,0.9220394940470049,0.855914103945363,0.8727759383555291,0.8615649430091985,0.9742489270386266,0.9152362130623,0.9690352020860495,0.9360598429421464,1.0,0.8556359252561784,0.8258977149075082,0.5609639801645687,0.9473953152634699,0.8261642160223328,0.9591202252706977,0.8721354546781491,1.0,1.0,0.6666666666666666,0.7272727272727273,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9997583665579316,0.9902336937565399,0.9869960988296489,0.6207385185911013,0.9502616172749506,0.7240979839833873,0.968511655812147,0.7416095720385265,1.0,1.0,1.0,0.9230769230769231,1.0,0.8461538461538461,0.9830508474576272,1.0
